Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,170,97,2216,9888,7035,1881,0,143,180,2494,8494,12793,5620,7112,41.620002819,129.78089914
Situation familiale,Couples sans enfants,7,8,34,171,489,84,562,49,95,331,673,682,31,409,56.147601476,163.33284133
Situation familiale,Familles monoparentales,12,6,40,301,474,54,0,5,8,170,749,138,15,220,44.313416009,145.78015784
Situation familiale,Couples avec enfants,6,8,29,79,190,29,294,18,45,227,319,316,28,243,44.478740157,129.08976378
Situation familiale,Conjoint d'étudiant,0,0,0,2,4,1,0,0,1,0,3,4,1,4,33.285714286,74.714285714
Sexe,Hommes,111,51,1231,6579,4423,1200,338,114,146,1730,0,13933,3682,4870,41.280485179,123.94724754
Sexe,Femmes,84,68,1088,3862,3769,849,518,101,183,1492,10238,0,2013,3118,44.409747998,143.46620434
Âge,Moins de 20 ans,6,8,405,755,207,185,3,7,17,133,542,1027,1569,1538,18.568514978,11.602931804
Âge,De 20 à 24 ans,22,13,1049,2140,607,273,22,9,36,340,1471,2655,4126,1036,21.679592826,39.160930683
Âge,De 25 à 29 ans,14,8,226,915,237,89,35,6,26,185,560,964,0,538,26.954068241,59.906167979
Âge,De 30 à 34 ans,13,11,151,903,307,80,45,14,18,185,551,959,0,538,32.060927152,88.940397351
Âge,De 35 à 39 ans,17,12,115,803,357,113,50,17,13,191,624,843,0,514,37.012269939,117.55078391
Âge,De 40 à 44 ans,14,11,96,949,523,111,80,18,26,222,792,992,0,581,42.130605381,137.19338565
Âge,De 45 à 49 ans,17,15,79,936,791,132,108,22,31,301,982,1096,0,628,47.003849856,160.73580366
Âge,De 50 à 54 ans,29,12,62,924,1031,180,114,19,23,360,1125,1227,0,654,52.079081633,183.86267007
Âge,55 ans et plus,63,29,136,2116,4132,886,399,103,139,1305,3591,4170,0,1961,60.833913156,207.02615642
Âge,35 ans et moins,56,42,1854,4880,1423,651,114,38,103,876,3251,5769,5695,3743,24.197228381,48.33037694
Âge,36 ans et plus,139,77,465,5561,6769,1398,742,177,226,2346,6987,8164,0,4245,53.565375223,182.15457726
Scolarité,Primaire,16,15,545,892,667,183,75,1,47,358,968,1425,1075,839,35.918094442,114.49101546
Scolarité,Secondaire I à IV,60,33,657,3666,3042,678,294,5,22,608,3242,5188,1488,2619,43.634994069,171.23107948
Scolarité,Secondaire V,43,31,126,2296,2166,455,181,3,24,663,2424,2874,334,1621,48.123442809,148.41713854
Scolarité,Collégiale,14,10,3,957,593,142,52,3,2,263,915,856,38,519,47.988706945,128.42913608
Scolarité,Universitaire,17,7,2,648,439,94,49,5,26,428,633,623,1,454,51.09633758,111.42356688
Scolarité,Inconnue,45,23,986,1982,1285,497,205,198,208,902,2056,2967,2759,1936,34.224566992,64.622536333
Diplôme maximum obtenu,Aucun diplôme,85,55,1255,4952,4109,939,408,8,78,1206,4656,7147,2677,3747,42.451664831,157.37414217
Diplôme maximum obtenu,Secondaire - DES,31,23,58,1833,1440,316,122,1,15,420,1829,1994,222,1206,46.940099398,140.33167669
Diplôme maximum obtenu,Secondaire - DEP,7,6,15,409,495,100,31,0,1,76,456,607,12,303,51.344308561,174.54186265
Diplôme maximum obtenu,Secondaire - ASP,1,0,2,24,29,6,1,0,0,1,26,37,2,21,49.873015873,180.85714286
Diplôme maximum obtenu,Collégial - AEC,3,1,0,153,129,39,9,1,1,40,166,168,0,106,50.595808383,126.56886228
Diplôme maximum obtenu,Collégial - DEC général,1,4,0,195,89,17,7,0,1,52,152,161,2,95,47.664536741,131.42811502
Diplôme maximum obtenu,Collégial - DEC professionnel,3,1,0,232,125,35,15,2,0,55,231,180,4,110,49.379562044,120.77372263
Diplôme maximum obtenu,Universitaire - Certificat,1,1,0,80,60,10,4,0,0,28,92,64,0,59,52.019230769,131.12179487
Diplôme maximum obtenu,Universitaire - Baccalauréat,7,2,1,258,187,38,17,4,10,169,268,242,1,184,51.123529412,105.15490196
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,1,2,0,52,40,5,5,0,2,48,44,61,0,38,53.352380952,93.057142857
Diplôme maximum obtenu,Inconnu,55,24,988,2253,1489,544,237,199,221,1127,2318,3272,2775,2119,35.723613596,69.401252236
Durée cumulative,Premier mois,1,0,11,19,8,13,0,2,0,6,15,37,42,52,23.5,1
Durée cumulative,De 2 à 5 mois,3,2,92,242,84,77,20,6,29,59,184,336,401,520,25.234615385,3.475
Durée cumulative,De 6 à 11 mois,10,6,181,380,247,111,33,25,48,137,365,603,655,968,27.704545455,8.6064049587
Durée cumulative,De 12 à 23 mois,20,9,319,786,444,224,77,64,69,249,743,1136,1157,1879,29.995742416,17.582224588
Durée cumulative,De 24 à 47 mois,35,18,590,1733,1055,396,125,66,157,550,1535,2417,2031,830,32.725455466,35.550607287
Durée cumulative,De 48 à 119 mois,57,40,683,3193,2086,557,238,44,26,1269,2789,4065,1409,1614,41.120513569,76.718996207
Durée cumulative,120 mois et plus,69,44,443,4088,4268,671,363,8,0,952,4607,5339,0,2125,52.396239694,249.97074201
Types de diagnostics,Visuel,195,0,0,0,0,0,0,8,11,55,84,111,28,79,45.733333333,120.08205128
Types de diagnostics,Auditif et de la parole,0,119,0,0,0,0,0,4,5,28,68,51,21,52,42.25210084,120.60504202
Types de diagnostics,Intellectuel et d'apprentissage,0,0,2319,0,0,0,0,17,36,243,1088,1231,1454,994,27.774471755,81.840448469
Types de diagnostics,Santé mentale,0,0,0,10441,0,0,0,26,37,1147,3862,6579,2895,3328,38.549181113,124.98975194
Types de diagnostics,Physique,0,0,0,0,8192,0,0,111,144,1200,3769,4423,814,2207,50.232421875,162.10913086
Types de diagnostics,Autres,0,0,0,0,0,2049,0,14,22,304,849,1200,458,1013,45.605173255,106.75549048
Types de diagnostics,Conjoints sans contraintes sévères,0,0,0,0,0,0,856,35,74,245,518,338,25,315,51.439252336,136.03971963
Région,01 - Bas-Saint-Laurent,2,0,67,299,237,70,30,0,3,11,296,409,155,230,43.787234043,148.98156028
