Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,170,100,2221,9761,6930,2004,0,160,191,2458,8492,12694,5633,7086,41.51057302,129.03709997
Situation familiale,Couples sans enfants,5,9,39,169,476,89,558,56,92,331,671,674,37,414,55.936802974,159.65427509
Situation familiale,Familles monoparentales,12,8,39,296,473,59,0,8,10,178,749,138,17,234,44.365276212,143.01465614
Situation familiale,Couples avec enfants,7,8,25,75,181,29,282,22,47,226,306,301,23,220,44.688632619,129.56177924
Situation familiale,Conjoint d'étudiant,0,0,0,2,3,1,0,0,1,0,3,3,1,4,31.5,38
Sexe,Hommes,114,54,1229,6475,4338,1267,333,123,152,1718,0,13810,3663,4832,41.183852281,123.10876177
Sexe,Femmes,80,71,1095,3828,3725,915,507,123,189,1475,10221,0,2048,3126,44.280990118,142.26680364
Âge,Moins de 20 ans,6,9,388,747,209,178,3,8,22,124,549,991,1540,1519,18.59025974,11.548701299
Âge,De 20 à 24 ans,20,15,1060,2142,620,291,23,11,37,346,1499,2672,4171,1043,21.674178854,38.722368737
Âge,De 25 à 29 ans,14,10,224,906,244,89,32,6,24,186,545,974,0,556,26.99078341,59.7399605
Âge,De 30 à 34 ans,13,13,148,894,293,97,37,14,24,182,553,942,0,517,32.053511706,88.380602007
Âge,De 35 à 39 ans,17,12,127,804,360,119,51,17,17,187,638,852,0,512,36.970469799,117.19395973
Âge,De 40 à 44 ans,16,11,89,925,509,124,81,20,26,220,776,979,0,566,42.123076923,137.58974359
Âge,De 45 à 49 ans,18,14,87,915,802,144,105,23,36,299,997,1088,0,618,46.988009592,159.26858513
Âge,De 50 à 54 ans,23,11,62,902,1001,191,113,25,22,359,1089,1214,0,632,52.057316544,183.3608337
Âge,55 ans et plus,67,30,139,2068,4025,949,395,122,133,1290,3575,4098,0,1995,60.800729832,206.12889352
Âge,35 ans et moins,56,49,1849,4871,1441,673,109,42,115,875,3288,5760,5711,3734,24.232537577,48.176282051
Âge,36 ans et plus,138,76,475,5432,6622,1509,731,204,226,2318,6933,8050,0,4224,53.533271041,181.42841887
Scolarité,Primaire,16,15,557,895,656,194,77,3,56,348,970,1440,1086,841,35.719917012,112.1473029
Scolarité,Secondaire I à IV,57,35,672,3606,2990,727,275,9,21,621,3239,5123,1500,2608,43.46197082,169.5840708
Scolarité,Secondaire V,41,30,124,2260,2135,492,180,4,21,658,2399,2863,339,1627,48.020144432,148.28487267
Scolarité,Collégiale,13,13,2,952,591,155,52,4,1,267,922,856,44,517,48.307086614,128.72272216
Scolarité,Universitaire,18,6,1,635,421,100,47,7,24,424,626,602,1,406,50.892508143,111.30537459
Scolarité,Inconnue,49,26,968,1955,1270,514,209,219,218,875,2065,2926,2741,1959,34.214185534,64.130835504
Diplôme maximum obtenu,Aucun diplôme,82,57,1280,4881,4038,1007,396,15,84,1205,4645,7096,2701,3765,42.274678477,155.71229026
Diplôme maximum obtenu,Secondaire - DES,28,23,59,1816,1415,337,114,1,14,410,1816,1976,228,1184,46.798259494,140.46545359
Diplôme maximum obtenu,Secondaire - DEP,7,6,14,395,490,108,33,0,1,83,446,607,12,291,51.399810066,173.40645774
Diplôme maximum obtenu,Secondaire - ASP,1,0,2,24,29,11,2,0,0,3,27,42,2,23,49.768115942,175.79710145
Diplôme maximum obtenu,Collégial - AEC,3,1,0,156,128,41,10,1,0,42,164,175,1,111,51.156342183,127.13569322
Diplôme maximum obtenu,Collégial - DEC général,1,4,0,188,85,17,6,0,0,52,149,152,2,88,47.737541528,130.20265781
Diplôme maximum obtenu,Collégial - DEC professionnel,3,2,0,232,132,39,13,2,0,55,243,178,5,112,49.35391924,120.93349169
Diplôme maximum obtenu,Universitaire - Certificat,1,1,0,80,57,12,4,0,0,28,91,64,0,49,51.64516129,128.76129032
Diplôme maximum obtenu,Universitaire - Baccalauréat,7,1,0,256,179,40,17,4,10,169,272,228,1,163,50.938,106.688
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,2,2,0,50,40,6,5,0,2,49,47,58,0,33,53.533333333,92.438095238
Diplôme maximum obtenu,Inconnu,59,28,969,2225,1470,564,240,223,230,1097,2321,3234,2759,2139,35.715031503,68.846084608
Durée cumulative,Premier mois,0,0,6,23,13,6,3,1,1,5,24,27,35,51,25.450980392,1
Durée cumulative,De 2 à 5 mois,5,2,97,218,92,74,17,10,22,61,190,315,397,505,25.338613861,3.6554455446
Durée cumulative,De 6 à 11 mois,8,7,153,401,195,113,32,26,56,119,342,567,623,909,27.807480748,8.6270627063
Durée cumulative,De 12 à 23 mois,23,12,346,804,500,232,67,83,74,262,792,1192,1206,1984,30.119455645,17.53578629
Durée cumulative,De 24 à 47 mois,35,18,615,1739,1052,427,134,77,158,566,1572,2448,2099,814,32.656716418,35.750746269
Durée cumulative,De 48 à 119 mois,55,42,643,3122,2035,586,238,41,30,1216,2720,4001,1351,1575,40.979020979,76.608986758
Durée cumulative,120 mois et plus,68,44,464,3996,4176,744,349,8,0,964,4581,5260,0,2120,52.384615385,249.0706229
Types de diagnostics,Visuel,194,0,0,0,0,0,0,10,12,54,80,114,26,82,45.886597938,117.03608247
Types de diagnostics,Auditif et de la parole,0,125,0,0,0,0,0,6,7,29,71,54,24,55,41.232,115.496
Types de diagnostics,Intellectuel et d'apprentissage,0,0,2324,0,0,0,0,20,37,241,1095,1229,1448,982,27.913511188,82.878657487
Types de diagnostics,Santé mentale,0,0,0,10303,0,0,0,24,39,1124,3828,6475,2889,3260,38.416189459,123.73192274
Types de diagnostics,Physique,0,0,0,0,8063,0,0,118,146,1182,3725,4338,829,2232,50.009301749,160.87932531
Types de diagnostics,Autres,0,0,0,0,0,2182,0,27,27,317,915,1267,469,1044,45.863886343,109.8872594
Types de diagnostics,Conjoints sans contraintes sévères,0,0,0,0,0,0,840,41,73,246,507,333,26,303,51.566666667,134.20833333
Région,01 - Bas-Saint-Laurent,2,0,68,292,237,75,29,0,3,10,291,412,154,235,43.758179232,150.53200569
Région,02 - Saguenay-Lac-Saint-Jean,8,0,110,322,318,72,31,0,0,16,408,453,210,295,42.31126597,150.55516841
Région,03 - Capitale-Nationale,14,8,138,793,562,203,36,8,31,129,726,1028,382,604,43.190992018,139.68985177
Région,04 - Mauricie,4,6,97,403,363,94,27,1,3,31,431,563,229,306,42.894366197,159.99798793
Région,05 - Estrie,4,10,197,755,511,136,39,2,22,116,730,922,439,580,40.511501211,127.20641646
Région,06 - Montréal,75,47,548,2744,2056,560,271,154,132,1883,2581,3720,1277,2047,43.92588478,130.06649738
Région,07 - Outaouais,12,3,85,453,368,118,56,4,20,105,482,613,193,341,43.831050228,132.86027397
Région,08 - Abitibi-Témiscamingue,2,0,67,179,166,39,5,0,0,7,195,263,97,164,43.1069869,145.55021834
Région,09 - Côte-Nord,0,2,13,82,79,27,2,0,0,1,90,115,44,73,43.497560976,133.42926829
Région,10 - Nord-du-Québec,0,0,13,44,42,11,6,0,0,3,43,73,32,52,39.689655172,120.81034483
Région,11 - Gaspésie-Îles-de-la-Madeleine,2,2,33,171,165,43,12,0,0,5,186,242,87,133,44.359813084,149.38317757
Région,12 - Chaudière-Appalaches,5,1,101,370,319,97,22,4,2,30,405,510,211,314,42.193442623,129.68306011
Région,13 - Laval,10,8,123,367,381,107,73,21,63,333,461,608,309,388,43.31150608,99.267539757
Région,14 - Lanaudière,12,5,121,588,583,99,49,12,4,86,619,838,385,454,41.861358957,136.06520247
Région,15 - Laurentides,6,8,158,680,578,125,46,7,7,79,717,884,406,514,41.780137414,131.00562149
Région,16 - Montérégie,37,22,374,1683,1042,308,114,33,51,336,1495,2085,1062,1221,40.137430168,117.46005587
Région,17 - Centre-du-Québec,1,3,73,365,291,65,22,0,3,20,348,472,189,232,41.954878049,135.11219512
Région,Région inconnue,0,0,5,12,2,3,0,0,0,3,13,9,5,5,42.181818182,160.5
