Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,167,96,2224,9842,7009,1908,0,151,186,2470,8475,12771,5632,7137,41.550880166,129.19580156
Situation familiale,Couples sans enfants,7,8,38,171,478,83,554,45,94,327,665,674,35,410,55.898431665,163.05377147
Situation familiale,Familles monoparentales,12,7,39,305,465,60,0,6,8,171,751,137,15,221,44.240990991,144.22184685
Situation familiale,Couples avec enfants,6,8,27,79,187,30,292,18,46,236,316,313,28,235,44.631160572,129.39586645
Situation familiale,Conjoint d'étudiant,0,0,0,2,4,1,0,0,1,0,3,4,1,4,33.571428571,75.714285714
Sexe,Hommes,108,52,1239,6543,4401,1219,337,115,149,1727,0,13899,3675,4878,41.229297072,123.50795021
Sexe,Femmes,84,67,1089,3856,3742,863,509,105,186,1477,10210,0,2036,3129,44.288540646,142.66160627
Âge,Moins de 20 ans,6,9,399,756,201,182,2,6,18,129,547,1008,1555,1530,18.586495177,11.527974277
Âge,De 20 à 24 ans,20,13,1047,2153,622,276,25,10,39,342,1489,2667,4156,1040,21.674687199,38.935514918
Âge,De 25 à 29 ans,14,10,223,904,241,91,35,7,26,177,547,971,0,556,26.950592885,59.691699605
Âge,De 30 à 34 ans,12,10,152,898,307,84,41,15,20,186,550,954,0,522,32.060505319,88.829787234
Âge,De 35 à 39 ans,18,13,122,806,356,116,52,18,14,190,636,847,0,520,37.012137559,117.03641268
Âge,De 40 à 44 ans,13,10,98,943,519,117,74,18,26,219,787,987,0,579,42.136978579,137.51916573
Âge,De 45 à 49 ans,18,15,82,932,802,141,108,22,33,304,994,1104,0,641,47.0085796,159.87368923
Âge,De 50 à 54 ans,25,11,69,915,1019,179,115,20,23,359,1106,1227,0,651,52.070724389,182.90955851
Âge,55 ans et plus,66,28,136,2092,4076,896,394,104,136,1298,3554,4134,0,1968,60.792793965,206.76261707
Âge,35 ans et moins,54,44,1849,4884,1435,654,114,41,108,869,3264,5770,5711,3745,24.202678769,48.198251052
Âge,36 ans et plus,138,75,479,5515,6708,1428,732,179,227,2335,6946,8129,0,4262,53.504809287,181.61121061
Scolarité,Primaire,16,15,551,891,669,184,77,2,50,356,966,1437,1074,849,35.979192676,114.36163129
Scolarité,Secondaire I à IV,57,33,667,3639,3009,693,284,5,22,606,3223,5159,1488,2614,43.588284419,170.67549511
Scolarité,Secondaire V,42,30,127,2282,2152,466,181,3,24,664,2416,2864,340,1624,48.021969697,147.99318182
Scolarité,Collégiale,14,10,2,955,592,140,53,4,2,259,913,853,43,525,47.981313703,127.1783692
Scolarité,Universitaire,17,7,2,647,434,99,50,6,26,432,635,621,1,448,51.02388535,110.41082803
Scolarité,Inconnue,46,24,979,1985,1287,500,201,200,211,887,2057,2965,2765,1947,34.058144166,64.341298288
Diplôme maximum obtenu,Aucun diplôme,83,55,1273,4921,4076,954,404,9,81,1207,4635,7131,2673,3766,42.421213666,156.88211797
Diplôme maximum obtenu,Secondaire - DES,29,22,58,1831,1434,322,118,1,15,412,1824,1990,232,1203,46.811746198,139.62768747
