Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,171,97,2212,9920,7131,1776,0,129,155,2505,8530,12777,5528,7063,41.789177266,131.35077674
Situation familiale,Couples sans enfants,8,8,37,179,510,79,582,51,87,333,697,706,36,439,55.875267284,163.99857448
Situation familiale,Familles monoparentales,14,7,44,294,493,54,0,4,8,176,760,146,16,235,44.325607064,145.41721854
Situation familiale,Couples avec enfants,6,7,28,82,198,28,302,15,45,250,325,326,25,232,44.626728111,128.74961598
Situation familiale,Conjoint d'étudiant,0,0,0,2,3,1,0,0,0,0,3,3,1,3,31.833333333,83
Sexe,Hommes,113,50,1229,6595,4483,1137,351,109,129,1751,0,13958,3614,4843,41.454291446,125.41209342
Sexe,Femmes,86,69,1092,3882,3852,801,533,90,166,1513,10315,0,1992,3129,44.554338342,144.87067378
Âge,Moins de 20 ans,5,7,399,742,202,182,1,5,12,123,542,996,1538,1514,18.583224967,11.600780234
Âge,De 20 à 24 ans,22,12,1045,2112,613,240,24,11,30,344,1450,2618,4068,1003,21.680432645,39.514749263
Âge,De 25 à 29 ans,16,9,228,922,236,92,34,6,22,183,552,985,0,546,26.959011061,60.147039688
Âge,De 30 à 34 ans,12,12,146,928,306,87,48,14,14,188,580,959,0,566,32.086419753,89.118908382
Âge,De 35 à 39 ans,18,12,122,793,360,101,57,14,14,190,612,851,0,495,37.037593985,118.62200957
Âge,De 40 à 44 ans,20,11,90,928,542,98,94,17,27,239,798,985,0,596,42.157038699,136.6399327
Âge,De 45 à 49 ans,15,12,78,941,790,115,102,17,28,297,972,1081,0,604,47.042377009,162.44715051
Âge,De 50 à 54 ans,23,14,68,932,1071,178,118,16,22,382,1146,1258,0,660,52.151414309,184.76663894
Âge,55 ans et plus,68,30,145,2179,4215,845,406,99,126,1318,3663,4225,0,1988,60.763311359,208.13881846
Âge,35 ans et moins,56,41,1846,4863,1424,627,116,39,84,870,3253,5720,5606,3723,24.270478101,48.977933801
Âge,36 ans et plus,143,78,475,5614,6911,1311,768,160,211,2394,7062,8238,0,4249,53.622091503,183.35712418
Scolarité,Primaire,15,16,553,897,665,168,82,3,46,362,970,1426,1062,864,36.154006678,116.57595993
Scolarité,Secondaire I à IV,60,32,660,3664,3094,632,306,5,19,610,3266,5182,1459,2599,43.737807765,171.75414299
Scolarité,Secondaire V,50,28,124,2351,2239,425,181,3,22,661,2480,2918,345,1641,48.171174509,150.54853649
Scolarité,Collégiale,15,11,3,955,601,139,56,2,2,274,909,871,41,537,48.135955056,128.13258427
Scolarité,Universitaire,13,7,2,653,436,81,53,5,22,419,628,617,2,451,50.891566265,112.60321285
Scolarité,Inconnue,46,25,979,1957,1300,493,206,181,184,938,2062,2944,2697,1880,34.559528566,66.644027167
Diplôme maximum obtenu,Aucun diplôme,89,54,1264,4956,4183,885,422,10,71,1219,4709,7144,2644,3749,42.594364296,158.57015102
Diplôme maximum obtenu,Secondaire - DES,32,22,58,1853,1466,286,125,1,16,405,1847,1995,225,1209,46.957834461,141.37011973
Diplôme maximum obtenu,Secondaire - DEP,8,5,15,430,519,94,32,0,1,81,460,643,11,322,51.437896646,175.55213055
Diplôme maximum obtenu,Secondaire - ASP,1,1,2,24,33,5,1,0,0,2,28,39,2,24,50.358208955,178.89552239
Diplôme maximum obtenu,Collégial - AEC,3,1,0,154,126,35,11,1,1,40,161,169,0,103,50.848484848,126.95757576
Diplôme maximum obtenu,Collégial - DEC général,1,4,0,198,90,20,7,0,1,51,157,163,2,103,47.9625,132.146875
Diplôme maximum obtenu,Collégial - DEC professionnel,2,1,0,232,128,28,17,1,0,54,232,176,3,108,49.330882353,122.17156863
Diplôme maximum obtenu,Universitaire - Certificat,1,1,0,69,58,10,5,0,0,23,87,57,0,54,52.1875,133.06944444
Diplôme maximum obtenu,Universitaire - Baccalauréat,4,2,1,263,185,29,18,2,8,168,261,241,1,178,50.75498008,105.97410359
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,1,2,0,51,40,4,6,1,2,48,46,58,0,39,53.269230769,94.548076923
Diplôme maximum obtenu,Inconnu,57,26,981,2247,1507,542,240,183,195,1173,2327,3273,2718,2083,36.074107143,71.486428571
Durée cumulative,Premier mois,0,0,6,21,4,11,2,0,1,1,19,25,35,44,22.840909091,1
Durée cumulative,De 2 à 5 mois,4,1,85,222,106,66,24,3,31,75,189,319,364,508,26.785433071,3.7125984252
Durée cumulative,De 6 à 11 mois,14,1,176,354,231,113,29,19,26,114,345,573,629,918,27.218954248,8.4564270153
Durée cumulative,De 12 à 23 mois,10,9,323,773,467,202,78,52,82,255,727,1135,1153,1862,29.95810956,17.569280344
Durée cumulative,De 24 à 47 mois,32,21,585,1726,1011,373,129,60,140,547,1495,2382,2017,814,32.509672427,35.438741295
Durée cumulative,De 48 à 119 mois,65,45,693,3228,2135,544,239,55,15,1294,2829,4120,1408,1636,41.126493021,76.364081163
Durée cumulative,120 mois et plus,74,42,453,4153,4381,629,383,10,0,978,4711,5404,0,2190,52.495106278,250.55719229
Types de diagnostics,Visuel,199,0,0,0,0,0,0,7,7,56,86,113,27,71,45.859296482,125.09547739
Types de diagnostics,Auditif et de la parole,0,119,0,0,0,0,0,3,5,31,69,50,19,51,42.756302521,121.48739496
Types de diagnostics,Intellectuel et d'apprentissage,0,0,2321,0,0,0,0,16,34,237,1092,1229,1444,1001,27.961654459,83.691943128
Types de diagnostics,Santé mentale,0,0,0,10477,0,0,0,27,31,1180,3882,6595,2854,3291,38.747637683,126.54777131
Types de diagnostics,Physique,0,0,0,0,8335,0,0,99,131,1214,3852,4483,815,2258,50.313737253,162.82159568
Types de diagnostics,Autres,0,0,0,0,0,1938,0,14,17,289,801,1137,422,978,45.654798762,107.06140351
Types de diagnostics,Conjoints sans contraintes sévères,0,0,0,0,0,0,884,33,70,257,533,351,25,322,51.222850679,136.65045249
Région,01 - Bas-Saint-Laurent,1,0,68,306,244,61,30,0,1,8,298,412,151,245,44.197183099,150.6943662
Région,02 - Saguenay-Lac-Saint-Jean,7,0,113,316,330,63,36,0,0,16,403,462,211,301,42.336416185,150.95722543
Région,03 - Capitale-Nationale,13,8,128,808,591,186,35,4,26,132,744,1025,359,601,43.51271905,143.77784059
Région,04 - Mauricie,5,6,90,408,386,81,29,0,1,30,443,562,209,319,43.470646766,165.49751244
Région,05 - Estrie,9,9,187,745,519,112,46,1,18,115,716,911,415,553,41.074370006,128.2489244
Région,06 - Montréal,78,49,542,2830,2080,528,280,141,126,1922,2575,3812,1283,2086,43.996398935,130.81838109
Région,07 - Outaouais,11,4,80,473,390,94,57,4,18,115,494,615,188,360,44.486023445,136.96122633
Région,08 - Abitibi-Témiscamingue,3,0,74,194,172,37,7,0,0,8,213,274,98,169,43.406570842,147.68788501
Région,09 - Côte-Nord,0,2,15,89,86,24,3,0,0,3,95,124,47,75,43.648401826,141.05936073
Région,10 - Nord-du-Québec,0,0,11,41,45,8,4,0,0,3,40,69,28,52,39.688073394,114.88073394
Région,11 - Gaspésie-Îles-de-la-Madeleine,2,2,32,172,183,41,11,0,0,5,195,248,88,151,44.679458239,156.94582393
Région,12 - Chaudière-Appalaches,5,2,106,389,334,100,28,4,1,27,411,553,216,325,42.562240664,133.3153527
Région,13 - Laval,12,6,125,373,392,79,75,14,52,338,458,604,290,359,43.762711864,104.48399247
Région,14 - Lanaudière,9,5,126,573,592,82,55,5,5,83,636,806,373,446,42.106796117,138.59153953
Région,15 - Laurentides,6,3,158,698,584,115,50,5,5,85,718,896,408,466,42.192069393,134.17348203
Région,16 - Montérégie,36,20,386,1680,1099,267,118,21,40,344,1514,2092,1045,1216,40.229617304,120.37326678
