Caracteristique,Valeur,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,817,1241,2410,4315,2628,30.265130112,8.236133829
Situation familiale,Couples sans enfants,94,53,146,142,61,38.840277778,15.909722222
Situation familiale,Familles monoparentales,214,172,664,125,95,35.235741445,7.6603295311
Situation familiale,Couples avec enfants,465,160,405,405,76,36.851851852,12.309876543
Situation familiale,Conjoint d'étudiant,12,4,6,13,2,36.947368421,7.2631578947
Sexe,Hommes,730,959,0,5000,1522,32.25,8.8196
Sexe,Femmes,872,671,3631,0,1340,30.7964748,8.8198843294
Âge,Moins de 20 ans,181,99,603,604,1207,18.473073737,7.4838442419
Âge,De 20 à 24 ans,249,199,737,918,1655,21.906344411,8.3178247734
Âge,De 25 à 29 ans,231,282,630,917,0,26.963800905,8.1144149968
Âge,De 30 à 34 ans,264,226,516,767,0,31.885424786,8.7412314887
Âge,De 35 à 39 ans,236,231,380,570,0,36.830526316,8.7368421053
Âge,De 40 à 44 ans,159,192,290,422,0,41.884831461,8.4901685393
Âge,De 45 à 49 ans,106,154,175,304,0,46.791231733,9.6346555324
Âge,De 50 à 54 ans,70,100,127,216,0,52.151603499,10.679300292
Âge,55 ans et plus,106,147,173,282,0,58.87032967,15.237362637
Âge,35 ans et moins,979,855,2579,3341,2862,25.194932432,8.2347972973
Âge,36 ans et plus,623,775,1052,1659,0,45.70933235,10.097012173
Scolarité,Primaire,253,83,277,307,256,31.683219178,8.9126712329
Scolarité,Secondaire I à IV,226,356,1137,1829,1513,27.46797033,9.3998651382
Scolarité,Secondaire V,228,351,727,1139,441,33.101822079,9.0107181136
Scolarité,Collégiale,59,180,334,375,61,36.671368124,8.9308885755
Scolarité,Universitaire,281,364,441,522,31,38.657320872,7.4267912773
Scolarité,Inconnue,555,296,715,828,560,31.175631886,8.2566429034
Diplôme maximum obtenu,Aucun diplôme,573,511,1540,2326,1847,28.681583032,9.2915157786
Diplôme maximum obtenu,Secondaire - DES,133,260,587,885,378,32.309782609,8.7017663043
Diplôme maximum obtenu,Secondaire - DEP,12,51,90,186,16,36.192028986,10.286231884
Diplôme maximum obtenu,Secondaire - ASP,0,1,6,5,0,39.636363636,6.3636363636
Diplôme maximum obtenu,Collégial - AEC,8,48,56,86,5,38.704225352,10.021126761
Diplôme maximum obtenu,Collégial - DEC général,5,26,54,58,10,35.991071429,9.3035714286
Diplôme maximum obtenu,Collégial - DEC professionnel,15,39,85,79,5,39.493902439,7.7926829268
Diplôme maximum obtenu,Universitaire - Certificat,12,19,37,30,4,38.417910448,7.1940298507
Diplôme maximum obtenu,Universitaire - Baccalauréat,106,156,202,200,9,38.624378109,7.5199004975
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,49,56,44,86,1,40.607692308,7.1076923077
Diplôme maximum obtenu,Inconnu,689,463,930,1059,587,32.589240825,8.2011060835
Durée cumulative,Premier mois,111,64,164,207,90,32.374663073,1
Durée cumulative,De 2 à 3 mois,247,249,570,710,411,31.25703125,2.5515625
Durée cumulative,De 4 à 6 mois,443,361,911,1247,741,31.089898054,4.9888785913
Durée cumulative,De 7 à 9 mois,358,370,793,1157,687,31.194871795,7.9358974359
Durée cumulative,De 10 à 12 mois,237,265,591,845,491,31.35724234,10.907381616
Durée cumulative,Plus de 12 mois,206,321,602,834,442,33.496518106,21.296657382
Statut au programme,Participants,1524,1549,3473,4880,2820,31.467975578,8.0911049922
Statut au programme,Non participants,78,81,158,120,42,36.762589928,30.712230216
Région,01 - Bas-Saint-Laurent,19,1,50,56,42,29.830188679,6.5943396226
Région,02 - Saguenay-Lac-Saint-Jean,2,4,99,118,111,27.046082949,9.8986175115
Région,03 - Capitale-Nationale,249,74,290,391,205,32.299559471,8.1336270191
Région,04 - Mauricie,79,24,160,204,184,28.211538462,8.793956044
Région,05 - Estrie,141,37,235,328,250,29.930728242,8.5150976909
Région,06 - Montréal,524,976,1101,1656,682,33.268770403,8.907145448
Région,07 - Outaouais,120,115,296,396,223,32.193641618,9.1257225434
Région,08 - Abitibi-Témiscamingue,0,2,40,66,39,29.801886792,7.1981132075
Région,09 - Côte-Nord,0,0,28,17,18,30.244444444,9.2
Région,10 - Nord-du-Québec,0,1,4,10,3,35.785714286,6.7857142857
Région,11 - Gaspésie-Îles-de-la-Madeleine,0,1,39,35,38,27.094594595,8.7027027027
Région,12 - Chaudière-Appalaches,4,14,106,170,92,31.289855072,8.884057971
Région,13 - Laval,105,144,203,247,105,33.971111111,8.5466666667
Région,14 - Lanaudière,36,31,168,257,175,29.463529412,8.5505882353
Région,15 - Laurentides,25,43,213,250,174,30.237580994,9.8099352052
Région,16 - Montérégie,206,145,459,621,381,31.5,9.0064814815
Région,17 - Centre-du-Québec,92,16,140,176,140,29.553797468,8.6613924051
Région,Région inconnue,0,2,0,2,0,47.5,8
