Caracteristique,Valeur,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,795,1262,2397,4575,2762,30.141135972,7.3825301205
Situation familiale,Couples sans enfants,82,66,140,134,49,40.810218978,18.434306569
Situation familiale,Familles monoparentales,226,172,677,133,92,35.761728395,7.1358024691
Situation familiale,Couples avec enfants,469,181,412,412,80,37.035194175,12.190533981
Situation familiale,Conjoint d'étudiant,8,8,11,9,1,35.5,6.6
Sexe,Hommes,708,1038,0,5263,1628,32.255367661,8.0554816644
Sexe,Femmes,872,651,3637,0,1356,30.728622491,8.2713775089
Âge,Moins de 20 ans,183,104,596,646,1242,18.459742351,6.4533011272
Âge,De 20 à 24 ans,237,201,760,982,1742,21.90815155,7.4913892078
Âge,De 25 à 29 ans,213,304,616,957,0,27.003814367,7.5371900826
Âge,De 30 à 34 ans,252,228,509,807,0,31.912613982,8.0858662614
Âge,De 35 à 39 ans,247,223,385,568,0,36.874081847,8.4039874082
Âge,De 40 à 44 ans,174,201,309,459,0,41.955729167,7.8020833333
Âge,De 45 à 49 ans,103,161,174,309,0,46.749482402,8.9855072464
Âge,De 50 à 54 ans,71,118,135,227,0,52.082872928,10.162983425
Âge,55 ans et plus,100,149,153,308,0,58.911062907,14.960954447
Âge,35 ans et moins,947,880,2573,3521,2984,25.15589104,7.4665244503
Âge,36 ans et plus,633,809,1064,1742,0,45.694939416,9.6143977192
Scolarité,Primaire,245,73,255,311,245,31.411660777,8.7385159011
Scolarité,Secondaire I à IV,214,358,1086,1887,1533,27.33736966,8.5909855365
Scolarité,Secondaire V,206,353,695,1150,415,33.577235772,8.4639566396
Scolarité,Collégiale,58,197,333,416,68,36.411214953,8.17623498
Scolarité,Universitaire,262,366,430,511,34,39.134962806,7.4187035069
Scolarité,Inconnue,595,342,838,988,689,30.897590361,7.2677984666
Diplôme maximum obtenu,Aucun diplôme,538,513,1456,2406,1846,28.631538063,8.5750906266
Diplôme maximum obtenu,Secondaire - DES,129,253,565,884,360,32.801242236,8.0303657695
Diplôme maximum obtenu,Secondaire - DEP,7,53,89,178,21,35.441947566,11.056179775
Diplôme maximum obtenu,Secondaire - ASP,1,1,5,6,1,41.181818182,5.6363636364
Diplôme maximum obtenu,Collégial - AEC,12,44,58,93,7,37.337748344,6.940397351
Diplôme maximum obtenu,Collégial - DEC général,7,32,50,67,8,34.871794872,8.2478632479
Diplôme maximum obtenu,Collégial - DEC professionnel,7,41,87,75,10,38.709876543,7.7037037037
Diplôme maximum obtenu,Universitaire - Certificat,8,24,36,36,2,42.458333333,7.0277777778
Diplôme maximum obtenu,Universitaire - Baccalauréat,98,151,182,205,12,38.490956072,7.5012919897
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,46,59,57,74,0,41.091603053,6.4122137405
Diplôme maximum obtenu,Inconnu,727,518,1052,1239,717,32.376691401,7.508511567
Durée cumulative,Premier mois,137,83,239,344,204,30.516295026,1
Durée cumulative,De 2 à 3 mois,316,298,742,1037,605,30.98257448,2.538504778
Durée cumulative,De 4 à 6 mois,458,426,942,1417,793,31.36583298,4.9652395083
Durée cumulative,De 7 à 9 mois,269,319,655,953,567,31.17039801,7.8961442786
Durée cumulative,De 10 à 12 mois,232,263,506,699,420,31.419087137,10.946058091
Durée cumulative,Plus de 12 mois,168,300,553,813,395,34.141288433,21.800878477
Statut au programme,Participants,1508,1590,3471,5140,2945,31.427941006,7.330855882
Statut au programme,Non participants,72,99,166,123,39,37.69550173,32.363321799
Région,01 - Bas-Saint-Laurent,14,2,53,61,42,30.403508772,8.7719298246
Région,02 - Saguenay-Lac-Saint-Jean,3,1,98,128,129,26.384955752,8.0663716814
Région,03 - Capitale-Nationale,257,86,322,455,247,31.759330759,7.2985842986
Région,04 - Mauricie,56,21,159,179,184,27.201183432,7.600591716
Région,05 - Estrie,159,53,241,353,236,30.606060606,8.7861952862
Région,06 - Montréal,491,993,1083,1676,707,33.352664009,8.1134469011
Région,07 - Outaouais,114,105,279,395,210,32.712166172,9.5252225519
Région,08 - Abitibi-Témiscamingue,0,5,44,72,44,29.681034483,7.0689655172
Région,09 - Côte-Nord,1,2,23,27,18,31.48,7.44
Région,10 - Nord-du-Québec,0,0,2,7,2,35.555555556,5.5555555556
Région,11 - Gaspésie-Îles-de-la-Madeleine,0,1,36,45,40,28.50617284,7.1728395062
Région,12 - Chaudière-Appalaches,11,12,113,182,105,30.752542373,8.4508474576
Région,13 - Laval,114,160,193,291,117,34.330578512,8.8739669421
Région,14 - Lanaudière,36,39,182,272,184,29.350220264,6.9559471366
Région,15 - Laurentides,30,53,217,287,169,30.942460317,7.9464285714
Région,16 - Montérégie,209,141,465,645,404,31.179279279,8.1063063063
Région,17 - Centre-du-Québec,84,14,127,186,146,28.808306709,8.3290734824
Région,Région inconnue,1,1,0,2,0,46,6.5
