Caracteristique,Valeur,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,841,1272,2446,4603,2745,30.257057739,7.7574123989
Situation familiale,Couples sans enfants,99,66,149,149,54,40.483221477,15.214765101
Situation familiale,Familles monoparentales,210,171,667,130,94,35.663739021,7.4429109159
Situation familiale,Couples avec enfants,436,191,409,409,84,37.06601467,12.138141809
Situation familiale,Conjoint d'étudiant,9,8,11,10,1,36,7.4285714286
Sexe,Hommes,741,1015,0,5301,1619,32.239766082,8.345972458
Sexe,Femmes,854,693,3682,0,1359,30.945953286,8.4168929929
Âge,Moins de 20 ans,182,109,605,651,1256,18.458598726,6.9609872611
Âge,De 20 à 24 ans,237,200,754,968,1722,21.899535424,7.8693379791
Âge,De 25 à 29 ans,233,300,621,968,0,27.009439899,7.7073631215
Âge,De 30 à 34 ans,251,230,504,812,0,31.929331307,8.4703647416
Âge,De 35 à 39 ans,230,232,388,599,0,36.845997974,8.4194528875
Âge,De 40 à 44 ans,163,217,312,464,0,41.908505155,8.1404639175
Âge,De 45 à 49 ans,118,153,184,319,0,46.751491054,9.1411530815
Âge,De 50 à 54 ans,74,119,148,224,0,52.086021505,10.518817204
Âge,55 ans et plus,107,148,166,296,0,58.948051948,13.867965368
Âge,35 ans et moins,958,885,2586,3530,2978,25.177730543,7.8225964683
Âge,36 ans et plus,637,823,1096,1771,0,45.643181025,9.553540286
Scolarité,Primaire,246,92,271,327,263,31.533444816,9.0267558528
Scolarité,Secondaire I à IV,225,363,1130,1925,1554,27.43502455,8.7819967267
Scolarité,Secondaire V,223,364,721,1171,429,33.462473573,8.577167019
Scolarité,Collégiale,55,191,333,411,68,36.375,8.3454301075
Scolarité,Universitaire,278,356,439,520,29,39.113660063,7.511991658
Scolarité,Inconnue,568,342,788,947,635,31.291642651,7.7031700288
Diplôme maximum obtenu,Aucun diplôme,554,534,1522,2434,1885,28.654701719,8.8217896866
Diplôme maximum obtenu,Secondaire - DES,140,260,582,917,376,32.701801201,8.3442294863
Diplôme maximum obtenu,Secondaire - DEP,11,58,93,198,18,35.797250859,9.2920962199
Diplôme maximum obtenu,Secondaire - ASP,0,2,6,7,0,40.230769231,5.6153846154
Diplôme maximum obtenu,Collégial - AEC,10,48,62,90,6,37.664473684,7.6118421053
Diplôme maximum obtenu,Collégial - DEC général,7,31,52,69,12,35.661157025,8.7438016529
Diplôme maximum obtenu,Collégial - DEC professionnel,8,39,77,80,6,38.910828025,7.4012738854
Diplôme maximum obtenu,Universitaire - Certificat,10,21,38,37,2,41.4,7.5466666667
Diplôme maximum obtenu,Universitaire - Baccalauréat,104,148,198,201,8,38.588972431,7.3609022556
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,45,58,48,82,1,41.130769231,7
Diplôme maximum obtenu,Inconnu,706,509,1004,1186,664,32.662100457,7.8808219178
Durée cumulative,Premier mois,93,80,187,243,111,32.544186047,1
Durée cumulative,De 2 à 3 mois,324,272,661,911,532,30.984096692,2.5184478372
Durée cumulative,De 4 à 6 mois,429,416,967,1388,812,31.284076433,4.9464968153
Durée cumulative,De 7 à 9 mois,350,354,776,1151,656,31.293201868,7.9122989102
Durée cumulative,De 10 à 12 mois,215,269,507,769,446,31.373040752,10.928683386
Durée cumulative,Plus de 12 mois,184,317,584,839,421,33.827828531,21.084328883
Statut au programme,Participants,1528,1617,3525,5176,2937,31.524882197,7.6826801517
Statut au programme,Non participants,67,91,157,125,41,37.404255319,29.737588652
Région,01 - Bas-Saint-Laurent,10,1,49,55,37,31.019230769,8.2884615385
Région,02 - Saguenay-Lac-Saint-Jean,3,3,99,133,122,26.86637931,9.0129310345
Région,03 - Capitale-Nationale,254,81,308,433,227,31.95951417,7.7962213225
Région,04 - Mauricie,64,29,162,199,191,27.806094183,8.4515235457
Région,05 - Estrie,165,51,248,353,241,30.755407654,8.622296173
Région,06 - Montréal,521,1027,1120,1743,725,33.334963325,8.1907090465
Région,07 - Outaouais,117,112,283,397,207,32.775,9.2867647059
Région,08 - Abitibi-Témiscamingue,0,4,38,72,40,29.972727273,6.9090909091
Région,09 - Côte-Nord,0,1,24,20,17,31.227272727,8.0909090909
Région,10 - Nord-du-Québec,0,0,2,12,1,38.357142857,3.7142857143
Région,11 - Gaspésie-Îles-de-la-Madeleine,0,1,36,40,37,27.118421053,7.9078947368
Région,12 - Chaudière-Appalaches,4,12,114,192,113,30.656862745,8.6111111111
Région,13 - Laval,112,147,194,262,106,34.510964912,8.7872807018
Région,14 - Lanaudière,35,32,177,280,183,29.796498906,7.8599562363
Région,15 - Laurentides,28,46,219,279,179,30.612449799,8.7630522088
Région,16 - Montérégie,198,145,467,651,396,31.284436494,8.4248658318
Région,17 - Centre-du-Québec,84,15,140,179,154,28.63322884,8.4451410658
Région,Région inconnue,0,1,2,1,2,33,8.3333333333
