Caracteristique,Valeur,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,798,1267,2424,4450,2662,30.348414315,7.961448938
Situation familiale,Couples sans enfants,90,64,144,144,55,39.743055556,17.184027778
Situation familiale,Familles monoparentales,206,165,649,129,94,35.424164524,7.6028277635
Situation familiale,Couples avec enfants,426,175,396,396,70,37.252525253,12.744949495
Situation familiale,Conjoint d'étudiant,11,5,8,10,1,35.944444444,7
Sexe,Hommes,699,1000,0,5129,1564,32.334958081,8.6572431273
Sexe,Femmes,832,676,3621,0,1318,30.910245788,8.6738470036
Âge,Moins de 20 ans,172,100,590,620,1210,18.457024793,7.1876033058
Âge,De 20 à 24 ans,231,193,728,944,1672,21.907894737,8.0544258373
Âge,De 25 à 29 ans,222,296,637,916,0,26.981326465,7.8609143593
Âge,De 30 à 34 ans,239,236,505,782,0,31.903651904,8.7311577312
Âge,De 35 à 39 ans,227,226,375,588,0,36.834890966,8.6895119418
Âge,De 40 à 44 ans,167,199,302,451,0,41.871181939,8.3837981408
Âge,De 45 à 49 ans,108,153,177,318,0,46.763636364,9.4828282828
Âge,De 50 à 54 ans,68,116,141,214,0,52.112676056,10.715492958
Âge,55 ans et plus,97,157,166,296,0,58.87012987,15.201298701
Âge,35 ans et moins,919,869,2558,3395,2882,25.199059298,8.0319166807
Âge,36 ans et plus,612,807,1063,1734,0,45.678226671,10.0096532
Scolarité,Primaire,242,87,276,300,251,31.628472222,9.2951388889
Scolarité,Secondaire I à IV,208,364,1116,1864,1508,27.52114094,9.1402684564
Scolarité,Secondaire V,213,355,719,1156,430,33.254933333,8.9376
Scolarité,Collégiale,60,190,338,398,64,36.633152174,8.5421195652
Scolarité,Universitaire,277,358,432,531,31,39.093457944,7.5835929387
Scolarité,Inconnue,531,322,740,880,598,31.221604938,7.9450617284
Diplôme maximum obtenu,Aucun diplôme,538,526,1520,2348,1839,28.682523268,9.1680455016
Diplôme maximum obtenu,Secondaire - DES,123,255,578,906,362,32.692722372,8.5916442049
Diplôme maximum obtenu,Secondaire - DEP,12,59,93,192,19,35.698245614,9.9964912281
Diplôme maximum obtenu,Secondaire - ASP,0,1,5,5,0,38.1,5.6
Diplôme maximum obtenu,Collégial - AEC,9,52,59,90,7,38.456375839,9.4093959732
Diplôme maximum obtenu,Collégial - DEC général,6,28,57,64,11,35.743801653,8.8016528926
Diplôme maximum obtenu,Collégial - DEC professionnel,15,39,85,81,6,38.93373494,7.2289156627
Diplôme maximum obtenu,Universitaire - Certificat,10,18,35,36,3,40.61971831,7.3802816901
Diplôme maximum obtenu,Universitaire - Baccalauréat,100,154,192,209,9,38.867830424,7.7456359102
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,49,55,51,80,1,40.969465649,7.2595419847
Diplôme maximum obtenu,Inconnu,669,489,946,1118,625,32.656007752,7.9680232558
Durée cumulative,Premier mois,83,64,174,198,102,31.908602151,1
Durée cumulative,De 2 à 3 mois,283,266,618,835,454,31.634549209,2.5292498279
Durée cumulative,De 4 à 6 mois,430,400,959,1335,811,30.789014821,5.0056669573
Durée cumulative,De 7 à 9 mois,340,358,751,1130,635,31.588516746,7.9696969697
Durée cumulative,De 10 à 12 mois,190,283,539,811,471,31.365185185,10.9
Durée cumulative,Plus de 12 mois,205,305,580,820,409,33.961428571,21.839285714
Statut au programme,Participants,1460,1590,3465,5003,2842,31.561289561,7.8703353803
Statut au programme,Non participants,71,86,156,126,40,37.273049645,32.5
Région,01 - Bas-Saint-Laurent,12,1,47,51,34,30.602040816,7.9081632653
Région,02 - Saguenay-Lac-Saint-Jean,2,4,96,121,112,27.30875576,9.4055299539
Région,03 - Capitale-Nationale,227,80,284,403,213,32.045123726,8.0611353712
Région,04 - Mauricie,63,28,162,194,183,27.97752809,8.3792134831
Région,05 - Estrie,147,47,244,345,239,30.767402377,8.8268251273
Région,06 - Montréal,516,996,1100,1693,704,33.279985678,8.5943430004
Région,07 - Outaouais,116,116,289,394,213,32.560761347,9.3294289898
Région,08 - Abitibi-Témiscamingue,0,2,40,70,41,29.509090909,7.2181818182
Région,09 - Côte-Nord,0,0,24,21,17,30.888888889,8.2888888889
Région,10 - Nord-du-Québec,0,2,4,14,2,37.5,5.6666666667
Région,11 - Gaspésie-Îles-de-la-Madeleine,0,1,39,37,37,27.315789474,7.9605263158
Région,12 - Chaudière-Appalaches,3,10,103,186,95,31.629757785,8.5813148789
Région,13 - Laval,109,146,204,251,105,33.894505495,8.5032967033
Région,14 - Lanaudière,32,30,161,268,178,29.508158508,8.1958041958
Région,15 - Laurentides,27,50,222,274,176,30.721774194,9.3790322581
Région,16 - Montérégie,193,148,463,635,387,31.587431694,8.864298725
Région,17 - Centre-du-Québec,84,14,139,171,146,28.938709677,8.9064516129
Région,Région inconnue,0,1,0,1,0,59,14
