Caracteristique,Valeur,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,695,1099,2116,4002,2423,30.214612619,7.4297155933
Situation familiale,Couples sans enfants,75,56,116,118,51,39.115384615,19.457264957
Situation familiale,Familles monoparentales,207,165,642,108,88,35.261333333,7.1226666667
Situation familiale,Couples avec enfants,446,194,396,396,78,36.926767677,11.902777778
Situation familiale,Conjoint d'étudiant,7,4,8,7,2,36.733333333,7.4
Sexe,Hommes,654,887,0,4631,1446,32.226732887,7.95314187
Sexe,Femmes,776,631,3278,0,1196,30.813605857,8.5591824283
Âge,Moins de 20 ans,148,100,512,558,1070,18.48411215,6.9205607477
Âge,De 20 à 24 ans,213,172,684,888,1572,21.917938931,7.3969465649
Âge,De 25 à 29 ans,216,255,573,828,0,26.987152034,7.3561741613
Âge,De 30 à 34 ans,225,233,445,707,0,31.936631944,8.4262152778
Âge,De 35 à 39 ans,220,203,356,503,0,36.90104773,8.5227008149
Âge,De 40 à 44 ans,169,183,295,410,0,41.892198582,7.8737588652
Âge,De 45 à 49 ans,98,137,150,283,0,46.787528868,9.5127020785
Âge,De 50 à 54 ans,61,110,132,190,0,52.02484472,10.329192547
Âge,55 ans et plus,80,125,131,264,0,58.665822785,13.987341772
Âge,35 ans et moins,847,797,2286,3096,2642,25.153846154,7.5626161278
Âge,36 ans et plus,583,721,992,1535,0,45.457459438,9.5710328453
Scolarité,Primaire,223,56,226,273,219,30.675350701,8.5751503006
Scolarité,Secondaire I à IV,173,325,934,1629,1298,27.394849785,8.7112758486
Scolarité,Secondaire V,186,307,637,983,371,33.748765432,8.8783950617
Scolarité,Collégiale,60,185,299,383,68,36.351906158,8.3211143695
Scolarité,Universitaire,227,307,359,433,29,39.088383838,7.4633838384
Scolarité,Inconnue,561,338,823,930,657,30.978893326,7.0239589276
Diplôme maximum obtenu,Aucun diplôme,480,447,1248,2074,1580,28.47320891,8.7474413004
Diplôme maximum obtenu,Secondaire - DES,103,224,533,759,325,33.061919505,8.310371517
Diplôme maximum obtenu,Secondaire - DEP,9,50,83,158,16,35.763485477,10.67219917
Diplôme maximum obtenu,Secondaire - ASP,1,1,3,3,0,41,5.8333333333
Diplôme maximum obtenu,Collégial - AEC,11,37,53,87,4,37.414285714,7.6785714286
Diplôme maximum obtenu,Collégial - DEC général,5,30,46,59,12,33.942857143,7.8571428571
Diplôme maximum obtenu,Collégial - DEC professionnel,9,39,80,69,11,39.302013423,7.8389261745
Diplôme maximum obtenu,Universitaire - Certificat,4,21,25,31,1,43.178571429,7.0535714286
Diplôme maximum obtenu,Universitaire - Baccalauréat,76,122,136,168,10,38.342105263,7.7302631579
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,45,50,57,59,0,40.318965517,6.0086206897
Diplôme maximum obtenu,Inconnu,687,497,1014,1164,683,32.447658402,7.3347107438
Durée cumulative,Premier mois,116,75,194,273,112,33.338329764,1
Durée cumulative,De 2 à 3 mois,342,297,685,1024,560,31.247513166,2.5067290813
Durée cumulative,De 4 à 6 mois,349,373,808,1130,705,30.883384933,4.882868937
Durée cumulative,De 7 à 9 mois,295,305,605,808,503,31.072894551,7.9483368719
Durée cumulative,De 10 à 12 mois,164,227,495,728,428,31.033524121,10.942763696
Durée cumulative,Plus de 12 mois,164,241,491,668,334,34.138050043,22.484900777
Statut au programme,Participants,1368,1418,3120,4521,2599,31.450202853,7.3265279414
Statut au programme,Non participants,62,100,158,110,43,37.082089552,33.231343284
Région,01 - Bas-Saint-Laurent,11,2,47,52,44,28.909090909,7.5555555556
Région,02 - Saguenay-Lac-Saint-Jean,1,4,94,120,113,26.934579439,7.6542056075
Région,03 - Capitale-Nationale,224,87,296,395,234,31.260492041,6.509406657
Région,04 - Mauricie,35,15,127,145,155,26.955882353,7.8529411765
Région,05 - Estrie,171,41,227,320,220,30.603290676,8.4606946984
Région,06 - Montréal,444,900,1000,1449,607,33.685585953,8.3777051858
Région,07 - Outaouais,103,105,256,350,178,32.795379538,9.5907590759
Région,08 - Abitibi-Témiscamingue,0,3,42,56,40,29.275510204,7.9795918367
Région,09 - Côte-Nord,0,1,23,19,18,30.69047619,10.714285714
Région,10 - Nord-du-Québec,0,1,1,7,5,30.625,4.875
Région,11 - Gaspésie-Îles-de-la-Madeleine,0,2,30,45,39,27.773333333,7.4133333333
Région,12 - Chaudière-Appalaches,16,9,103,174,87,31.59566787,7.0144404332
Région,13 - Laval,95,132,168,246,101,33.95410628,8.6183574879
Région,14 - Lanaudière,31,36,172,256,178,28.941588785,7.0490654206
Région,15 - Laurentides,28,40,168,253,143,31.220902613,8.6722090261
Région,16 - Montérégie,191,120,411,562,342,31.205549846,8.6084275437
Région,17 - Centre-du-Québec,79,20,112,181,137,28.460750853,8.5324232082
Région,Région inconnue,1,0,1,1,1,26,14.5
