Caracteristique,Valeur,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,706,980,2036,3641,2326,30.057424696,7.347895015
Situation familiale,Couples sans enfants,89,54,120,122,57,40.367768595,15.297520661
Situation familiale,Familles monoparentales,240,159,663,90,96,35.100929615,7.4236387782
Situation familiale,Couples avec enfants,536,171,423,423,68,37.770685579,11.271867612
Situation familiale,Conjoint d'étudiant,8,4,10,8,3,32.444444444,5.8888888889
Sexe,Hommes,715,799,0,4284,1352,32.324696545,7.9677871148
Sexe,Femmes,864,569,3252,0,1198,31.025522755,8.1531365314
Âge,Moins de 20 ans,173,98,527,531,1058,18.464083176,6.5831758034
Âge,De 20 à 24 ans,228,151,671,821,1492,21.918900804,7.6387399464
Âge,De 25 à 29 ans,183,232,515,748,0,26.954869359,7.3436262866
Âge,De 30 à 34 ans,260,197,456,640,0,32.008211679,8.1304744526
Âge,De 35 à 39 ans,243,181,358,455,0,36.949569496,7.5965559656
Âge,De 40 à 44 ans,194,166,282,382,0,41.856927711,8.046686747
Âge,De 45 à 49 ans,125,129,176,268,0,46.691441441,8.5698198198
Âge,De 50 à 54 ans,82,96,133,186,0,51.934169279,11.347962382
Âge,55 ans et plus,91,118,134,253,0,59.121447028,13.322997416
Âge,35 ans et moins,880,716,2235,2840,2550,25.058719212,7.4667980296
Âge,36 ans et plus,699,652,1017,1444,0,45.591629419,9.2458350264
Scolarité,Primaire,307,56,288,303,233,32.648054146,8.1945854484
Scolarité,Secondaire I à IV,187,291,920,1434,1199,27.191163976,8.520815633
Scolarité,Secondaire V,193,290,625,941,399,33.350574713,8.5977011494
Scolarité,Collégiale,68,167,280,361,61,36.422776911,8.0889235569
Scolarité,Universitaire,227,286,349,384,31,39.377899045,7.0095497954
Scolarité,Inconnue,597,278,790,861,627,31.273773471,7.2440944882
Diplôme maximum obtenu,Aucun diplôme,570,423,1324,1903,1509,28.800433839,8.6712116517
Diplôme maximum obtenu,Secondaire - DES,117,202,518,730,341,32.6875,7.8036858974
Diplôme maximum obtenu,Secondaire - DEP,10,44,62,149,15,35.796208531,9.4312796209
Diplôme maximum obtenu,Secondaire - ASP,0,1,2,1,0,40,4.6666666667
Diplôme maximum obtenu,Collégial - AEC,18,37,52,88,4,38.5,6.7714285714
Diplôme maximum obtenu,Collégial - DEC général,5,31,46,53,8,35.474747475,9.6565656566
Diplôme maximum obtenu,Collégial - DEC professionnel,9,35,62,60,6,39.713114754,7.7049180328
Diplôme maximum obtenu,Universitaire - Certificat,7,21,32,29,1,41.803278689,7.7704918033
Diplôme maximum obtenu,Universitaire - Baccalauréat,78,109,131,143,14,38.700729927,6.8868613139
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,40,45,53,49,1,39.862745098,5.7156862745
Diplôme maximum obtenu,Inconnu,725,420,970,1079,651,32.699365544,7.3865300146
Durée cumulative,Premier mois,93,95,244,307,171,31.484573503,1
Durée cumulative,De 2 à 3 mois,357,269,610,834,500,31.181440443,2.4930747922
Durée cumulative,De 4 à 6 mois,394,363,823,1003,630,31.191675794,4.9715224535
Durée cumulative,De 7 à 9 mois,335,272,662,928,536,31.469811321,7.9308176101
Durée cumulative,De 10 à 12 mois,227,179,467,635,411,31.388384755,10.879310345
Durée cumulative,Plus de 12 mois,173,190,446,577,302,34.620723363,22.306940371
Statut au programme,Participants,1488,1285,3087,4177,2507,31.543639868,7.2619768722
Statut au programme,Non participants,91,83,165,107,43,37.650735294,29.033088235
Région,01 - Bas-Saint-Laurent,29,5,65,59,54,28.153225806,7.9274193548
Région,02 - Saguenay-Lac-Saint-Jean,2,6,86,111,98,27.862944162,7.6903553299
Région,03 - Capitale-Nationale,211,95,299,349,191,32.097222222,7.0216049383
Région,04 - Mauricie,61,14,143,142,148,27.280701754,8.0315789474
Région,05 - Estrie,147,52,218,302,213,30.575,8.1
Région,06 - Montréal,436,803,948,1333,620,33.529592284,8.2091188075
Région,07 - Outaouais,127,92,250,319,173,32.729349736,8.985940246
Région,08 - Abitibi-Témiscamingue,0,1,40,42,40,29.182926829,8.5731707317
Région,09 - Côte-Nord,0,1,24,22,18,28.891304348,11.782608696
Région,10 - Nord-du-Québec,0,0,4,7,7,25.090909091,8
Région,11 - Gaspésie-Îles-de-la-Madeleine,0,0,29,35,28,28.40625,6.859375
Région,12 - Chaudière-Appalaches,8,5,76,153,76,31.213973799,8.327510917
Région,13 - Laval,126,107,161,237,112,34.48241206,7.8592964824
Région,14 - Lanaudière,53,22,157,210,155,29.196185286,7.4223433243
Région,15 - Laurentides,50,26,185,215,131,32.4725,8.35
Région,16 - Montérégie,204,121,420,552,338,31.270576132,7.616255144
Région,17 - Centre-du-Québec,125,18,146,195,148,29.187683284,8.706744868
Région,Région inconnue,0,0,1,1,0,38.5,9
