Caracteristique,Valeur,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,632,955,1930,3533,2246,30.080907926,7.3038623467
Situation familiale,Couples sans enfants,84,51,114,116,44,41.569565217,17.317391304
Situation familiale,Familles monoparentales,204,150,592,86,85,35.041297935,7.3938053097
Situation familiale,Couples avec enfants,447,152,366,366,61,37.504098361,10.848360656
Situation familiale,Conjoint d'étudiant,11,1,11,5,1,34.8125,5.1875
Sexe,Hommes,622,767,0,4106,1308,32.315879201,7.9391134925
Sexe,Femmes,756,542,3013,0,1129,30.856953203,8.0726850315
Âge,Moins de 20 ans,148,104,494,519,1013,18.457058243,6.5370187562
Âge,De 20 à 24 ans,199,143,635,789,1424,21.885533708,7.4276685393
Âge,De 25 à 29 ans,154,215,471,718,0,26.937762826,7.3179142136
Âge,De 30 à 34 ans,234,195,434,621,0,31.984834123,8.1023696682
Âge,De 35 à 39 ans,213,158,314,411,0,36.980689655,7.3586206897
Âge,De 40 à 44 ans,174,161,267,357,0,41.868589744,7.7532051282
Âge,De 45 à 49 ans,108,123,161,262,0,46.737588652,8.3286052009
Âge,De 50 à 54 ans,72,94,118,171,0,51.906574394,12.442906574
Âge,55 ans et plus,76,116,119,258,0,59.198938992,13.74270557
Âge,35 ans et moins,762,691,2090,2731,2437,25.002074258,7.3640323584
Âge,36 ans et plus,616,618,923,1375,0,45.746736292,9.3207136641
Scolarité,Primaire,251,58,248,275,214,32.21414914,8.1242829828
Scolarité,Secondaire I à IV,171,277,872,1395,1162,27.237759153,8.496691663
Scolarité,Secondaire V,161,264,569,903,374,33.444972826,8.5930706522
Scolarité,Collégiale,57,164,267,344,56,36.343698854,7.9296235679
Scolarité,Universitaire,215,277,325,367,28,39.466763006,7.0852601156
Scolarité,Inconnue,523,269,732,822,603,31.092020592,7.0868725869
Diplôme maximum obtenu,Aucun diplôme,488,407,1227,1832,1450,28.667865315,8.6724419745
Diplôme maximum obtenu,Secondaire - DES,91,184,467,694,310,32.874246339,7.7459086994
Diplôme maximum obtenu,Secondaire - DEP,9,39,62,138,17,35.65,9.27
Diplôme maximum obtenu,Secondaire - ASP,0,0,1,1,0,37,5.5
Diplôme maximum obtenu,Collégial - AEC,18,39,56,84,5,38.121428571,6.55
Diplôme maximum obtenu,Collégial - DEC général,5,27,42,52,8,35.085106383,9.6489361702
Diplôme maximum obtenu,Collégial - DEC professionnel,7,37,58,56,7,39.385964912,7.5
Diplôme maximum obtenu,Universitaire - Certificat,8,19,29,30,1,42.152542373,7.8305084746
Diplôme maximum obtenu,Universitaire - Baccalauréat,76,105,130,136,12,38.639097744,6.6766917293
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,41,41,48,48,2,39.791666667,6.0208333333
Diplôme maximum obtenu,Inconnu,635,411,893,1035,625,32.616701245,7.2816390041
Durée cumulative,Premier mois,111,91,191,322,168,31.399610136,1
Durée cumulative,De 2 à 3 mois,338,263,630,757,460,31.403028118,2.4953136265
Durée cumulative,De 4 à 6 mois,342,361,754,1053,653,31.009407858,4.9845047039
Durée cumulative,De 7 à 9 mois,246,249,621,856,528,31.041299932,7.9255247123
Durée cumulative,De 10 à 12 mois,183,165,407,578,356,31.465989848,10.880203046
Durée cumulative,Plus de 12 mois,158,180,410,540,272,34.864210526,22.649473684
Statut au programme,Participants,1299,1237,2868,4013,2409,31.443540183,7.2147943613
Statut au programme,Non participants,79,72,145,93,28,39.067226891,30.571428571
Région,01 - Bas-Saint-Laurent,13,4,49,53,47,28.568627451,8.1666666667
Région,02 - Saguenay-Lac-Saint-Jean,2,7,81,105,95,27.580645161,8.3064516129
Région,03 - Capitale-Nationale,180,92,271,332,189,31.724709784,6.8656716418
Région,04 - Mauricie,59,14,138,141,141,27.465949821,7.7419354839
Région,05 - Estrie,118,45,198,281,204,30.066805846,7.7954070981
Région,06 - Montréal,424,792,924,1284,589,33.548913043,8.1748188406
Région,07 - Outaouais,126,79,229,318,166,32.745886654,8.4606946984
Région,08 - Abitibi-Témiscamingue,0,1,33,42,35,29.28,8.4133333333
Région,09 - Côte-Nord,0,2,26,22,21,29.333333333,12.416666667
Région,10 - Nord-du-Québec,0,0,6,9,10,24.133333333,8.2666666667
Région,11 - Gaspésie-Îles-de-la-Madeleine,0,1,32,36,29,28.308823529,7.3382352941
Région,12 - Chaudière-Appalaches,7,5,71,148,72,31.073059361,7.8310502283
Région,13 - Laval,117,101,155,227,104,34.659685864,7.7696335079
Région,14 - Lanaudière,38,24,143,209,158,28.889204545,7.5
Région,15 - Laurentides,28,24,158,203,121,32.069252078,7.783933518
Région,16 - Montérégie,188,104,384,524,320,31.504405286,8.3039647577
Région,17 - Centre-du-Québec,78,14,115,172,136,28.383275261,8.0418118467
