Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,170,105,2315,10570,7915,1340,0,119,164,2496,9113,13302,5800,7179,42.341601606,137.19192505
Situation familiale,Couples sans enfants,10,11,42,188,599,54,637,38,94,375,769,772,26,445,56.626216742,176.76508761
Situation familiale,Familles monoparentales,12,9,37,329,516,20,0,0,8,198,753,170,16,238,44.504875406,147.26327194
Situation familiale,Couples avec enfants,9,10,33,93,231,6,336,10,40,280,358,360,21,227,44.519498607,137.51949861
Situation familiale,Conjoint d'étudiant,0,0,0,2,3,0,0,0,0,2,3,2,0,2,41.8,107.4
Sexe,Hommes,115,61,1282,6957,4954,844,393,100,129,1747,0,14606,3813,4929,41.85759277,130.33828564
Sexe,Femmes,86,74,1145,4225,4310,576,580,67,177,1604,10996,0,2050,3162,45.309930884,152.69470717
Âge,Moins de 20 ans,2,6,414,640,208,284,1,0,15,126,561,994,1555,1530,18.588424437,11.518327974
Âge,De 20 à 24 ans,24,11,1140,2307,591,218,17,8,33,344,1489,2819,4308,990,21.711699164,40.941504178
Âge,De 25 à 29 ans,14,15,234,912,234,57,35,14,19,172,531,970,0,555,26.946035976,62.752165223
Âge,De 30 à 34 ans,11,13,123,870,319,48,56,8,17,164,550,890,0,493,32.00625,91.994444444
Âge,De 35 à 39 ans,17,14,107,822,345,28,63,11,12,180,577,819,0,495,37.042979943,121.2765043
Âge,De 40 à 44 ans,22,9,88,971,581,43,97,14,19,262,811,1000,0,541,42.090005522,142.78906681
Âge,De 45 à 49 ans,13,14,75,1043,804,72,115,7,25,300,1035,1101,0,626,47.046348315,165.07958801
Âge,De 50 à 54 ans,22,16,73,1050,1239,73,130,9,20,391,1261,1342,0,657,52.222819823,194.31732616
