Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,185,111,2410,11125,8407,1300,0,112,172,2592,9676,13862,5908,7455,42.680941456,139.93189736
Situation familiale,Couples sans enfants,14,10,42,209,673,63,737,45,113,436,873,875,31,546,56.789473684,177.74828375
Situation familiale,Familles monoparentales,14,13,43,350,574,20,0,0,13,204,841,173,17,274,44.900394477,152.09861933
Situation familiale,Couples avec enfants,10,8,30,110,236,13,364,5,37,329,387,384,21,269,45.038910506,139.08690013
Situation familiale,Conjoint d'étudiant,1,0,0,3,0,0,0,0,1,2,1,3,0,1,46.25,88.75
Sexe,Hommes,127,58,1340,7310,5222,803,437,93,145,1835,0,15297,3901,5171,42.182715565,132.80022227
Sexe,Femmes,97,84,1185,4487,4668,593,664,69,191,1728,11778,0,2076,3374,45.768551537,155.78154186
Âge,Moins de 20 ans,3,5,384,659,183,258,2,1,15,113,521,973,1494,1468,18.578313253,11.635876841
Âge,De 20 à 24 ans,29,19,1219,2409,624,162,21,5,36,356,1555,2928,4483,1010,21.697747044,41.180682579
Âge,De 25 à 29 ans,15,13,248,974,268,44,34,16,21,171,560,1036,0,588,26.92481203,62.944862155
Âge,De 30 à 34 ans,13,14,128,875,321,48,54,5,17,152,561,892,0,513,31.949759119,91.852718513
Âge,De 35 à 39 ans,15,11,109,875,365,40,71,11,18,195,621,865,0,519,37.111709287,121.0282638
Âge,De 40 à 44 ans,21,11,101,1000,614,54,117,12,20,263,882,1036,0,587,42.123044838,144.02606882
Âge,De 45 à 49 ans,18,12,68,1063,824,68,117,7,20,326,1097,1073,0,636,47.000921659,167.83179724
Âge,De 50 à 54 ans,25,15,81,1129,1359,79,153,11,16,408,1383,1458,0,752,52.223160859,196.13833157
Âge,55 ans et plus,85,42,187,2813,5332,643,532,94,173,1579,4598,5036,0,2472,60.57826448,213.07940627
Âge,35 ans et moins,64,51,2001,5084,1453,519,122,32,92,829,3304,5990,5977,3658,24.080266839,50.155369055
Âge,36 ans et plus,160,91,524,6713,8437,877,979,130,244,2734,8474,9307,0,4887,54.019965131,191.22074124
Scolarité,Primaire,18,20,629,982,775,138,122,3,59,427,1116,1568,1119,979,37.95976155,130.59538003
Scolarité,Secondaire I à IV,69,40,667,3992,3742,390,388,4,23,682,3742,5546,1442,2770,45.000215332,184.29317399
Scolarité,Secondaire V,52,29,128,2701,2616,276,228,3,18,693,2840,3190,364,1795,48.968325041,157.01376451
Scolarité,Collégiale,18,11,4,1112,726,84,56,1,5,315,1033,978,60,647,48.2958727,133.09199403
Scolarité,Universitaire,14,9,3,708,461,47,60,3,14,409,662,640,2,434,51.390168971,122.89784946
Scolarité,Inconnue,53,33,1094,2302,1570,461,247,148,217,1037,2385,3375,2990,1920,35.6203125,74.575173611
Diplôme maximum obtenu,Aucun diplôme,104,67,1350,5497,5061,589,573,10,92,1417,5445,7796,2679,4106,43.983082849,170.42610075
Diplôme maximum obtenu,Secondaire - DES,32,21,64,2056,1669,180,130,0,9,390,2051,2101,252,1304,47.683044316,148.47302505
Diplôme maximum obtenu,Secondaire - DEP,8,5,8,474,598,71,47,0,0,71,521,690,13,343,52.036333609,182.70024773
Diplôme maximum obtenu,Secondaire - ASP,1,1,3,23,31,1,2,0,0,2,22,40,0,20,52.483870968,205.72580645
Diplôme maximum obtenu,Collégial - AEC,1,1,0,171,153,17,6,0,0,43,179,170,2,111,50.905444126,136.88538682
Diplôme maximum obtenu,Collégial - DEC général,5,3,1,204,102,11,9,0,0,52,170,165,10,109,47.534328358,136.60895522
Diplôme maximum obtenu,Collégial - DEC professionnel,1,1,0,297,165,20,16,1,1,63,275,225,7,155,49.43,123.104
Diplôme maximum obtenu,Universitaire - Certificat,2,1,1,70,59,4,8,0,0,29,80,65,0,61,52.55862069,136.31724138
Diplôme maximum obtenu,Universitaire - Baccalauréat,3,2,1,324,193,16,25,1,6,166,293,271,0,179,51.170212766,117.36170213
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,2,3,0,60,43,1,6,1,0,54,51,64,0,34,51.947826087,92.773913043
Diplôme maximum obtenu,Inconnu,65,37,1097,2621,1816,486,279,149,228,1276,2691,3710,3014,2123,37.000624902,79.276206843
Durée cumulative,Premier mois,1,1,16,27,12,18,4,0,1,8,25,54,59,79,25.088607595,1
Durée cumulative,De 2 à 5 mois,3,1,87,175,98,59,16,2,21,50,177,262,319,439,25.77904328,3.5922551253
Durée cumulative,De 6 à 11 mois,2,5,143,309,200,103,34,12,28,94,309,487,567,796,27.228643216,8.5829145729
Durée cumulative,De 12 à 23 mois,12,12,277,831,462,205,66,34,61,242,723,1142,1153,1865,30.05844504,17.390884718
Durée cumulative,De 24 à 47 mois,42,15,632,1797,976,258,113,48,163,502,1453,2380,2150,840,32.300808766,36.248630316
Durée cumulative,De 48 à 119 mois,83,56,876,3669,2613,352,328,56,62,1440,3342,4635,1729,1820,41.226024821,75.215369186
Durée cumulative,120 mois et plus,81,52,494,4989,5529,401,540,10,0,1227,5749,6337,0,2706,53.005957306,255.36852557
Types de diagnostics,Visuel,224,0,0,0,0,0,0,4,10,68,97,127,32,73,46.245535714,126.50892857
Types de diagnostics,Auditif et de la parole,0,142,0,0,0,0,0,1,12,40,84,58,24,53,43.028169014,122.04929577
Types de diagnostics,Intellectuel et d'apprentissage,0,0,2525,0,0,0,0,7,48,236,1185,1340,1603,963,28.143366337,90.167920792
Types de diagnostics,Santé mentale,0,0,0,11797,0,0,0,27,35,1249,4487,7310,3068,3556,39.840044079,134.62583708
Types de diagnostics,Physique,0,0,0,0,9890,0,0,98,156,1426,4668,5222,807,2692,51.39817998,171.64661274
Types de diagnostics,Autres,0,0,0,0,0,1396,0,2,4,196,593,803,420,814,44.019340974,99.318051576
Types de diagnostics,Conjoints sans contraintes sévères,0,0,0,0,0,0,1101,23,71,348,664,437,23,394,51.796548592,153.02724796
Région,01 - Bas-Saint-Laurent,1,0,86,355,289,46,31,0,0,14,356,452,165,252,44.78960396,163.02351485
Région,02 - Saguenay-Lac-Saint-Jean,3,1,117,351,340,44,31,0,0,15,413,474,213,327,42.467869222,157.00225479
Région,03 - Capitale-Nationale,12,10,129,923,698,111,39,3,15,136,820,1102,367,631,44.240894901,156.31009365
Région,04 - Mauricie,5,6,96,491,444,49,37,0,2,30,482,646,220,350,44.580673759,172.7358156
Région,05 - Estrie,12,7,187,794,610,81,79,1,25,112,774,996,392,536,43.092090395,145.65536723
Région,06 - Montréal,79,56,580,3251,2562,366,352,106,164,2155,2982,4264,1346,2230,45.049268562,140.57631797
Région,07 - Outaouais,16,5,102,552,466,68,57,2,13,108,570,696,228,366,45.016587678,147.57819905
Région,08 - Abitibi-Témiscamingue,5,1,77,203,187,33,14,0,0,8,238,282,98,191,43.932692308,145.24230769
Région,09 - Côte-Nord,0,1,15,73,98,16,6,0,0,2,91,118,36,69,46.401913876,166.97129187
Région,10 - Nord-du-Québec,0,1,9,49,45,6,4,0,0,1,50,64,30,55,38.789473684,117.81578947
Région,11 - Gaspésie-Îles-de-la-Madeleine,2,2,41,201,217,27,15,0,1,4,228,277,96,155,45.4,163.45742574
Région,12 - Chaudière-Appalaches,5,5,126,468,353,75,36,2,1,23,482,586,251,350,43.04588015,142.13202247
Région,13 - Laval,22,10,141,412,485,66,95,13,51,442,568,663,324,400,45.522339561,101.61657189
Région,14 - Lanaudière,9,8,156,620,652,77,60,5,3,80,715,867,435,476,42.360935525,143.48546144
Région,15 - Laurentides,6,5,179,797,732,103,69,5,8,74,814,1077,481,581,43.004230566,139.41512427
Région,16 - Montérégie,42,19,401,1852,1361,184,146,25,52,336,1788,2217,1093,1287,41.346317104,132.39051186
Région,17 - Centre-du-Québec,5,5,82,391,345,39,29,0,1,20,396,500,195,281,43.034598214,143.54799107
Région,Région inconnue,0,0,1,14,6,5,1,0,0,3,11,16,7,8,39.740740741,146.81481481
