Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,189,110,2424,11226,8503,1284,0,113,178,2595,9815,13921,5878,7394,42.805485339,141.09643579
Situation familiale,Couples sans enfants,14,11,44,216,680,66,758,47,120,442,892,897,26,552,56.935718278,178.30799329
Situation familiale,Familles monoparentales,15,13,50,348,573,22,0,1,15,206,844,177,18,275,44.622918707,149.61116552
Situation familiale,Couples avec enfants,10,8,29,112,242,14,374,5,43,338,394,395,20,268,45.18504436,137.51711027
Situation familiale,Conjoint d'étudiant,1,0,0,2,1,0,0,0,1,1,2,2,1,1,39.25,62.25
Sexe,Hommes,126,61,1345,7341,5268,799,452,94,156,1835,0,15392,3875,5122,42.285343035,133.31808732
Sexe,Femmes,103,81,1202,4563,4731,587,680,72,201,1747,11947,0,2068,3368,45.902820792,157.15485059
Âge,Moins de 20 ans,5,5,383,672,182,247,2,1,17,111,524,972,1496,1465,18.586898396,11.79144385
Âge,De 20 à 24 ans,28,19,1217,2389,625,151,18,6,37,353,1544,2903,4447,986,21.701596582,41.226669665
Âge,De 25 à 29 ans,15,15,248,986,272,41,33,17,20,171,568,1042,0,571,26.919254658,63.183850932
Âge,De 30 à 34 ans,14,16,134,870,326,46,61,5,19,160,566,901,0,517,31.982276755,91.536468984
Âge,De 35 à 39 ans,14,10,111,879,378,39,70,11,18,196,635,866,0,522,37.136575616,121.60093271
Âge,De 40 à 44 ans,23,13,104,1018,617,56,120,12,25,269,889,1062,0,594,42.136852896,144.18144541
Âge,De 45 à 49 ans,18,11,67,1074,826,68,119,7,24,315,1105,1078,0,628,46.991296381,167.34539624
Âge,De 50 à 54 ans,26,14,86,1159,1373,83,157,13,18,414,1407,1491,0,755,52.213595583,196.45100069
Âge,55 ans et plus,86,39,197,2857,5400,655,552,94,179,1593,4709,5077,0,2452,60.580216636,213.99192724
Âge,35 ans et moins,66,55,2011,5078,1464,490,123,34,97,827,3315,5972,5943,3615,24.110692366,50.379239798
Âge,36 ans et plus,163,87,536,6826,8535,896,1009,132,260,2755,8632,9420,0,4875,54.029525814,191.76207622
Scolarité,Primaire,17,23,629,973,782,136,125,3,61,425,1122,1563,1105,960,38.098696462,132.57765363
Scolarité,Secondaire I à IV,72,41,668,4033,3775,391,399,4,23,686,3803,5576,1426,2775,45.105554963,184.8871948
Scolarité,Secondaire V,53,27,135,2732,2633,279,240,3,23,694,2869,3230,365,1794,49.020495163,157.29890146
Scolarité,Collégiale,18,10,4,1115,734,89,60,1,6,313,1045,985,58,630,48.373399015,134.36945813
Scolarité,Universitaire,14,8,3,717,472,49,64,2,16,424,678,649,2,432,51.372268274,122.60211002
Scolarité,Inconnue,55,33,1108,2334,1603,442,244,153,228,1040,2430,3389,2987,1899,35.84327204,76.42275305
Diplôme maximum obtenu,Aucun diplôme,108,71,1358,5526,5100,590,586,10,95,1413,5510,7829,2653,4082,44.097158708,171.35287503
Diplôme maximum obtenu,Secondaire - DES,31,19,63,2077,1678,187,140,0,13,396,2068,2127,248,1303,47.776400477,149.3523242
Diplôme maximum obtenu,Secondaire - DEP,8,5,9,484,603,67,50,0,0,71,536,690,14,345,51.979608483,181.55954323
Diplôme maximum obtenu,Secondaire - ASP,1,0,3,23,33,1,2,0,0,1,23,40,0,18,52.063492063,209.98412698
