Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,201,116,2514,11393,8722,1283,0,114,176,2649,10043,14186,5955,7351,42.933096702,142.13409551
Situation familiale,Couples sans enfants,16,11,49,238,724,74,826,48,127,480,965,973,35,573,56.566047472,178.75902993
Situation familiale,Familles monoparentales,16,12,50,358,595,23,0,2,16,211,873,181,19,271,44.810246679,153.21631879
Situation familiale,Couples avec enfants,12,9,27,114,250,15,389,3,42,349,408,408,23,276,45.075980392,139.68504902
Situation familiale,Conjoint d'étudiant,1,0,0,3,3,0,0,0,1,3,3,4,1,2,41.142857143,61.428571429
Sexe,Hommes,137,66,1384,7450,5404,806,505,94,156,1910,0,15752,3931,5125,42.414106145,134.10055866
Sexe,Femmes,109,82,1256,4656,4890,589,710,73,206,1782,12292,0,2102,3348,46.04978848,158.94508623
Âge,Moins de 20 ans,6,6,388,681,180,240,2,1,16,109,526,977,1503,1477,18.584165003,11.709913506
Âge,De 20 à 24 ans,30,20,1259,2410,642,147,22,7,35,349,1576,2954,4530,984,21.69183223,41.289845475
Âge,De 25 à 29 ans,16,14,248,992,278,46,39,16,16,169,571,1062,0,565,26.915492958,63.611757502
Âge,De 30 à 34 ans,15,17,139,891,328,48,61,5,21,158,583,916,0,516,31.991994663,91.761841227
Âge,De 35 à 39 ans,21,9,120,877,387,41,81,11,22,211,645,891,0,540,37.115234375,121.64583333
Âge,De 40 à 44 ans,21,13,106,1040,636,55,123,12,21,277,911,1083,0,571,42.107321966,144.09127382
Âge,De 45 à 49 ans,20,11,74,1073,832,69,135,7,23,328,1126,1088,0,626,47.007226739,168.17886179
Âge,De 50 à 54 ans,28,17,85,1170,1414,92,169,12,20,421,1456,1519,0,744,52.202689076,196.03731092
Âge,55 ans et plus,89,41,221,2972,5597,657,583,96,188,1670,4898,5262,0,2450,60.60019685,215.58149606
Âge,35 ans et moins,73,58,2064,5127,1493,486,134,36,92,819,3365,6070,6033,3634,24.118177001,50.542554319
