Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,198,118,2485,11348,8604,1310,0,110,176,2630,9920,14143,5945,7461,42.832772306,141.55628974
Situation familiale,Couples sans enfants,14,11,45,230,705,70,798,47,126,463,934,939,31,566,56.640683396,176.53550454
Situation familiale,Familles monoparentales,15,13,52,355,586,25,0,2,17,209,863,183,20,276,44.547801147,150.65487572
Situation familiale,Couples avec enfants,12,9,27,113,241,15,378,3,47,344,398,397,24,273,45.134591195,138.39371069
Situation familiale,Conjoint d'étudiant,1,0,0,3,2,0,0,0,1,2,3,3,1,1,39.833333333,70.833333333
Sexe,Hommes,134,68,1380,7453,5330,826,474,90,160,1883,0,15665,3940,5202,42.271433131,133.48139164
Sexe,Femmes,106,83,1229,4596,4808,594,702,72,207,1765,12118,0,2081,3375,45.990179898,157.9441327
Âge,Moins de 20 ans,6,5,394,682,183,247,2,1,16,114,520,999,1519,1486,18.580645161,11.716919026
Âge,De 20 à 24 ans,29,20,1240,2411,632,149,21,6,36,356,1561,2941,4502,991,21.702798756,41.30964016
Âge,De 25 à 29 ans,15,16,250,1009,272,47,37,17,17,170,568,1078,0,586,26.922235723,63.459902795
Âge,De 30 à 34 ans,15,18,142,875,322,49,63,6,22,166,575,909,0,526,32,91.826145553
Âge,De 35 à 39 ans,19,10,115,881,386,40,73,9,21,199,638,886,0,541,37.110892388,121.3812336
Âge,De 40 à 44 ans,23,14,107,1026,626,55,122,12,26,268,899,1074,0,576,42.131779017,144.62848454
Âge,De 45 à 49 ans,18,11,73,1078,829,72,126,7,25,320,1114,1093,0,639,47.002265519,167.48889896
Âge,De 50 à 54 ans,28,16,84,1181,1396,92,167,12,20,426,1445,1519,0,772,52.207489879,196.32253711
Âge,55 ans et plus,87,41,204,2906,5492,669,565,92,184,1629,4798,5166,0,2460,60.577980731,214.62956644
Âge,35 ans et moins,71,60,2058,5131,1478,497,131,36,95,837,3331,6095,6021,3678,24.120199448,50.507744536
Âge,36 ans et plus,169,91,551,6918,8660,923,1045,126,272,2811,8787,9570,0,4899,54.046630713,192.235496
Scolarité,Primaire,17,23,644,988,789,148,126,3,60,440,1142,1593,1118,984,38.131261426,132.13235832
Scolarité,Secondaire I à IV,71,44,685,4055,3821,390,415,2,22,698,3860,5621,1427,2773,45.154308617,185.93365679
Scolarité,Secondaire V,57,30,136,2777,2678,286,249,3,26,706,2924,3289,375,1817,49.025269596,157.94559794
Scolarité,Collégiale,21,11,4,1127,736,90,64,1,6,315,1049,1004,55,628,48.488066245,134.92157818
Scolarité,Universitaire,15,8,3,718,481,50,70,2,17,424,678,667,3,442,51.376208178,122.82304833
Scolarité,Inconnue,59,35,1137,2384,1633,456,252,151,236,1065,2465,3491,3043,1933,35.905473472,76.767461383
Diplôme maximum obtenu,Aucun diplôme,106,76,1394,5580,5176,605,610,8,94,1447,5615,7932,2665,4115,44.155901676,172.12895844
Diplôme maximum obtenu,Secondaire - DES,37,20,62,2105,1698,189,146,0,15,400,2093,2164,258,1326,47.805261922,149.42894057
Diplôme maximum obtenu,Secondaire - DEP,8,5,9,489,614,67,47,0,0,74,542,697,15,342,51.832929782,181.63438257
Diplôme maximum obtenu,Secondaire - ASP,1,0,1,25,31,1,4,0,0,1,22,41,0,16,52.555555556,213.38095238
Diplôme maximum obtenu,Collégial - AEC,2,1,0,179,153,17,9,0,0,44,189,172,2,107,50.850415512,138.65096953
Diplôme maximum obtenu,Collégial - DEC général,6,3,1,215,106,13,10,0,0,52,179,175,10,114,47.793785311,138.29943503
Diplôme maximum obtenu,Collégial - DEC professionnel,1,2,0,291,168,21,15,1,1,63,270,228,7,145,49.59437751,122.77710843
Diplôme maximum obtenu,Universitaire - Certificat,2,1,1,72,62,4,7,0,0,31,82,67,0,61,52.798657718,135.59731544
Diplôme maximum obtenu,Universitaire - Baccalauréat,3,1,1,328,202,17,29,1,6,171,304,277,0,180,51.17555938,116.08950086
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,2,3,0,62,45,1,9,1,0,59,53,69,0,38,51.37704918,94.147540984
Diplôme maximum obtenu,Inconnu,72,39,1140,2703,1883,485,290,151,251,1306,2769,3843,3064,2133,37.270114943,81.552177858
Durée cumulative,Premier mois,0,0,12,29,11,14,2,1,1,7,25,43,55,68,23.588235294,1
Durée cumulative,De 2 à 5 mois,3,2,91,151,111,60,26,0,25,47,161,283,319,444,26.578828829,3.6058558559
Durée cumulative,De 6 à 11 mois,4,5,144,328,205,109,35,15,26,104,327,503,576,830,27.744578313,8.5602409639
Durée cumulative,De 12 à 23 mois,14,11,272,840,436,190,66,33,64,221,702,1127,1153,1829,29.61563696,17.26079825
Durée cumulative,De 24 à 47 mois,44,20,671,1856,1001,261,122,51,188,525,1515,2460,2193,879,32.536100629,36.380880503
Durée cumulative,De 48 à 119 mois,90,59,883,3690,2718,356,347,54,63,1466,3422,4721,1725,1797,41.360309468,75.431290679
Durée cumulative,120 mois et plus,85,54,536,5155,5656,430,578,8,0,1278,5966,6528,0,2730,53.046502321,256.58380022
Types de diagnostics,Visuel,240,0,0,0,0,0,0,4,12,68,106,134,35,80,45.795833333,127.80416667
Types de diagnostics,Auditif et de la parole,0,151,0,0,0,0,0,1,12,40,83,68,25,51,42.165562914,120.03311258
Types de diagnostics,Intellectuel et d'apprentissage,0,0,2609,0,0,0,0,7,44,249,1229,1380,1634,976,28.363740897,92.801073208
Types de diagnostics,Santé mentale,0,0,0,12049,0,0,0,27,36,1278,4596,7453,3093,3556,39.993194456,136.04016931
Types de diagnostics,Physique,0,0,0,0,10138,0,0,99,176,1450,4808,5330,815,2678,51.463306372,172.31140264
Types de diagnostics,Autres,0,0,0,0,0,1420,0,1,5,196,594,826,396,822,44.765492958,104.66197183
Types de diagnostics,Conjoints sans contraintes sévères,0,0,0,0,0,0,1176,23,82,367,702,474,23,414,51.829931973,152.53061224
Région,01 - Bas-Saint-Laurent,1,0,91,363,289,42,26,0,0,15,358,454,167,244,44.701970443,164.96182266
Région,02 - Saguenay-Lac-Saint-Jean,4,1,110,363,356,40,33,0,0,15,432,475,209,329,42.914002205,162.79162073
Région,03 - Capitale-Nationale,17,10,127,942,706,123,43,4,17,136,857,1111,370,620,44.411077236,158.1925813
Région,04 - Mauricie,5,7,98,507,456,50,43,0,2,29,488,678,221,354,44.746140652,174.45454545
Région,05 - Estrie,12,7,193,811,640,86,92,1,24,123,795,1046,397,545,43.411189571,148.55078762
Région,06 - Montréal,88,62,600,3327,2615,378,363,103,182,2199,3052,4381,1375,2229,45.08569891,141.64240549
Région,07 - Outaouais,18,4,108,567,472,71,60,2,14,112,589,711,229,372,45.099230769,147.59538462
Région,08 - Abitibi-Témiscamingue,5,1,78,203,196,35,15,0,0,7,247,286,98,205,43.908067542,145.11257036
Région,09 - Côte-Nord,0,1,17,79,98,19,8,0,0,4,97,125,40,72,46.108108108,162.54054054
Région,10 - Nord-du-Québec,0,1,9,56,43,4,5,0,0,0,51,67,29,53,38.720338983,118.6779661
Région,11 - Gaspésie-Îles-de-la-Madeleine,2,2,41,198,222,27,17,0,1,4,229,280,92,149,45.536345776,163.34774067
Région,12 - Chaudière-Appalaches,6,5,130,472,350,81,36,2,1,24,480,600,253,358,43.024074074,141.91851852
Région,13 - Laval,22,10,145,424,510,64,102,13,59,453,599,678,320,395,46.037588097,103.55990603
Région,14 - Lanaudière,10,9,162,626,656,81,72,5,4,75,733,883,434,487,42.486386139,143.74814356
Région,15 - Laurentides,6,5,187,821,745,102,75,5,8,81,839,1102,489,591,43.257599176,141.48068006
Région,16 - Montérégie,42,21,425,1869,1426,171,151,27,53,347,1850,2255,1093,1277,41.580998782,133.87624848
Région,17 - Centre-du-Québec,2,5,87,406,353,41,34,0,2,22,411,517,196,291,43.112068966,144.39439655
Région,Région inconnue,0,0,1,15,5,5,1,0,0,2,11,16,9,6,39.37037037,143.14814815
