Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,180,108,2351,10710,8030,1324,0,108,174,2533,9298,13405,5825,7363,42.4385764,138.7684447
Situation familiale,Couples sans enfants,11,12,42,191,605,62,663,37,101,390,791,795,28,485,56.558007566,174.31336696
Situation familiale,Familles monoparentales,14,10,38,350,544,21,0,0,11,205,806,171,17,281,44.735926305,149.9877175
Situation familiale,Couples avec enfants,10,9,32,100,237,11,349,9,43,292,374,374,18,245,44.909090909,139.33823529
Situation familiale,Conjoint d'étudiant,1,0,0,3,1,0,0,0,1,2,2,3,1,0,40.8,111.6
Sexe,Hommes,122,61,1309,7037,4988,829,402,91,137,1782,0,14748,3836,5052,41.922633577,131.90880119
Sexe,Femmes,94,78,1154,4317,4429,589,610,63,193,1640,11271,0,2053,3322,45.462869311,153.74421081
Âge,Moins de 20 ans,3,5,409,666,198,275,1,0,13,122,558,999,1557,1521,18.589595376,11.726396917
Âge,De 20 à 24 ans,26,17,1164,2308,603,197,17,8,37,337,1495,2837,4332,981,21.716066482,41.102723915
Âge,De 25 à 29 ans,15,13,236,926,242,59,38,15,20,176,546,983,0,552,26.931327665,62.978417266
Âge,De 30 à 34 ans,12,15,130,879,316,39,58,8,19,170,556,893,0,508,31.978605935,91.841959972
Âge,De 35 à 39 ans,17,12,109,824,359,32,63,9,15,174,593,823,0,496,37.068502825,121.90607345
Âge,De 40 à 44 ans,22,9,91,991,589,48,107,13,21,265,851,1006,0,574,42.100700054,144.34033387
Âge,De 45 à 49 ans,15,14,74,1054,800,67,114,6,24,317,1048,1090,0,655,47.029466791,167.06735267
Âge,De 50 à 54 ans,22,16,66,1065,1277,77,139,9,17,396,1310,1352,0,705,52.233658903,194.95529677
Âge,55 ans et plus,84,38,184,2641,5033,624,475,86,164,1465,4314,4765,0,2382,60.567132944,213.21004516
