Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,177,107,2368,10754,8065,1321,0,109,170,2527,9347,13445,5831,7410,42.479378729,139.06203931
Situation familiale,Couples sans enfants,12,12,46,185,606,69,668,42,109,385,798,800,26,509,56.784730914,175.04255319
Situation familiale,Familles monoparentales,16,12,37,346,548,17,0,0,12,204,800,176,16,279,44.827868852,150.25409836
Situation familiale,Couples avec enfants,11,9,33,108,239,12,362,9,41,300,389,385,20,279,44.573643411,139.03875969
Situation familiale,Conjoint d'étudiant,1,0,0,3,0,0,0,0,1,1,2,2,0,1,41,66.25
Sexe,Hommes,122,59,1320,7064,5001,831,411,90,143,1770,0,14808,3833,5127,41.94165316,131.98163155
Sexe,Femmes,95,81,1164,4332,4457,588,619,70,190,1647,11336,0,2060,3351,45.543048694,154.31942484
Âge,Moins de 20 ans,3,4,407,664,198,273,1,0,15,120,551,999,1550,1524,18.588387097,11.742580645
Âge,De 20 à 24 ans,27,17,1175,2312,607,186,19,8,38,335,1509,2834,4343,966,21.720930233,41.366336634
Âge,De 25 à 29 ans,15,15,242,937,243,57,39,16,17,171,541,1007,0,569,26.933462532,63.019379845
Âge,De 30 à 34 ans,14,16,126,876,315,46,57,7,19,165,553,897,0,520,31.942758621,92.00137931
Âge,De 35 à 39 ans,16,10,107,828,346,34,70,8,16,177,593,818,0,497,37.086463501,122.1523742
Âge,De 40 à 44 ans,24,10,97,983,597,48,107,14,21,262,851,1015,0,584,42.107717042,144.01071811
Âge,De 45 à 49 ans,15,15,75,1039,795,67,115,4,24,313,1041,1080,0,645,47.008486563,167.87223008
Âge,De 50 à 54 ans,22,15,68,1090,1287,76,143,10,18,395,1334,1367,0,737,52.233246946,195.07145502
Âge,55 ans et plus,81,38,187,2667,5070,632,479,93,165,1479,4363,4791,0,2436,60.574939917,213.12125847
Âge,35 ans et moins,63,53,1971,4952,1419,571,129,36,91,825,3273,5885,5893,3673,24.07741865,50.110941254
Âge,36 ans et plus,154,87,513,6444,8039,848,901,124,242,2592,8063,8923,0,4805,53.976627811,191.02984811
Scolarité,Primaire,18,22,624,931,760,144,117,2,62,407,1100,1516,1099,951,37.698776758,129.18998471
Scolarité,Secondaire I à IV,66,40,652,3870,3549,397,347,4,20,658,3570,5351,1424,2748,44.752494115,182.86761574
Scolarité,Secondaire V,49,28,123,2630,2498,265,215,3,16,664,2708,3100,347,1778,48.905130854,156.95110193
Scolarité,Collégiale,18,11,4,1077,707,77,58,1,5,299,997,955,56,622,48.18954918,134.0204918
Scolarité,Universitaire,15,8,2,682,454,47,57,4,16,408,653,612,1,431,51.512252964,121.94782609
Scolarité,Inconnue,51,31,1079,2206,1490,489,236,146,214,981,2308,3274,2966,1948,35.152454317,72.909709781
Diplôme maximum obtenu,Aucun diplôme,99,68,1327,5314,4834,602,518,9,89,1363,5234,7528,2643,4040,43.704121611,168.8766651
Diplôme maximum obtenu,Secondaire - DES,31,20,63,1997,1591,175,132,0,9,375,1951,2058,235,1276,47.690695934,148.81441756
Diplôme maximum obtenu,Secondaire - DEP,8,5,8,458,569,63,43,0,0,63,498,656,13,347,52,184.47400347
Diplôme maximum obtenu,Secondaire - ASP,0,1,2,27,31,1,1,0,0,2,22,41,1,22,51.857142857,201.11111111
Diplôme maximum obtenu,Collégial - AEC,2,1,0,164,143,13,7,0,0,40,165,165,1,112,50.681818182,135.61515152
Diplôme maximum obtenu,Collégial - DEC général,5,4,1,204,100,10,9,0,0,48,176,157,9,105,48.042042042,141.47447447
Diplôme maximum obtenu,Collégial - DEC professionnel,0,1,0,285,166,15,17,1,1,66,262,222,7,155,49.305785124,121.46900826
Diplôme maximum obtenu,Universitaire - Certificat,2,0,0,69,60,4,6,0,0,31,79,62,0,58,52.75177305,140.07092199
Diplôme maximum obtenu,Universitaire - Baccalauréat,3,2,1,299,187,18,24,1,9,155,283,251,0,165,51.353932584,115.21722846
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,2,3,0,58,42,1,6,1,0,53,53,59,0,39,52.125,94.008928571
Diplôme maximum obtenu,Inconnu,65,35,1082,2521,1735,517,267,148,225,1221,2613,3609,2984,2159,36.618932819,77.778045644
Durée cumulative,Premier mois,0,0,16,18,5,19,0,0,2,5,20,38,54,58,20.931034483,1
Durée cumulative,De 2 à 5 mois,2,2,94,175,105,69,10,2,10,44,153,304,358,457,24.04595186,3.5776805252
Durée cumulative,De 6 à 11 mois,4,3,146,305,202,97,30,13,36,92,316,471,537,787,27.861499365,8.5209656925
Durée cumulative,De 12 à 23 mois,12,12,288,806,465,221,73,34,67,236,748,1129,1176,1877,30.083644113,17.758657432
Durée cumulative,De 24 à 47 mois,31,15,587,1709,932,281,110,47,140,487,1384,2281,2050,843,32.208185539,36.144611187
Durée cumulative,De 48 à 119 mois,85,57,873,3584,2466,348,317,55,78,1385,3221,4509,1718,1780,40.94385511,75.213324709
Durée cumulative,120 mois et plus,83,51,480,4799,5283,384,490,9,0,1168,5494,6076,0,2676,52.913742437,254.80968021
Types de diagnostics,Visuel,217,0,0,0,0,0,0,5,8,65,95,122,30,68,45.861751152,130.76036866
Types de diagnostics,Auditif et de la parole,0,140,0,0,0,0,0,1,11,36,81,59,21,55,42.842857143,120.47857143
Types de diagnostics,Intellectuel et d'apprentissage,0,0,2484,0,0,0,0,8,48,231,1164,1320,1582,1002,28.088969404,89.104669887
Types de diagnostics,Santé mentale,0,0,0,11396,0,0,0,26,37,1215,4332,7064,2976,3466,39.730958231,134.03483678
Types de diagnostics,Physique,0,0,0,0,9458,0,0,92,154,1366,4457,5001,805,2677,51.238951152,171.31729753
Types de diagnostics,Autres,0,0,0,0,0,1419,0,4,5,187,588,831,459,838,43.159267089,95.156448203
Types de diagnostics,Conjoints sans contraintes sévères,0,0,0,0,0,0,1030,24,70,317,619,411,20,372,51.446601942,149.86796117
Région,01 - Bas-Saint-Laurent,1,0,87,347,269,43,30,0,0,12,343,434,166,255,44.564993565,161.99356499
Région,02 - Saguenay-Lac-Saint-Jean,4,1,112,332,333,42,31,0,0,16,406,449,201,318,42.794152047,159.05497076
Région,03 - Capitale-Nationale,12,10,126,906,671,120,34,3,19,137,790,1089,370,630,44.016498137,154.37466738
Région,04 - Mauricie,3,5,92,467,423,47,34,0,3,28,457,614,212,325,44.178338002,172.73202614
Région,05 - Estrie,11,8,193,776,558,84,70,1,25,109,751,949,385,530,42.796470588,141.65705882
Région,06 - Montréal,79,55,585,3115,2467,365,322,105,155,2064,2865,4123,1351,2215,44.658557527,138.14038351
Région,07 - Outaouais,16,6,95,518,444,69,52,2,12,105,542,658,220,336,45.081666667,147.72583333
Région,08 - Abitibi-Témiscamingue,3,1,69,200,183,29,9,0,0,9,216,278,90,185,44.026315789,143.18218623
Région,09 - Côte-Nord,0,1,14,80,92,21,6,0,0,2,91,123,37,78,46.275700935,167.55140187
Région,10 - Nord-du-Québec,0,0,9,48,46,6,6,0,0,1,50,65,32,58,38.773913043,116.27826087
Région,11 - Gaspésie-Îles-de-la-Madeleine,2,1,40,192,213,28,15,0,1,4,219,272,95,160,45.358452138,165.94093686
Région,12 - Chaudière-Appalaches,6,3,126,449,345,75,35,2,1,24,473,566,246,358,42.992300289,142.36477382
Région,13 - Laval,19,11,135,395,464,68,95,12,51,414,545,642,316,401,45.085088458,101.52569503
Région,14 - Lanaudière,10,7,148,590,620,77,61,5,2,75,686,827,418,468,42.224719101,143.44216788
Région,15 - Laurentides,7,4,179,773,690,100,64,5,5,69,790,1027,482,563,42.679141442,139.23720418
Région,16 - Montérégie,40,21,396,1811,1302,196,133,25,56,324,1718,2181,1082,1313,41.086175943,131.19312644
Région,17 - Centre-du-Québec,4,6,76,384,333,46,32,0,3,21,384,497,184,278,43.190692395,145.87400681
Région,Région inconnue,0,0,2,13,5,3,1,0,0,3,10,14,6,7,39.041666667,145.20833333
