Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Types de diagnostics,Autres,0,0,0,0,0,2836,206,1297,1539,504,48.211918195,200.14174894
Région,01 - Bas-Saint-Laurent,17,9,698,1109,761,80,11,1188,1486,51,50.502243829,305.08900524
Région,02 - Saguenay-Lac-Saint-Jean,28,17,858,1311,1009,115,21,1549,1789,80,49.103654883,303.00808868
Région,03 - Capitale-Nationale,74,28,1450,3387,1602,253,222,2951,3843,108,49.994848396,301.13600236
Région,04 - Mauricie,35,20,954,1840,1116,114,66,1890,2189,64,49.829369944,303.04143172
Région,05 - Estrie,58,33,1542,2616,1676,214,229,2752,3387,137,49.056360971,287.17999674
Région,06 - Montréal,235,142,3505,10520,5699,629,4505,8951,11779,371,49.888856729,281.11934395
Région,07 - Outaouais,44,23,909,1694,1122,181,193,1860,2113,81,49.004530581,275.7568588
Région,08 - Abitibi-Témiscamingue,17,8,429,549,435,64,7,697,805,28,49.621171771,302.38149134
Région,09 - Côte-Nord,11,5,231,325,246,28,7,366,480,14,49.291962175,310.06855792
Région,10 - Nord-du-Québec,3,0,41,96,70,15,1,88,137,3,45.146666667,251.82222222
Région,11 - Gaspésie-Îles-de-la-Madeleine,20,8,383,533,486,52,9,682,800,25,50.38731444,310.07354926
Région,12 - Chaudière-Appalaches,32,15,1093,1511,964,155,41,1718,2052,84,49.04801061,290.39575597
Région,13 - Laval,39,23,773,1286,906,102,652,1438,1691,107,47.859699585,253.93160754
Région,14 - Lanaudière,51,23,1144,1828,1410,199,125,2130,2525,156,47.195918367,272.84683136
Région,15 - Laurentides,37,23,1309,2392,1629,196,158,2594,2992,134,48.138560687,275.62065879
Région,16 - Montérégie,128,72,2796,5254,3398,323,668,5529,6442,282,48.006766352,275.32704035
Région,17 - Centre-du-Québec,45,15,700,1244,841,110,54,1328,1627,59,49.288663283,287.82267343
Région,Région inconnue,1,1,42,42,19,6,5,41,70,6,48.540540541,313.76576577
