Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,754,393,17990,35793,20986,2659,6033,34450,44125,1772,49.013579383,285.4448616
Situation familiale,Couples sans enfants,69,26,551,919,1347,119,416,1646,1385,8,54.088089739,311.14153745
Situation familiale,Familles monoparentales,26,31,212,605,675,34,246,1344,239,8,44.786481364,226.66329754
Situation familiale,Couples avec enfants,26,15,104,220,381,24,279,312,458,2,46.61038961,230.88311688
Situation maritale,Adultes seuls,780,424,18202,36398,21661,2693,6279,35794,44364,1780,48.930100551,284.28401407
Situation maritale,Adultes avec conjoint à l’AFDR,65,19,285,662,1194,95,525,1163,1157,6,53.225431034,288.93448276
Situation maritale,Adultes avec conjoint au PRB,22,17,292,340,333,26,85,522,508,1,52.155339806,315.98932039
Situation maritale,Adultes avec conjoint hors Assistance sociale,8,5,78,137,201,22,85,273,178,3,50.172949002,277.27937916
Sexe,Hommes,496,222,10108,22187,11655,1539,3720,0,46207,1126,47.900599476,274.86497717
Sexe,Femmes,379,243,8749,15350,11734,1297,3254,37752,0,664,50.556977114,296.87968849
Âge,Moins de 20 ans,0,0,0,0,0,164,10,52,112,164,18.469512195,11.768292683
Âge,De 20 à 24 ans,9,6,452,637,182,340,102,612,1014,1626,23.212177122,68.258917589
Âge,De 25 à 29 ans,36,29,2208,2569,1039,60,410,2167,3774,0,27.071368456,108.25770072
Âge,De 30 à 34 ans,42,32,2443,2577,1242,74,395,2405,4005,0,31.981435257,157.2425897
Âge,De 35 à 39 ans,76,45,2117,2931,1201,101,533,2457,4014,0,37.074640705,201.90897852
Âge,De 40 à 44 ans,81,36,2137,3794,1647,132,586,3097,4730,0,42.121758017,243.44090967
Âge,De 45 à 49 ans,87,54,2164,4150,2057,225,725,3807,4930,0,47.02998741,280.28762733
Âge,De 50 à 54 ans,109,49,2025,4649,2937,310,949,4807,5272,0,52.133544995,317.49429507
Âge,55 ans et plus,435,214,5311,16230,13084,1430,3264,18348,18356,0,60.195455536,361.91210767
Âge,35 ans et moins,106,77,5546,6272,2698,653,1015,5710,9642,1790,29.246287129,129.45173267
Âge,36 ans et plus,769,388,13311,31265,20691,2183,5959,32042,36565,0,53.536534173,319.51761482
Scolarité,Primaire,77,60,3247,2224,1704,192,659,3284,4220,325,46.729744136,295.52558635
Scolarité,Secondaire I à IV,281,172,3879,13239,8605,545,1486,11905,14816,277,50.477489615,308.95018899
Scolarité,Secondaire V,182,84,767,8266,4822,476,1258,6983,7614,70,52.743166404,280.19414948
Scolarité,Collégiale,47,24,29,3445,1394,176,566,2547,2568,0,52.891495601,261.67331378
Scolarité,Universitaire,41,14,7,2105,739,92,631,1457,1541,0,54.771514343,244.75517011
Scolarité,Inconnue,247,111,10928,8258,6125,1355,2374,11576,15448,1118,45.066015394,269.13769242
Diplôme maximum obtenu,Aucun diplôme,419,257,7495,17366,11488,850,2777,16902,20973,639,49.914508251,303.50777558
Diplôme maximum obtenu,Secondaire - DES,108,48,314,6006,2939,307,659,4661,5061,30,51.751697182,271.3900432
Diplôme maximum obtenu,Secondaire - DEP,24,12,79,1518,1076,102,104,1372,1439,3,55.616150836,302.50053362
Diplôme maximum obtenu,Secondaire - ASP,4,4,12,143,101,5,17,106,163,0,55.527881041,302.86988848
Diplôme maximum obtenu,Collégial - AEC,8,4,0,440,263,33,70,384,364,0,54.155080214,249.21925134
Diplôme maximum obtenu,Collégial - DEC général,8,3,6,734,197,22,108,464,506,0,53.058762887,262.59175258
Diplôme maximum obtenu,Collégial - DEC professionnel,9,10,5,734,293,41,94,585,507,0,53.491758242,234.93498168
Diplôme maximum obtenu,Universitaire - Certificat,2,1,0,248,87,14,54,182,170,0,54.017045455,244.02272727
Diplôme maximum obtenu,Universitaire - Baccalauréat,12,5,4,834,268,41,227,600,564,0,54.771477663,231.35910653
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,6,1,0,137,57,10,58,102,109,0,56.312796209,212.21800948
Diplôme maximum obtenu,Inconnu,275,120,10942,9377,6620,1411,2806,12394,16351,1118,45.643277092,269.44585145
Durée cumulative,Premier mois,0,0,0,0,0,8,0,0,8,8,18,1
Durée cumulative,De 2 à 5 mois,0,0,0,0,0,32,0,13,19,26,24.9375,3.40625
Durée cumulative,De 6 à 11 mois,0,0,0,0,0,66,4,24,42,50,26.909090909,8.5909090909
Durée cumulative,De 12 à 23 mois,0,0,2,2,5,108,7,46,71,83,29.786324786,17.487179487
Durée cumulative,De 24 à 47 mois,1,0,3,25,22,286,24,150,187,214,32.100890208,36.112759644
Durée cumulative,De 48 à 119 mois,92,59,2125,3972,2298,593,1233,3605,5534,1409,34.948900317,92.559579823
Durée cumulative,120 mois et plus,782,406,16727,33538,21064,1743,5706,33914,40346,0,50.976986264,310.36474549
Types de diagnostics,Visuel,875,0,0,0,0,0,136,379,496,9,51.150857143,297.41142857
Types de diagnostics,Auditif et de la parole,0,465,0,0,0,0,76,243,222,6,49.668817204,274.34623656
Types de diagnostics,Intellectuel et d'apprentissage,0,0,18857,0,0,0,876,8749,10108,452,44.610012197,304.38791961
Types de diagnostics,Santé mentale,0,0,0,37537,0,0,3303,15350,22187,637,49.226736287,280.82409356
Types de diagnostics,Physique,0,0,0,0,23389,0,2377,11734,11655,182,52.518406088,285.25986575
