Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Durée cumulative,Premier mois,0,0,0,0,0,4,0,1,3,3,24,1
Durée cumulative,De 2 à 5 mois,0,0,0,0,0,43,1,15,28,34,26.186046512,3.511627907
Durée cumulative,De 6 à 11 mois,0,0,0,0,0,52,2,19,33,36,29.942307692,7.7692307692
Durée cumulative,De 12 à 23 mois,0,0,0,3,8,112,7,51,72,78,32.520325203,17.780487805
Durée cumulative,De 24 à 47 mois,1,0,1,29,16,293,26,145,195,214,32.538235294,35.641176471
Durée cumulative,De 48 à 119 mois,87,57,2177,3908,2308,535,1185,3591,5481,1444,35.029541446,92.700947972
Durée cumulative,120 mois et plus,799,412,16788,33677,21325,1783,5653,34210,40574,0,51.06373021,310.78480691
Types de diagnostics,Visuel,887,0,0,0,0,0,127,380,507,8,51.04735062,296.42841037
Types de diagnostics,Auditif et de la parole,0,469,0,0,0,0,70,250,219,5,49.918976546,277.46908316
Types de diagnostics,Intellectuel et d'apprentissage,0,0,18966,0,0,0,853,8799,10167,513,44.63344933,304.51339239
Types de diagnostics,Santé mentale,0,0,0,37617,0,0,3264,15481,22136,647,49.408990616,281.77879682
Types de diagnostics,Physique,0,0,0,0,23657,0,2355,11843,11814,189,52.527539418,285.33499598
Types de diagnostics,Autres,0,0,0,0,0,2822,205,1279,1543,447,48.869241673,205.26895819
Région,01 - Bas-Saint-Laurent,18,10,713,1133,772,79,12,1207,1518,53,50.535412844,305.26311927
Région,02 - Saguenay-Lac-Saint-Jean,30,18,864,1332,1024,114,21,1571,1811,84,49.321998817,304.61620343
Région,03 - Capitale-Nationale,76,28,1480,3407,1623,257,209,3008,3863,103,50.201571824,302.20535584
Région,04 - Mauricie,35,21,953,1863,1136,123,66,1898,2233,63,49.930767369,303.55095618
Région,05 - Estrie,61,32,1560,2609,1677,212,230,2765,3386,138,49.088603479,287.20842139
Région,06 - Montréal,248,142,3522,10556,5751,640,4487,9000,11859,398,49.936765904,280.96581811
Région,07 - Outaouais,43,24,911,1680,1154,174,189,1882,2104,81,49.04039137,275.34069242
Région,08 - Abitibi-Témiscamingue,16,8,430,563,450,62,7,708,821,24,49.960104644,304.07455853
Région,09 - Côte-Nord,11,5,234,329,255,24,7,371,487,14,49.509324009,310.18531469
Région,10 - Nord-du-Québec,3,0,44,105,73,14,1,88,151,2,44.723849372,246.67364017
Région,11 - Gaspésie-Îles-de-la-Madeleine,20,9,388,530,486,52,10,684,801,29,50.513804714,311.30841751
Région,12 - Chaudière-Appalaches,34,16,1107,1509,1000,146,39,1739,2073,79,49.121983211,290.69254984
Région,13 - Laval,33,22,757,1284,892,98,611,1417,1669,101,47.865845755,256.13220998
Région,14 - Lanaudière,50,23,1150,1812,1417,192,118,2143,2501,147,47.472006891,275.48923342
Région,15 - Laurentides,34,22,1308,2377,1634,204,160,2590,2989,147,48.292525542,276.52841011
Région,16 - Montérégie,128,74,2817,5216,3444,318,647,5576,6421,291,48.124197716,276.15520547
Région,17 - Centre-du-Québec,46,14,687,1273,849,109,54,1346,1632,52,49.562458026,288.70382807
Région,Région inconnue,1,1,41,39,20,4,6,39,67,3,49.537735849,325.75471698
