Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,766,398,18122,35838,21168,2642,5906,34661,44273,1785,49.127802975,286.09757519
Situation familiale,Couples sans enfants,66,28,538,922,1349,121,379,1620,1404,11,54.088293651,313.14451058
Situation familiale,Familles monoparentales,29,28,200,630,746,36,285,1424,245,9,45.403834632,229.5524266
Situation familiale,Couples avec enfants,26,15,106,227,394,23,304,327,464,4,47.008849558,233.47661188
Situation maritale,Adultes seuls,795,426,18322,36468,21914,2678,6191,36085,44518,1794,49.050692902,284.92672729
Situation maritale,Adultes avec conjoint à l’AFDR,61,19,315,697,1273,99,534,1232,1232,11,53.011363636,289.86241883
Situation maritale,Adultes avec conjoint au PRB,26,18,288,349,314,29,81,519,505,3,51.833007813,316.01953125
Situation maritale,Adultes avec conjoint hors Assistance sociale,5,6,41,103,156,16,68,196,131,1,52.140672783,286.86238532
Sexe,Hommes,507,219,10167,22136,11814,1543,3672,0,46386,1133,48.05428362,275.58759108
Sexe,Femmes,380,250,8799,15481,11843,1279,3202,38032,0,676,50.624053429,297.49084981
Âge,Moins de 20 ans,0,0,0,0,0,153,9,52,101,153,18.535947712,11.960784314
Âge,De 20 à 24 ans,8,5,513,647,189,294,101,624,1032,1656,23.257246377,68.643115942
Âge,De 25 à 29 ans,39,28,2198,2454,1048,57,385,2129,3695,0,27.080872253,108.48832418
Âge,De 30 à 34 ans,46,32,2425,2469,1222,79,397,2380,3893,0,31.972262076,157.02231787
Âge,De 35 à 39 ans,74,42,2094,2953,1196,98,521,2452,4005,0,37.056837541,201.46879356
Âge,De 40 à 44 ans,74,40,2134,3798,1679,129,592,3106,4748,0,42.095874714,242.78660555
Âge,De 45 à 49 ans,90,52,2157,4084,2037,227,709,3767,4880,0,47.02035388,280.50711229
Âge,De 50 à 54 ans,110,50,2075,4719,2993,324,957,4909,5362,0,52.135429851,317.61844027
Âge,55 ans et plus,446,220,5370,16493,13293,1461,3203,18613,18670,0,60.155674168,361.28272939
Âge,35 ans et moins,105,74,5574,6089,2676,597,999,5654,9461,1809,29.238901753,129.24935495
Âge,36 ans et plus,782,395,13392,31528,20981,2225,5875,32378,36925,0,53.568157223,319.52403215
Scolarité,Primaire,76,60,3236,2180,1702,182,626,3268,4168,292,47.080016138,299.33512641
Scolarité,Secondaire I à IV,283,173,3848,13280,8708,553,1464,11984,14861,308,50.584689886,309.12046936
Scolarité,Secondaire V,187,87,763,8237,4847,473,1230,7007,7587,63,52.801836371,280.65417295
Scolarité,Collégiale,50,24,31,3444,1387,173,560,2544,2565,0,52.901350558,262.35603836
Scolarité,Universitaire,39,14,6,2125,733,93,624,1452,1558,0,54.828903654,246.97009967
Scolarité,Inconnue,252,111,11082,8351,6280,1348,2370,11777,15647,1146,45.232241832,269.60906505
Diplôme maximum obtenu,Aucun diplôme,420,262,7452,17360,11600,845,2711,16982,20957,636,50.06816205,304.46611666
Diplôme maximum obtenu,Secondaire - DES,114,48,311,5969,2950,302,646,4653,5041,26,51.807612956,271.65927378
Diplôme maximum obtenu,Secondaire - DEP,25,11,82,1529,1079,106,101,1380,1452,1,55.65960452,303.52718927
Diplôme maximum obtenu,Secondaire - ASP,4,4,11,146,107,5,17,112,165,0,55.498194946,298.86642599
Diplôme maximum obtenu,Collégial - AEC,8,4,0,443,257,33,70,383,362,0,54.123489933,250.1409396
Diplôme maximum obtenu,Collégial - DEC général,7,3,6,731,195,24,101,464,502,0,53.175983437,263.81469979
Diplôme maximum obtenu,Collégial - DEC professionnel,9,10,4,716,287,37,89,577,486,0,53.500470367,235.43085607
Diplôme maximum obtenu,Universitaire - Certificat,1,1,0,259,91,13,52,183,182,0,54.304109589,247.36712329
Diplôme maximum obtenu,Universitaire - Baccalauréat,13,5,3,826,263,43,231,593,560,0,54.761491761,231.57675629
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,5,1,0,135,57,10,55,103,105,0,56.326923077,215.67307692
Diplôme maximum obtenu,Inconnu,281,120,11097,9503,6771,1404,2801,12602,16574,1146,45.804154099,269.98142309
