Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,767,396,18136,35829,21198,2650,5895,34707,44269,1793,49.142688918,286.19161517
Situation familiale,Couples sans enfants,67,28,541,926,1349,124,378,1623,1412,11,54.118616145,313.28171334
Situation familiale,Familles monoparentales,29,28,197,638,748,33,284,1425,248,10,45.451882845,230.31858936
Situation familiale,Couples avec enfants,25,15,109,226,386,24,299,327,458,4,46.864968153,232.74140127
Situation maritale,Adultes seuls,796,424,18333,36467,21946,2683,6179,36132,44517,1803,49.066126052,285.03257325
Situation maritale,Adultes avec conjoint à l’AFDR,62,18,317,707,1271,102,528,1235,1242,11,52.99031086,290.6838918
Situation maritale,Adultes avec conjoint au PRB,26,18,290,349,314,31,82,520,508,3,51.893968872,314.83365759
Situation maritale,Adultes avec conjoint hors Assistance sociale,4,7,43,96,150,15,67,195,120,1,52.174603175,285.2031746
Sexe,Hommes,509,218,10179,22096,11833,1552,3664,0,46387,1142,48.068963287,275.61502145
Sexe,Femmes,379,249,8804,15523,11848,1279,3192,38082,0,676,50.63804422,297.67738039
Âge,Moins de 20 ans,0,0,0,0,0,156,9,55,101,156,18.532051282,11.935897436
Âge,De 20 à 24 ans,7,4,508,658,199,286,100,621,1041,1662,23.268351384,68.774368231
Âge,De 25 à 29 ans,40,29,2220,2429,1044,55,375,2133,3684,0,27.086470689,108.49750731
Âge,De 30 à 34 ans,45,31,2414,2460,1212,76,401,2371,3867,0,31.97386983,157.14988778
Âge,De 35 à 39 ans,74,42,2081,2943,1213,96,514,2448,4001,0,37.05535742,201.49015351
Âge,De 40 à 44 ans,75,42,2149,3771,1659,130,591,3104,4722,0,42.084078712,242.80334781
Âge,De 45 à 49 ans,93,50,2164,4088,2044,232,715,3775,4896,0,47.013839234,280.43974167
Âge,De 50 à 54 ans,111,49,2065,4726,3015,320,944,4914,5372,0,52.143982112,317.82140774
Âge,55 ans et plus,443,220,5382,16544,13295,1480,3207,18661,18703,0,60.145193234,361.12608393
Âge,35 ans et moins,107,73,5584,6073,2671,587,999,5641,9454,1818,29.238025836,129.24981782
Âge,36 ans et plus,781,394,13399,31546,21010,2244,5857,32441,36933,0,53.576628132,319.57329835
Scolarité,Primaire,77,60,3232,2166,1698,177,627,3258,4152,292,47.09365722,299.6634278
Scolarité,Secondaire I à IV,285,172,3844,13294,8714,564,1460,12020,14853,308,50.611171064,309.02132252
Scolarité,Secondaire V,187,87,757,8226,4850,473,1232,7007,7573,64,52.813374486,280.76721536
Scolarité,Collégiale,50,24,31,3438,1378,169,556,2524,2566,0,52.91021611,262.88742633
Scolarité,Universitaire,39,14,6,2120,735,92,622,1447,1559,0,54.832335329,247.07152362
Scolarité,Inconnue,250,110,11113,8375,6306,1356,2359,11826,15684,1154,45.255434387,269.78873137
Diplôme maximum obtenu,Aucun diplôme,423,261,7439,17367,11613,854,2712,17011,20946,637,50.100640198,304.52625339
Diplôme maximum obtenu,Secondaire - DES,114,48,309,5959,2942,302,645,4650,5024,26,51.812176969,271.69981393
Diplôme maximum obtenu,Secondaire - DEP,25,11,82,1519,1075,101,97,1373,1440,1,55.625311056,303.78172769
Diplôme maximum obtenu,Secondaire - ASP,4,4,12,147,106,5,17,111,167,0,55.348920863,297.32374101
Diplôme maximum obtenu,Collégial - AEC,8,4,0,444,256,32,67,380,364,0,54.10483871,249.79166667
Diplôme maximum obtenu,Collégial - DEC général,8,3,6,728,195,23,100,462,501,0,53.14953271,263.73520249
Diplôme maximum obtenu,Collégial - DEC professionnel,8,10,4,715,285,37,89,572,487,0,53.465533522,235.94050992
Diplôme maximum obtenu,Universitaire - Certificat,1,1,0,260,91,13,53,183,183,0,54.297814208,247.04644809
Diplôme maximum obtenu,Universitaire - Baccalauréat,13,5,3,819,264,42,227,588,558,0,54.839441536,232.40314136
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,5,1,0,134,56,10,55,102,104,0,56.368932039,214.68446602
Diplôme maximum obtenu,Inconnu,279,119,11128,9527,6798,1412,2794,12650,16613,1154,45.826572805,270.16785702
Durée cumulative,Premier mois,0,0,0,0,0,7,1,3,4,7,18,1
Durée cumulative,De 2 à 5 mois,0,0,0,0,0,47,0,14,33,36,27.361702128,3.6382978723
Durée cumulative,De 6 à 11 mois,0,0,0,0,0,43,2,16,27,31,28.279069767,7.9534883721
Durée cumulative,De 12 à 23 mois,0,0,0,3,8,118,8,56,73,80,33.170542636,17.604651163
Durée cumulative,De 24 à 47 mois,1,0,2,26,18,285,22,138,194,210,32.56626506,35.385542169
Durée cumulative,De 48 à 119 mois,87,58,2186,3900,2308,534,1179,3568,5505,1454,35.045519674,92.740548881
Durée cumulative,120 mois et plus,800,409,16795,33690,21347,1797,5644,34287,40551,0,51.076805901,310.87321949
Types de diagnostics,Visuel,888,0,0,0,0,0,126,379,509,7,51.03490991,296.47747748
Types de diagnostics,Auditif et de la parole,0,467,0,0,0,0,70,249,218,4,49.922912206,277.0235546
Types de diagnostics,Intellectuel et d'apprentissage,0,0,18983,0,0,0,846,8804,10179,508,44.625032924,304.38966444
Types de diagnostics,Santé mentale,0,0,0,37619,0,0,3256,15523,22096,658,49.439671443,281.96368856
Types de diagnostics,Physique,0,0,0,0,23681,0,2352,11848,11833,199,52.521050631,285.38380981
Types de diagnostics,Autres,0,0,0,0,0,2831,206,1279,1552,442,49.02896503,206.59378312
Région,01 - Bas-Saint-Laurent,19,10,716,1135,776,78,12,1217,1517,54,50.558888076,304.97147037
Région,02 - Saguenay-Lac-Saint-Jean,30,18,868,1333,1030,113,21,1579,1813,83,49.359964623,305.04304245
Région,03 - Capitale-Nationale,78,28,1484,3407,1618,258,207,3004,3869,107,50.195693293,302.0746399
Région,04 - Mauricie,34,21,957,1859,1137,126,67,1913,2221,65,49.878809869,303.08442187
Région,05 - Estrie,61,32,1552,2618,1685,213,227,2765,3396,135,49.118974193,286.90699562
Région,06 - Montréal,245,142,3526,10555,5760,646,4486,9008,11866,403,49.943949411,281.04531954
Région,07 - Outaouais,43,24,910,1679,1153,175,189,1878,2106,82,49.081827309,275.41315261
Région,08 - Abitibi-Témiscamingue,16,8,431,565,452,61,7,708,825,25,49.988910633,304.40704501
Région,09 - Côte-Nord,11,5,235,330,254,24,7,373,486,14,49.485448196,310.08032596
Région,10 - Nord-du-Québec,3,0,44,105,73,14,1,88,151,2,44.644351464,245.67782427
Région,11 - Gaspésie-Îles-de-la-Madeleine,20,8,391,530,483,54,10,685,801,29,50.487886945,312.13660834
Région,12 - Chaudière-Appalaches,34,16,1113,1506,1006,146,41,1750,2071,80,49.138707145,290.88275321
Région,13 - Laval,32,21,752,1284,883,96,604,1411,1657,100,47.838657106,256.43774446
Région,14 - Lanaudière,50,23,1151,1805,1410,189,115,2137,2491,137,47.488547969,275.80229041
Région,15 - Laurentides,34,22,1307,2385,1637,204,160,2599,2990,152,48.368760064,276.94757559
Région,16 - Montérégie,130,74,2823,5212,3449,321,643,5582,6427,297,48.131068365,276.26072113
Région,17 - Centre-du-Québec,47,14,683,1272,855,109,53,1345,1635,50,49.633221477,289.27114094
Région,Région inconnue,1,1,40,39,20,4,6,40,65,3,49.914285714,327.41904762
