Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,30283,3494,16736,51042,89629,16542,70665,43.484854732,121.53722516
Situation familiale,Couples sans enfants,4908,1082,2900,6641,6717,495,6281,51.517218146,123.87775116
Situation familiale,Familles monoparentales,3031,773,4516,20040,2370,1381,10361,38.43480589,103.63958054
Situation familiale,Couples avec enfants,7408,1288,3483,8034,7860,629,8304,40.137913678,78.780420284
Situation familiale,Conjoint d'étudiant,0,17,31,47,37,3,54,38.94047619,67.321428571
Sexe,Hommes,26946,2467,12651,0,106613,10783,55065,42.928986146,113.67816308
Sexe,Femmes,18684,4187,15015,85804,0,8267,40600,43.482634842,119.01899678
Âge,Moins de 20 ans,1024,103,179,1422,1857,3279,3226,18.62305581,10.946935041
Âge,De 20 à 24 ans,5965,595,820,6845,8926,15771,9449,22.086361042,26.903810792
Âge,De 25 à 29 ans,7694,646,1204,8495,10651,0,12430,27.111563773,39.574845921
Âge,De 30 à 34 ans,8130,738,1721,10418,12695,0,14214,32.028771687,58.175875049
Âge,De 35 à 39 ans,6800,697,2240,9750,12097,0,12712,36.9660823,77.156360141
Âge,De 40 à 44 ans,5415,686,2815,9632,11952,0,11454,41.986795775,102.14835063
Âge,De 45 à 49 ans,3841,541,3123,8753,11205,0,9403,46.933811003,135.11108327
Âge,De 50 à 54 ans,2316,375,3566,7845,10058,0,7320,52.026587723,173.1051779
Âge,55 ans et plus,4445,2273,11998,22644,27172,0,15457,61.366749639,202.4110326
Âge,35 ans et moins,24301,2234,4364,29250,36621,19050,42023,27.757556436,43.764053984
Âge,36 ans et plus,21329,4420,23302,56554,69992,0,53642,51.20157097,153.6918907
Scolarité,Primaire,194,494,3067,4851,5389,1656,3727,44.039257813,151.90654297
Scolarité,Secondaire I à IV,381,252,5939,26183,36371,5060,24381,43.201905554,172.43466445
Scolarité,Secondaire V,677,318,5560,15763,19145,1218,14704,46.932336427,148.2968374
Scolarité,Collégiale,359,130,2399,5466,5649,197,5001,47.154475933,123.00521817
Scolarité,Universitaire,949,544,3780,4320,4825,95,4744,48.782394751,98.673920175
Scolarité,Inconnue,43070,4916,6921,29221,35234,10824,43108,39.497432317,39.462462183
Diplôme maximum obtenu,Aucun diplôme,1012,870,11271,34099,45163,7054,30304,43.812331256,168.91876309
Diplôme maximum obtenu,Secondaire - DES,208,192,3115,11112,12961,885,10532,45.665309683,137.99655215
Diplôme maximum obtenu,Secondaire - DEP,42,19,710,3077,4388,66,3358,48.11399866,158.53449431
Diplôme maximum obtenu,Secondaire - ASP,2,1,52,196,358,2,232,49.160649819,184.07581227
Diplôme maximum obtenu,Collégial - AEC,29,14,463,1123,1149,13,1151,48.341549296,119.50176056
Diplôme maximum obtenu,Collégial - DEC général,37,22,331,780,902,21,739,47.664684899,122.98989298
Diplôme maximum obtenu,Collégial - DEC professionnel,23,22,450,1239,1064,20,1001,48.548849327,118.6391663
Diplôme maximum obtenu,Universitaire - Certificat,28,19,269,452,436,5,451,49.725225225,118.72297297
Diplôme maximum obtenu,Universitaire - Baccalauréat,188,185,1529,1721,1731,16,1690,49.49391657,97.343279258
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,40,98,509,403,490,2,493,50.776035834,86.341545353
Diplôme maximum obtenu,Inconnu,44021,5212,8967,31602,37971,10966,45714,40.06220804,44.060871315
Durée cumulative,Premier mois,261,24,42,263,310,172,573,34.239092496,1
Durée cumulative,De 2 à 5 mois,6573,227,286,3708,4857,1948,8565,35.67752481,3.6451838879
Durée cumulative,De 6 à 11 mois,12289,618,689,6808,9752,3219,16560,36.384057971,8.5990942029
Durée cumulative,De 12 à 23 mois,17916,2438,1966,12988,16734,5876,29722,36.434863064,16.820436041
