Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,32341,3441,16486,50899,90441,16705,71730,43.400183954,120.52853403
Situation familiale,Couples sans enfants,5164,1064,2902,6781,6846,536,6556,51.163278785,122.96352829
Situation familiale,Familles monoparentales,3119,753,4460,19996,2336,1382,10450,38.388053018,103.3477521
Situation familiale,Couples avec enfants,7811,1255,3495,8191,8019,661,8722,39.931215299,76.503146206
Situation familiale,Conjoint d'étudiant,0,14,31,38,34,2,47,40.111111111,69.180555556
Sexe,Hommes,29035,2400,12456,0,107676,11055,56378,42.790408262,112.17982652
Sexe,Femmes,19400,4127,14918,85905,0,8231,41127,43.435644025,118.56249345
Âge,Moins de 20 ans,1057,100,164,1380,1840,3220,3178,18.627329193,10.831987578
Âge,De 20 à 24 ans,6409,583,816,6851,9215,16066,9811,22.08608241,26.260176771
Âge,De 25 à 29 ans,8350,611,1168,8637,10969,0,13008,27.102366622,38.572171784
Âge,De 30 à 34 ans,8789,731,1669,10502,12963,0,14727,32.021095248,56.720775623
Âge,De 35 à 39 ans,7299,698,2193,9819,12228,0,13053,36.971379326,75.440921667
Âge,De 40 à 44 ans,5769,670,2756,9593,12038,0,11642,41.983126069,100.79275114
Âge,De 45 à 49 ans,3960,506,3056,8652,11135,0,9424,46.936271289,134.6485066
Âge,De 50 à 54 ans,2398,365,3557,7839,10119,0,7344,52.034859116,173.46024056
Âge,55 ans et plus,4404,2263,11995,22632,27169,0,15318,61.341438927,202.75554708
Âge,35 ans et moins,26210,2183,4244,29487,37479,19286,43541,27.75847445,42.668578084
Âge,36 ans et plus,22225,4344,23130,56418,70197,0,53964,51.178493859,153.27443036
Scolarité,Primaire,163,470,3081,4815,5334,1631,3630,44.210464085,154.06128683
Scolarité,Secondaire I à IV,300,233,5834,25905,35770,4907,23602,43.312914471,174.06261857
Scolarité,Secondaire V,604,306,5512,15603,18925,1201,14382,47.051233781,149.75886237
Scolarité,Collégiale,321,115,2380,5374,5562,195,4894,47.296452085,124.79233723
Scolarité,Universitaire,866,544,3723,4245,4718,76,4615,48.901483878,100.21164789
Scolarité,Inconnue,46181,4859,6844,29963,37367,11276,46382,39.190553988,37.598485074
Diplôme maximum obtenu,Aucun diplôme,851,820,11193,33762,44536,6859,29397,43.954111216,170.57536591
Diplôme maximum obtenu,Secondaire - DES,186,182,3066,11008,12719,890,10270,45.730728706,139.25127492
Diplôme maximum obtenu,Secondaire - DEP,37,20,690,3038,4319,60,3287,48.22128585,160.58474922
Diplôme maximum obtenu,Secondaire - ASP,3,2,48,193,361,3,231,48.938628159,184.68953069
Diplôme maximum obtenu,Collégial - AEC,27,15,453,1106,1149,14,1147,48.505986696,119.91973392
Diplôme maximum obtenu,Collégial - DEC général,33,20,331,765,873,22,704,47.691697192,125.02869353
Diplôme maximum obtenu,Collégial - DEC professionnel,18,16,443,1212,1045,21,978,48.605228179,120.44085069
Diplôme maximum obtenu,Universitaire - Certificat,29,20,262,449,431,5,454,49.384090909,117.94204545
Diplôme maximum obtenu,Universitaire - Baccalauréat,171,169,1505,1684,1693,17,1642,49.606159313,98.816108972
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,40,101,503,410,480,3,498,50.928089888,86.241573034
Diplôme maximum obtenu,Inconnu,47040,5162,8880,32278,40070,11392,48897,39.76454083,42.287609886
Durée cumulative,Premier mois,788,21,26,421,571,221,992,36.195564516,1
Durée cumulative,De 2 à 5 mois,7595,276,339,4118,5609,1969,9727,36.19471574,3.6349336897
Durée cumulative,De 6 à 11 mois,14743,1021,670,7578,11695,3670,19273,36.076168733,8.6397032117
Durée cumulative,De 12 à 23 mois,17005,2210,1862,12507,15673,5694,28180,36.20841022,16.780482612
Durée cumulative,De 24 à 47 mois,7748,2843,3370,12054,14637,5169,9208,37.792027275,32.708066389
Durée cumulative,De 48 à 119 mois,508,156,9474,17331,20793,2563,15009,42.646574336,80.642797188
Durée cumulative,120 mois et plus,48,0,11633,31896,38698,0,15116,51.005085418,249.89394283
Types de contraintes,Sans contraintes,43269,3855,13300,47379,72225,11571,69781,38.783293201,91.947200763
Types de contraintes,Contraintes temporaires,4972,2375,10810,28228,21538,2123,19745,53.521159024,161.19507294
Types de contraintes,Contraintes sévères,162,225,3000,9758,13555,5566,7654,42.494187792,133.82644876
Types de contraintes,Conjoints sans contraintes sévères,32,72,264,540,358,26,325,51.226057906,139.20155902
Région,01 - Bas-Saint-Laurent,26,8,41,1331,1810,280,1252,45.054441261,166.02674308
Région,02 - Saguenay-Lac-Saint-Jean,59,8,57,2033,2496,394,1855,44.097151689,168.21152572
Région,03 - Capitale-Nationale,1063,298,1034,4706,5977,896,5045,44.246091922,138.77974352
Région,04 - Mauricie,254,62,261,3151,4118,655,2879,43.603934516,170.31324804
Région,05 - Estrie,526,261,932,4588,5745,1096,4378,42.721087777,136.96322462
Région,06 - Montréal,37422,3705,17775,35004,47292,8706,48019,41.985406338,87.032164382
Région,07 - Outaouais,668,269,950,4245,4551,737,3573,43.664392906,131.78001364
Région,08 - Abitibi-Témiscamingue,29,2,27,1024,1299,198,1004,43.915195867,151.33749462
Région,09 - Côte-Nord,24,6,15,502,612,85,454,45.061041293,161.47935368
Région,10 - Nord-du-Québec,5,0,6,282,387,74,342,42.890881913,132.13004484
Région,11 - Gaspésie-Îles-de-la-Madeleine,3,1,17,784,1030,170,766,45.483461963,174.98235943
Région,12 - Chaudière-Appalaches,175,32,128,2138,2806,450,2225,43.542071197,136.81067961
Région,13 - Laval,2561,598,2520,4445,4317,796,4492,46.091759872,88.62748231
Région,14 - Lanaudière,862,107,469,4133,4558,836,4204,44.163617535,137.54539178
Région,15 - Laurentides,664,152,575,4382,5237,877,4109,44.432789271,139.8313754
Région,16 - Montérégie,3721,922,2340,10810,12454,2490,10555,43.257135488,122.11231946
Région,17 - Centre-du-Québec,350,95,221,2313,2941,535,2312,42.601256186,141.38199467
Région,Région inconnue,23,1,6,34,46,11,41,41.2625,115.0875
