Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,28322,3596,16847,50863,88564,16224,68640,43.648647679,122.88845059
Situation familiale,Couples sans enfants,4618,1117,2872,6475,6533,439,5848,52.085870234,125.9476476
Situation familiale,Familles monoparentales,2977,820,4564,20245,2362,1392,10346,38.448224001,103.73273765
Situation familiale,Couples avec enfants,6996,1321,3479,7831,7651,567,7862,40.329285622,81.15779615
Situation familiale,Conjoint d'étudiant,1,17,35,50,42,3,59,38.434782609,63.630434783
Sexe,Hommes,24963,2557,12730,0,105152,10517,53079,43.120796561,115.52948113
Sexe,Femmes,17951,4314,15067,85464,0,8108,39676,43.599737901,119.71782271
Âge,Moins de 20 ans,954,99,188,1371,1865,3236,3181,18.62144623,11.362175525
Âge,De 20 à 24 ans,5461,637,800,6737,8652,15389,8947,22.079147443,27.760023393
Âge,De 25 à 29 ans,7067,669,1187,8356,10167,0,11649,27.113318577,40.77876154
Âge,De 30 à 34 ans,7543,745,1744,10308,12338,0,13581,32.029320851,59.760045924
Âge,De 35 à 39 ans,6318,745,2280,9722,11904,0,12325,36.96148155,78.868954037
Âge,De 40 à 44 ans,5044,676,2831,9588,11765,0,11032,41.991523439,103.80948813
Âge,De 45 à 49 ans,3721,554,3130,8746,11188,0,9261,46.931072539,135.59014749
Âge,De 50 à 54 ans,2261,404,3566,7878,10050,0,7314,52.007251227,173.23025435
Âge,55 ans et plus,4545,2342,12071,22758,27223,0,15465,61.402753046,201.60244893
Âge,35 ans et moins,22401,2321,4387,28876,35510,18625,40022,27.774842357,45.069611406
Âge,36 ans et plus,20513,4550,23410,56588,69642,0,52733,51.272558029,154.30458687
Scolarité,Primaire,214,571,3036,4893,5427,1658,3760,43.987693798,150.22228682
Scolarité,Secondaire I à IV,414,282,6007,26381,36572,5167,24466,43.1367687,171.62514892
Scolarité,Secondaire V,683,369,5593,15837,19311,1217,14812,46.913821555,147.35965062
Scolarité,Collégiale,349,145,2437,5554,5681,196,5047,47.149087672,122.6329328
Scolarité,Universitaire,971,561,3850,4392,4882,100,4786,48.809682985,98.145460427
Scolarité,Inconnue,40283,4943,6874,28407,33279,10287,39884,39.872839866,41.46368706
Diplôme maximum obtenu,Aucun diplôme,1057,1002,11316,34290,45422,7135,30437,43.754014452,167.9741946
Diplôme maximum obtenu,Secondaire - DES,220,209,3147,11238,13116,909,10630,45.634433769,137.2165558
Diplôme maximum obtenu,Secondaire - DEP,43,25,709,3122,4387,72,3369,48.090557997,157.4879478
Diplôme maximum obtenu,Secondaire - ASP,2,2,53,195,358,2,238,49.231464738,184.58589512
Diplôme maximum obtenu,Collégial - AEC,23,17,479,1136,1170,7,1156,48.399392888,119.58282741
Diplôme maximum obtenu,Collégial - DEC général,33,24,332,781,905,23,726,47.642941874,123.41043891
Diplôme maximum obtenu,Collégial - DEC professionnel,21,26,457,1230,1072,19,993,48.590790617,118.67028671
Diplôme maximum obtenu,Universitaire - Certificat,21,21,288,469,437,3,451,49.833333333,118.05518764
Diplôme maximum obtenu,Universitaire - Baccalauréat,187,193,1568,1756,1750,22,1733,49.527952082,96.707358813
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,47,97,520,411,501,3,492,50.930921053,86.026315789
Diplôme maximum obtenu,Inconnu,41260,5255,8928,30836,36034,10430,42530,40.436279348,46.093300434
Durée cumulative,Premier mois,104,29,32,181,160,89,341,34.483870968,1
Durée cumulative,De 2 à 5 mois,4931,194,285,3049,3875,1731,6924,35.345753899,3.7723859041
Durée cumulative,De 6 à 11 mois,10286,567,685,6276,8209,2934,14485,36.650604073,8.5691404902
Durée cumulative,De 12 à 23 mois,18552,2352,2035,13252,17251,5914,30503,36.692849884,17.060485854
Durée cumulative,De 24 à 47 mois,8536,3563,3594,13359,15890,5443,10071,38.010974734,33.350610277
Durée cumulative,De 48 à 119 mois,463,166,9599,17532,20950,2514,15184,42.71701055,80.960059248
Durée cumulative,120 mois et plus,42,0,11567,31815,38817,0,15247,50.943028656,249.43031487
Types de contraintes,Sans contraintes,37508,4048,13641,46295,69490,10737,64612,39.104115386,96.066217558
Types de contraintes,Contraintes temporaires,5191,2494,10934,28931,21729,2193,20155,53.354678247,159.1182195
