Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,32126,3445,16680,51249,90832,16831,71995,43.370542156,120.36892336
Situation familiale,Couples sans enfants,5100,1077,2908,6762,6817,534,6482,51.263053244,122.5763311
Situation familiale,Familles monoparentales,3095,768,4474,20046,2357,1385,10434,38.389278222,103.39097442
Situation familiale,Couples avec enfants,7710,1260,3490,8158,7988,650,8598,40.01597919,77.361142079
Situation familiale,Conjoint d'étudiant,0,17,33,45,40,3,55,39.564705882,68.270588235
Sexe,Hommes,28672,2416,12608,0,108034,11057,56381,42.796184534,112.28093008
Sexe,Femmes,19359,4151,14977,86260,0,8346,41183,43.406955715,118.33511477
Âge,Moins de 20 ans,1073,97,171,1416,1856,3272,3224,18.627139364,10.920843521
Âge,De 20 à 24 ans,6400,587,827,6930,9201,16131,9812,22.089083132,26.399293286
Âge,De 25 à 29 ans,8236,625,1198,8655,11008,0,12912,27.105935005,38.889640441
Âge,De 30 à 34 ans,8587,718,1697,10535,12908,0,14598,32.022778655,57.212600776
Âge,De 35 à 39 ans,7201,690,2245,9833,12345,0,13067,36.969654613,75.99003517
Âge,De 40 à 44 ans,5708,681,2803,9647,12115,0,11675,41.983825016,100.84982998
Âge,De 45 à 49 ans,3979,537,3085,8758,11261,0,9521,46.933962735,134.46950397
Âge,De 50 à 54 ans,2371,374,3557,7847,10141,0,7391,52.030520347,172.99983322
Âge,55 ans et plus,4476,2258,12002,22639,27199,0,15364,61.352883342,202.3832417
Âge,35 ans et moins,25886,2178,4343,29615,37534,19403,43361,27.749646309,42.985956604
Âge,36 ans et plus,22145,4389,23242,56645,70500,0,54203,51.157072634,152.98502497
Scolarité,Primaire,186,483,3069,4835,5385,1654,3698,44.091976517,152.77808219
Scolarité,Secondaire I à IV,358,245,5919,26108,36218,5000,24083,43.23198986,172.88420563
Scolarité,Secondaire V,645,308,5541,15710,19096,1212,14588,46.968741022,148.90312015
Scolarité,Collégiale,348,131,2394,5437,5633,196,4999,47.190785908,123.49241192
Scolarité,Universitaire,920,549,3764,4288,4787,84,4683,48.806391185,99.279449036
Scolarité,Inconnue,45574,4851,6898,29882,36915,11257,45513,39.260984775,38.181774631
Diplôme maximum obtenu,Aucun diplôme,962,854,11264,34004,45053,6988,29972,43.858241522,169.37838522
Diplôme maximum obtenu,Secondaire - DES,198,177,3096,11080,12866,887,10452,45.667627161,138.59300092
Diplôme maximum obtenu,Secondaire - DEP,38,20,699,3062,4369,61,3330,48.134033105,159.4491993
Diplôme maximum obtenu,Secondaire - ASP,3,1,51,195,363,3,237,48.917562724,182.75089606
Diplôme maximum obtenu,Collégial - AEC,30,18,453,1122,1148,13,1152,48.396035242,119.12907489
Diplôme maximum obtenu,Collégial - DEC général,35,21,330,763,895,21,716,47.735826297,124.46079614
Diplôme maximum obtenu,Collégial - DEC professionnel,21,24,445,1228,1055,24,989,48.566360053,119.63074901
Diplôme maximum obtenu,Universitaire - Certificat,32,19,265,451,439,5,457,49.417977528,117.11011236
Diplôme maximum obtenu,Universitaire - Baccalauréat,190,184,1519,1704,1717,17,1660,49.504238527,97.503069278
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,41,104,507,408,484,2,501,50.810538117,85.948430493
Diplôme maximum obtenu,Inconnu,46481,5145,8956,32243,39645,11382,48098,39.830681059,42.806309815
Durée cumulative,Premier mois,681,21,29,381,536,198,917,35.009814613,1
Durée cumulative,De 2 à 5 mois,7397,261,324,4106,5381,2025,9487,35.983661853,3.6411932118
Durée cumulative,De 6 à 11 mois,13570,789,662,7128,10791,3461,17919,36.212846699,8.6772141303
Durée cumulative,De 12 à 23 mois,17751,2342,1942,12866,16449,5900,29315,36.245846836,16.762681221
Durée cumulative,De 24 à 47 mois,8091,3013,3454,12443,15102,5265,9481,37.808349973,32.803957161
Durée cumulative,De 48 à 119 mois,496,141,9541,17424,20975,2554,15167,42.635146749,80.657621292
Durée cumulative,120 mois et plus,45,0,11633,31912,38800,0,15278,50.970457631,249.66967417
Types de contraintes,Sans contraintes,42799,3898,13523,47811,72664,11665,69981,38.808267275,92.261174518
Types de contraintes,Contraintes temporaires,5033,2374,10798,28134,21412,2132,19611,53.568481815,161.01677229
Types de contraintes,Contraintes sévères,166,225,3007,9782,13607,5581,7650,42.452263885,133.56894267
Types de contraintes,Conjoints sans contraintes sévères,33,70,257,533,351,25,322,51.222850679,136.65045249
Région,01 - Bas-Saint-Laurent,28,9,41,1343,1832,283,1298,44.913700787,164.44818898
Région,02 - Saguenay-Lac-Saint-Jean,65,10,56,2063,2537,411,1908,44.01326087,166.60065217
Région,03 - Capitale-Nationale,1069,302,1041,4704,6032,900,5090,44.191039493,138.22671386
Région,04 - Mauricie,256,56,260,3167,4152,657,2935,43.523568794,169.42970351
Région,05 - Estrie,518,276,917,4621,5812,1099,4440,42.66222563,136.4591201
Région,06 - Montréal,37007,3738,17945,35115,47067,8715,47526,42.022778711,87.401401767
Région,07 - Outaouais,651,266,960,4243,4576,747,3576,43.631590883,131.33201043
Région,08 - Abitibi-Témiscamingue,33,2,29,1045,1302,206,1028,43.827439284,150.21175969
Région,09 - Côte-Nord,24,6,15,509,610,84,460,45.058981233,161.1411975
Région,10 - Nord-du-Québec,8,0,6,286,386,74,346,42.799107143,132.2485119
Région,11 - Gaspésie-Îles-de-la-Madeleine,3,1,17,793,1049,171,789,45.425624321,173.29044517
