Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,29420,3534,16821,51043,89453,16455,70015,43.550264776,122.11197472
Situation familiale,Couples sans enfants,4760,1102,2886,6561,6621,476,6070,51.795630405,125.03694432
Situation familiale,Familles monoparentales,3022,803,4558,20208,2385,1391,10401,38.446996857,103.58765989
Situation familiale,Couples avec enfants,7225,1312,3497,7943,7770,599,8051,40.245020047,79.782664036
Situation familiale,Conjoint d'étudiant,0,18,30,47,36,3,52,38.614457831,66.21686747
Sexe,Hommes,26057,2515,12737,0,106265,10699,54369,43.017588105,114.4987343
Sexe,Femmes,18370,4254,15055,85802,0,8225,40220,43.522901564,119.30665952
Âge,Moins de 20 ans,989,100,180,1396,1874,3270,3222,18.618042813,11.088685015
Âge,De 20 à 24 ans,5749,623,824,6829,8825,15654,9242,22.088220263,27.308483455
Âge,De 25 à 29 ans,7385,647,1191,8439,10427,0,12033,27.113643592,40.263966925
Âge,De 30 à 34 ans,7865,749,1740,10399,12577,0,13998,32.030727716,58.923964136
Âge,De 35 à 39 ans,6581,731,2266,9759,12046,0,12525,36.960972254,77.949094244
Âge,De 40 à 44 ans,5275,678,2841,9629,11945,0,11340,41.993093539,102.76049875
Âge,De 45 à 49 ans,3795,549,3141,8783,11199,0,9385,46.933390051,135.3103293
Âge,De 50 à 54 ans,2293,390,3576,7866,10112,0,7358,52.012904661,172.92507509
Âge,55 ans et plus,4495,2302,12033,22702,27260,0,15486,61.380609263,202.10361875
Âge,35 ans et moins,23443,2290,4391,29174,36224,18924,41210,27.772011376,44.400516835
Âge,36 ans et plus,20984,4479,23401,56628,70041,0,53379,51.231019429,153.94652993
Scolarité,Primaire,209,538,3054,4894,5403,1649,3754,43.991065359,150.89035641
Scolarité,Secondaire I à IV,408,266,5985,26291,36620,5130,24542,43.159765383,171.81162277
Scolarité,Secondaire V,692,354,5603,15849,19339,1241,14902,46.901756281,147.67596908
Scolarité,Collégiale,367,138,2435,5534,5700,196,5072,47.13379028,122.6448282
Scolarité,Universitaire,965,544,3823,4363,4850,99,4779,48.803321394,98.48713774
Scolarité,Inconnue,41786,4929,6892,28871,34353,10609,41540,39.667072631,40.488153233
Diplôme maximum obtenu,Aucun diplôme,1057,942,11322,34254,45455,7120,30562,43.765158263,168.15628097
Diplôme maximum obtenu,Secondaire - DES,216,209,3143,11191,13084,907,10617,45.651122554,137.78368692
Diplôme maximum obtenu,Secondaire - DEP,44,23,714,3107,4429,67,3410,48.103370488,157.92754777
Diplôme maximum obtenu,Secondaire - ASP,2,1,52,195,362,2,239,49.157989228,183.2567325
Diplôme maximum obtenu,Collégial - AEC,29,17,478,1135,1180,9,1175,48.399568035,119.25269978
Diplôme maximum obtenu,Collégial - DEC général,39,22,339,798,916,22,764,47.610268378,121.93990665
Diplôme maximum obtenu,Collégial - DEC professionnel,22,25,451,1228,1067,20,981,48.562091503,118.90631808
Diplôme maximum obtenu,Universitaire - Certificat,26,21,281,461,437,6,458,49.777282851,118.29175947
Diplôme maximum obtenu,Universitaire - Baccalauréat,191,184,1550,1741,1742,19,1711,49.513924777,97.08240023
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,42,96,514,403,493,3,491,50.958705357,87.151785714
Diplôme maximum obtenu,Inconnu,42759,5229,8948,31289,37100,10749,44181,40.228033748,45.081182646
Durée cumulative,Premier mois,122,33,47,188,213,126,401,34.793017456,1
Durée cumulative,De 2 à 5 mois,5657,196,277,3264,4330,1850,7594,35.279562813,3.7101659205
Durée cumulative,De 6 à 11 mois,11281,612,692,6643,8968,3098,15611,36.552430978,8.554672987
Durée cumulative,De 12 à 23 mois,18512,2408,1999,13220,17216,5925,30436,36.569818636,16.895912735
Durée cumulative,De 24 à 47 mois,8341,3370,3586,13071,15656,5393,9886,37.950847635,33.206217148
Durée cumulative,De 48 à 119 mois,471,150,9592,17550,20976,2532,15270,42.681877174,80.884078285
Durée cumulative,120 mois et plus,43,0,11599,31866,38906,0,15391,50.945515175,249.49889787
Types de contraintes,Sans contraintes,39081,4016,13638,46818,70558,11033,66407,39.01492639,94.856478326
Types de contraintes,Contraintes temporaires,5132,2431,10896,28663,21661,2195,20038,53.394324775,159.75852476
Types de contraintes,Contraintes sévères,178,248,3005,9798,13702,5670,7827,42.320680851,132.39459574
Types de contraintes,Conjoints sans contraintes sévères,36,74,253,523,344,26,317,51.497116494,137.39677047
Région,01 - Bas-Saint-Laurent,26,19,47,1362,1854,283,1341,44.776741294,162.81747512
Région,02 - Saguenay-Lac-Saint-Jean,51,8,58,2105,2551,422,1928,43.993127148,166.54059278
Région,03 - Capitale-Nationale,1014,338,1044,4742,6105,898,5160,44.224578224,137.52456901
Région,04 - Mauricie,244,62,266,3182,4164,659,2962,43.44622924,168.54192758
Région,05 - Estrie,497,294,898,4626,5847,1111,4458,42.602692638,136.3988351
Région,06 - Montréal,34143,3820,18100,34548,45193,8187,44674,42.384557505,90.346659811
Région,07 - Outaouais,650,261,982,4280,4602,743,3610,43.569691511,130.28957442
Région,08 - Abitibi-Témiscamingue,31,3,25,1050,1316,210,1047,43.794167371,149.16990702
Région,09 - Côte-Nord,18,4,16,502,624,80,476,44.999111901,160.1740675
Région,10 - Nord-du-Québec,6,0,8,293,390,76,348,43.005856515,132.71010249
Région,11 - Gaspésie-Îles-de-la-Madeleine,3,1,18,803,1066,179,801,45.378812199,171.57784912
Région,12 - Chaudière-Appalaches,181,37,129,2187,2803,463,2224,43.39498998,135.44328657
Région,13 - Laval,2370,619,2520,4378,4248,813,4330,46.238581034,89.7027591
Région,14 - Lanaudière,843,116,471,4176,4599,864,4193,44.152820513,137.3002849
Région,15 - Laurentides,639,171,580,4443,5369,899,4247,44.353444762,138.96300448
Région,16 - Montérégie,3392,919,2406,10766,12477,2490,10418,43.353913006,122.81762251
Région,17 - Centre-du-Québec,302,97,218,2321,3000,538,2334,42.61341853,141.80586356
Région,Région inconnue,17,0,6,38,57,9,38,42.589473684,139.49473684
