Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,26862,3729,17171,51302,87319,15720,66032,43.851948839,123.69712381
Situation familiale,Couples sans enfants,4407,1125,2853,6322,6392,383,5357,52.69498191,127.51809029
Situation familiale,Familles monoparentales,3078,924,4599,20660,2409,1372,10484,38.494949933,102.8846504
Situation familiale,Couples avec enfants,6542,1434,3473,7638,7460,506,7425,40.564313154,82.920188104
Situation familiale,Conjoint d'étudiant,1,15,32,52,34,2,58,37.779069767,61.046511628
Sexe,Hommes,23238,2678,12938,0,103614,9966,50300,43.377169108,117.1352906
Sexe,Femmes,17652,4549,15190,85974,0,8017,39056,43.711028916,119.36228395
Âge,Moins de 20 ans,818,119,183,1351,1728,3079,3032,18.631698603,11.617083469
Âge,De 20 à 24 ans,4866,683,809,6666,8238,14904,8264,22.085212024,28.680220075
Âge,De 25 à 29 ans,6401,722,1260,8263,9744,0,10788,27.128561115,42.179319154
Âge,De 30 à 34 ans,6920,795,1764,10244,11857,0,12611,32.028369757,61.278132211
Âge,De 35 à 39 ans,5963,806,2313,9845,11828,0,11964,36.962026485,80.229917409
Âge,De 40 à 44 ans,4947,690,2875,9701,11636,0,10739,41.98083142,103.88691006
Âge,De 45 à 49 ans,3706,620,3197,8991,11218,0,9171,46.927606512,135.44678114
Âge,De 50 à 54 ans,2374,416,3622,7974,10169,0,7366,51.999503941,170.92630767
Âge,55 ans et plus,4895,2376,12105,22939,27196,0,15421,61.453994216,200.02076394
Âge,35 ans et moins,20281,2486,4499,28674,34033,17983,37274,27.819031368,46.454494714
Âge,36 ans et plus,20609,4741,23629,57300,69581,0,52082,51.292518186,153.5760831
Scolarité,Primaire,227,691,2999,4984,5476,1693,3789,43.834130019,147.7625239
Scolarité,Secondaire I à IV,427,328,6103,26679,36558,5247,24246,43.045448076,170.58873761
Scolarité,Secondaire V,721,436,5713,16141,19379,1270,14920,46.800760135,146.12533784
Scolarité,Collégiale,378,154,2513,5686,5747,196,5129,47.148255051,121.54456398
Scolarité,Universitaire,1006,612,3979,4540,4941,94,4894,48.758991668,96.221917519
Scolarité,Inconnue,38131,5006,6821,27944,31513,9483,36378,40.5037422,43.283751282
Diplôme maximum obtenu,Aucun diplôme,1117,1195,11401,34731,45424,7266,30308,43.648456116,166.71054831
Diplôme maximum obtenu,Secondaire - DES,228,249,3272,11488,13269,954,10739,45.523488306,135.82615018
Diplôme maximum obtenu,Secondaire - DEP,43,29,720,3171,4391,70,3357,48.049193335,156.75614917
Diplôme maximum obtenu,Secondaire - ASP,1,2,52,192,353,4,228,49.240366972,185.3412844
Diplôme maximum obtenu,Collégial - AEC,30,23,503,1172,1189,8,1184,48.301990682,117.53282507
Diplôme maximum obtenu,Collégial - DEC général,32,22,344,800,894,21,743,47.469303424,121.58087367
Diplôme maximum obtenu,Collégial - DEC professionnel,22,24,468,1255,1080,18,1000,48.546895075,117.68094218
Diplôme maximum obtenu,Universitaire - Certificat,23,21,304,474,444,3,455,49.711328976,113.94662309
Diplôme maximum obtenu,Universitaire - Baccalauréat,179,214,1625,1799,1786,17,1768,49.528312413,95.826778243
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,51,105,545,440,515,3,521,50.818848168,83.256544503
Diplôme maximum obtenu,Inconnu,39164,5343,8894,30452,34269,9619,39053,41.054773567,47.917770121
Durée cumulative,Premier mois,129,32,32,181,174,87,355,36.394366197,1
Durée cumulative,De 2 à 5 mois,4640,202,305,3203,3331,1332,6534,37.441995715,3.7136516682
Durée cumulative,De 6 à 11 mois,8110,537,684,5487,6702,2665,12189,36.553121667,8.6750348675
Durée cumulative,De 12 à 23 mois,17905,2188,2105,13078,16831,5788,29909,36.982179277,17.492460463
Durée cumulative,De 24 à 47 mois,9620,4059,3794,14482,16981,5706,10324,38.206464736,33.657343546
