Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,27583,3605,16961,50980,87957,16077,67564,43.720895082,123.30342529
Situation familiale,Couples sans enfants,4606,1123,2858,6462,6525,430,5755,52.238315238,125.88950489
Situation familiale,Familles monoparentales,3013,844,4583,20389,2391,1375,10388,38.482791923,103.62993854
Situation familiale,Couples avec enfants,6883,1304,3509,7767,7587,556,7693,40.431353393,82.143675915
Situation familiale,Conjoint d'étudiant,1,16,33,50,41,3,58,38.197802198,63.076923077
Sexe,Hommes,24212,2564,12834,0,104501,10351,51941,43.223997856,116.26912661
Sexe,Femmes,17874,4328,15110,85648,0,8090,39517,43.629915468,119.60301466
Âge,Moins de 20 ans,893,106,190,1372,1813,3185,3131,18.62700157,11.443642072
Âge,De 20 à 24 ans,5288,646,806,6718,8538,15256,8712,22.074528055,28.09189827
Âge,De 25 à 29 ans,6800,673,1216,8323,9982,0,11317,27.117727397,41.375798962
Âge,De 30 à 34 ans,7337,744,1751,10327,12121,0,13198,32.035682466,60.379543835
Âge,De 35 à 39 ans,6171,738,2296,9738,11846,0,12195,36.964974055,79.49777613
Âge,De 40 à 44 ans,4964,662,2855,9642,11674,0,10861,41.991696378,104.24432351
Âge,De 45 à 49 ans,3697,557,3153,8816,11185,0,9233,46.937753112,135.52542373
Âge,De 50 à 54 ans,2273,398,3579,7905,10092,0,7315,52.005334222,172.6077124
Âge,55 ans et plus,4663,2368,12098,22807,27250,0,15496,61.419062269,200.99446631
Âge,35 ans et moins,21638,2330,4434,28831,34923,18441,38987,27.782147003,45.618753333
Âge,36 ans et plus,20448,4562,23510,56817,69578,0,52471,51.287970252,154.16449227
Scolarité,Primaire,224,576,3023,4899,5444,1659,3763,43.982886977,149.86367592
Scolarité,Secondaire I à IV,416,291,6047,26489,36580,5202,24433,43.111433509,171.24745913
Scolarité,Secondaire V,683,388,5648,15958,19326,1233,14840,46.88258134,147.04483619
Scolarité,Collégiale,362,147,2461,5601,5707,201,5090,47.116643085,121.92164839
Scolarité,Universitaire,991,575,3897,4445,4911,104,4841,48.768918341,97.271911073
Scolarité,Inconnue,39410,4915,6868,28256,32533,10042,38491,40.082482028,42.21910214
Diplôme maximum obtenu,Aucun diplôme,1072,1026,11366,34450,45423,7175,30413,43.738735242,167.67211699
Diplôme maximum obtenu,Secondaire - DES,218,219,3189,11322,13169,920,10684,45.588828549,136.68731371
Diplôme maximum obtenu,Secondaire - DEP,44,26,711,3135,4397,76,3368,48.030005311,157.03212958
Diplôme maximum obtenu,Secondaire - ASP,2,2,53,188,358,3,230,49.036630037,183.81868132
Diplôme maximum obtenu,Collégial - AEC,28,19,488,1161,1172,7,1165,48.37848264,118.2361766
Diplôme maximum obtenu,Collégial - DEC général,34,22,332,778,893,26,727,47.496110114,122.58168761
Diplôme maximum obtenu,Collégial - DEC professionnel,21,23,463,1240,1080,18,1005,48.543534483,117.92198276
Diplôme maximum obtenu,Universitaire - Certificat,22,21,294,473,440,3,449,49.664841183,116.40635268
Diplôme maximum obtenu,Universitaire - Baccalauréat,185,206,1589,1769,1780,22,1761,49.565229642,96.413355875
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,50,98,518,416,497,3,488,50.915662651,84.971522453
