Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,748,386,17730,35528,20378,2748,6115,33735,43783,1826,48.818867876,284.39944271
Situation familiale,Couples sans enfants,65,25,552,881,1321,113,401,1622,1335,9,54.014541765,311.45417653
Situation familiale,Familles monoparentales,26,28,204,620,696,42,251,1377,239,2,45.391707921,230.02970297
Situation familiale,Couples avec enfants,29,14,119,226,392,22,292,327,475,4,46.634663342,231.90274314
Situation maritale,Adultes seuls,774,414,17934,36148,21074,2790,6366,35112,44022,1828,48.748881644,283.2891551
Situation maritale,Adultes avec conjoint à l’AFDR,62,14,288,604,1134,89,511,1085,1106,8,53.099954359,287.95846645
Situation maritale,Adultes avec conjoint au PRB,21,18,292,332,317,26,82,508,498,0,52.387673956,318.51888668
Situation maritale,Adultes avec conjoint hors Assistance sociale,11,7,91,171,262,20,100,356,206,5,49.960854093,276.88434164
Sexe,Hommes,495,219,9985,22180,11348,1605,3773,0,45832,1197,47.708500611,274.18118345
Sexe,Femmes,373,234,8620,15075,11439,1320,3286,37061,0,644,50.409864817,295.68786595
Âge,Moins de 20 ans,0,0,0,1,0,219,13,81,139,220,18.540909091,12.622727273
Âge,De 20 à 24 ans,8,2,432,595,158,426,115,563,1058,1621,23.159161012,67.657618754
Âge,De 25 à 29 ans,34,27,2161,2655,987,65,410,2156,3773,0,27.06527239,108.16596391
Âge,De 30 à 34 ans,47,37,2482,2672,1263,83,434,2484,4100,0,31.998329283,157.61877278
Âge,De 35 à 39 ans,72,45,2145,2925,1216,94,512,2463,4034,0,37.063875635,202.28228413
Âge,De 40 à 44 ans,86,32,2124,3737,1592,135,608,3032,4674,0,42.111082274,243.88995588
Âge,De 45 à 49 ans,86,58,2145,4297,2081,233,739,3838,5062,0,47.032921348,280.02292135
Âge,De 50 à 54 ans,107,49,1997,4557,2863,302,940,4688,5187,0,52.148050633,318.09336709
Âge,55 ans et plus,428,203,5119,15816,12627,1368,3288,17756,17805,0,60.267765248,362.93163859
Âge,35 ans et moins,98,71,5523,6437,2646,806,1053,5745,9836,1841,29.247930171,129.61998588
Âge,36 ans et plus,770,382,13082,30818,20141,2119,6006,31316,35996,0,53.468980271,319.48465355
Scolarité,Primaire,80,57,3241,2280,1654,203,672,3267,4248,341,46.190286094,289.82022621
Scolarité,Secondaire I à IV,282,167,3882,13067,8362,559,1491,11632,14687,279,50.32098484,308.68669022
Scolarité,Secondaire V,180,82,756,8238,4737,467,1277,6885,7575,47,52.720677732,280.74370678
Scolarité,Collégiale,47,24,31,3448,1383,183,567,2543,2573,2,52.869038311,261.11884285
Scolarité,Universitaire,39,16,7,2072,738,89,650,1446,1515,0,54.744005404,244.15028707
Scolarité,Inconnue,240,107,10688,8150,5913,1424,2402,11288,15234,1172,44.807405173,267.8557047
Diplôme maximum obtenu,Aucun diplôme,424,245,7486,17244,11159,871,2801,16550,20879,640,49.672286195,302.15894093
Diplôme maximum obtenu,Secondaire - DES,108,50,311,6037,2899,303,678,4653,5055,26,51.725175113,271.6171199
Diplôme maximum obtenu,Secondaire - DEP,23,12,77,1487,1071,103,106,1358,1415,2,55.788676524,303.97764154
Diplôme maximum obtenu,Secondaire - ASP,3,4,12,136,94,4,15,100,153,0,55.62055336,308.90513834
Diplôme maximum obtenu,Collégial - AEC,8,4,1,443,256,35,70,385,362,0,54.076305221,247.77777778
Diplôme maximum obtenu,Collégial - DEC général,7,3,7,723,200,21,107,460,501,0,53.196670135,264.289282
Diplôme maximum obtenu,Collégial - DEC professionnel,8,9,5,741,300,43,96,598,508,1,53.606690778,234.26672694
Diplôme maximum obtenu,Universitaire - Certificat,3,1,0,241,85,12,59,174,168,0,53.757309942,243.47953216
Diplôme maximum obtenu,Universitaire - Baccalauréat,11,5,4,834,270,41,236,602,563,0,54.709012876,229.88497854
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,5,2,0,133,58,10,60,107,101,0,56.3125,211.70673077
Diplôme maximum obtenu,Inconnu,268,118,10702,9236,6395,1482,2831,12074,16127,1172,45.390943584,268.21811283
Durée cumulative,Premier mois,0,0,0,0,0,1,0,1,0,1,18,1
Durée cumulative,De 2 à 5 mois,0,0,0,1,0,44,2,19,26,40,21.888888889,3.7111111111
Durée cumulative,De 6 à 11 mois,0,0,0,1,0,72,6,32,41,62,23.328767123,8.5342465753
Durée cumulative,De 12 à 23 mois,0,0,0,0,0,159,10,59,100,123,27.452830189,17.660377358
Durée cumulative,De 24 à 47 mois,1,0,4,22,22,280,25,149,180,209,32.012158055,37.124620061
Durée cumulative,De 48 à 119 mois,93,54,2087,3982,2238,674,1303,3605,5523,1406,34.884859772,93.037028922
Durée cumulative,120 mois et plus,774,399,16514,33249,20527,1695,5713,33196,39962,0,50.832226141,309.73652916
Types de diagnostics,Visuel,868,0,0,0,0,0,140,373,495,8,51.15437788,298.63709677
Types de diagnostics,Auditif et de la parole,0,453,0,0,0,0,77,234,219,2,49.633554084,275.57615894
Types de diagnostics,Intellectuel et d'apprentissage,0,0,18605,0,0,0,908,8620,9985,432,44.482397205,303.1227627
Types de diagnostics,Santé mentale,0,0,0,37255,0,0,3326,15075,22180,596,49.068769293,280.21905784
Types de diagnostics,Physique,0,0,0,0,22787,0,2382,11439,11348,158,52.479922763,285.44525387
Types de diagnostics,Autres,0,0,0,0,0,2925,226,1320,1605,645,46.638632479,190.46358974
Région,01 - Bas-Saint-Laurent,17,9,700,1105,735,89,15,1165,1490,56,50.29039548,303.13370998
Région,02 - Saguenay-Lac-Saint-Jean,29,15,839,1277,985,113,22,1516,1742,74,49.082872928,302.81614487
Région,03 - Capitale-Nationale,70,25,1420,3342,1597,248,226,2905,3797,117,49.846612951,300.18397493
Région,04 - Mauricie,34,19,946,1818,1080,115,70,1835,2177,67,49.516450648,301.41924227
Région,05 - Estrie,59,29,1512,2598,1607,228,237,2685,3348,123,48.938007625,286.79065142
Région,06 - Montréal,230,142,3457,10339,5552,641,4503,8719,11642,359,49.780020628,280.72810766
Région,07 - Outaouais,47,23,879,1707,1093,177,196,1823,2103,84,48.873662761,274.75241977
Région,08 - Abitibi-Témiscamingue,17,8,421,543,416,63,9,678,790,33,49.353542234,301.91008174
Région,09 - Côte-Nord,11,5,224,312,226,28,7,350,456,13,49.171215881,309.88337469
Région,10 - Nord-du-Québec,3,0,44,96,64,14,1,88,133,5,44.814479638,250.19909502
Région,11 - Gaspésie-Îles-de-la-Madeleine,21,8,374,523,468,55,10,667,782,23,50.265700483,308.81435473
Région,12 - Chaudière-Appalaches,32,16,1062,1520,959,160,44,1700,2049,94,48.846625767,288.34889304
Région,13 - Laval,40,24,761,1320,900,108,683,1452,1701,105,47.759911196,251.77957501
Région,14 - Lanaudière,44,24,1155,1832,1402,211,136,2109,2559,166,46.935732648,271.36139674
Région,15 - Laurentides,34,21,1305,2397,1563,213,164,2568,2965,155,47.806976324,275.44496656
Région,16 - Montérégie,133,70,2782,5254,3294,349,676,5477,6405,298,47.810385457,274.14223195
Région,17 - Centre-du-Québec,46,15,686,1231,826,107,55,1277,1634,62,48.985228444,287.24905531
Région,Région inconnue,1,0,38,41,20,6,5,47,59,7,48.424528302,306.96226415
