Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,752,389,17874,35676,20681,2698,6060,34085,43985,1821,48.91017036,285.05447675
Situation familiale,Couples sans enfants,68,24,555,885,1329,119,401,1629,1351,7,54.077181208,312.36677852
Situation familiale,Familles monoparentales,27,30,210,623,694,37,256,1378,243,7,45.173349784,227.91548427
Situation familiale,Couples avec enfants,29,15,107,228,389,24,287,317,475,5,46.78030303,231.85227273
Situation maritale,Adultes seuls,779,419,18084,36299,21375,2735,6316,35463,44228,1828,48.834159441,283.89220866
Situation maritale,Adultes avec conjoint à l’AFDR,67,17,288,631,1173,91,518,1127,1140,7,53.183061315,289.06528452
Situation maritale,Adultes avec conjoint au PRB,21,16,292,329,322,28,80,510,498,0,52.236111111,318.31150794
Situation maritale,Adultes avec conjoint hors Assistance sociale,9,6,82,153,223,24,90,309,188,5,50.261569416,278.2917505
Sexe,Hommes,500,218,10050,22218,11496,1572,3740,0,46054,1170,47.815586051,274.72056716
Sexe,Femmes,376,240,8696,15194,11597,1306,3264,37409,0,670,50.46229517,296.34988906
Âge,Moins de 20 ans,0,0,0,0,0,193,12,70,123,193,18.512953368,11.549222798
Âge,De 20 à 24 ans,9,6,449,624,179,380,109,600,1047,1647,23.189435337,67.975713418
Âge,De 25 à 29 ans,36,27,2191,2623,1020,64,411,2161,3800,0,27.071967791,108.36503942
Âge,De 30 à 34 ans,47,34,2463,2638,1244,77,426,2455,4048,0,31.999538674,157.57696448
Âge,De 35 à 39 ans,73,45,2128,2915,1215,97,517,2466,4007,0,37.070909934,202.46717133
Âge,De 40 à 44 ans,83,32,2137,3749,1640,131,596,3074,4698,0,42.128538343,243.90105507
Âge,De 45 à 49 ans,87,56,2154,4216,2048,230,729,3808,4983,0,47.039130929,280.03241952
Âge,De 50 à 54 ans,109,50,2013,4604,2927,305,946,4774,5234,0,52.149080735,317.98691047
Âge,55 ans et plus,432,208,5211,16043,12820,1401,3258,18001,18114,0,60.246324242,362.81088191
Âge,35 ans et moins,104,73,5558,6373,2680,732,1034,5754,9766,1840,29.239368557,129.57731959
Âge,36 ans et plus,772,385,13188,31039,20413,2146,5970,31655,36288,0,53.516153246,319.78414259
Scolarité,Primaire,79,58,3266,2249,1680,194,667,3282,4244,351,46.450571353,292.80653734
Scolarité,Secondaire I à IV,283,168,3887,13162,8488,553,1479,11770,14771,279,50.406955277,309.20180099
Scolarité,Secondaire V,183,84,762,8253,4789,472,1262,6940,7603,61,52.756308877,280.79955993
Scolarité,Collégiale,47,23,29,3452,1387,181,568,2545,2574,0,52.872045321,261.66067591
Scolarité,Universitaire,41,15,7,2088,734,88,641,1446,1527,0,54.763538513,244.57147662
Scolarité,Inconnue,243,110,10795,8208,6015,1390,2387,11426,15335,1149,44.905123127,268.21594858
Diplôme maximum obtenu,Aucun diplôme,424,249,7517,17311,11327,859,2779,16735,20952,659,49.802876323,303.18528936
Diplôme maximum obtenu,Secondaire - DES,109,50,314,6025,2925,306,669,4673,5056,29,51.749614554,271.83523486
Diplôme maximum obtenu,Secondaire - DEP,24,12,79,1500,1078,102,101,1358,1437,3,55.722719141,303.88264758
Diplôme maximum obtenu,Secondaire - ASP,3,4,12,140,99,4,17,101,161,0,55.538167939,305.75572519
Diplôme maximum obtenu,Collégial - AEC,8,4,0,438,259,34,70,383,360,0,54.117092867,248.30955585
Diplôme maximum obtenu,Collégial - DEC général,8,3,6,728,198,20,107,463,500,0,53.168224299,264.41640706
Diplôme maximum obtenu,Collégial - DEC professionnel,8,9,5,733,299,43,95,587,510,0,53.596171376,234.08295351
Diplôme maximum obtenu,Universitaire - Certificat,2,1,0,252,86,12,57,181,172,0,53.733711048,242.11048159
Diplôme maximum obtenu,Universitaire - Baccalauréat,12,5,4,832,267,41,233,599,562,0,54.701119724,230.35572782
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,6,2,0,137,57,10,58,107,105,0,56.443396226,213.69811321
Diplôme maximum obtenu,Inconnu,272,119,10809,9316,6498,1447,2818,12222,16239,1149,45.483538878,268.56811075
Durée cumulative,Premier mois,0,0,0,0,0,7,1,3,4,7,18.142857143,1
Durée cumulative,De 2 à 5 mois,0,0,0,0,0,44,4,18,26,39,22.068181818,3.6818181818
Durée cumulative,De 6 à 11 mois,0,0,0,0,0,60,2,28,32,46,26.816666667,8.3833333333
Durée cumulative,De 12 à 23 mois,0,0,0,2,1,131,8,50,84,103,27.791044776,16.850746269
Durée cumulative,De 24 à 47 mois,1,1,5,19,21,283,26,145,185,214,31.693939394,36.324242424
Durée cumulative,De 48 à 119 mois,98,56,2114,3973,2260,637,1267,3618,5520,1431,34.860472751,92.669402495
Durée cumulative,120 mois et plus,777,401,16627,33418,20811,1716,5696,33547,40203,0,50.907091525,310.18852881
Types de diagnostics,Visuel,876,0,0,0,0,0,142,376,500,9,51.101598174,296.45776256
Types de diagnostics,Auditif et de la parole,0,458,0,0,0,0,77,240,218,6,49.631004367,274.95851528
Types de diagnostics,Intellectuel et d'apprentissage,0,0,18746,0,0,0,897,8696,10050,449,44.526192254,303.60588926
Types de diagnostics,Santé mentale,0,0,0,37412,0,0,3310,15194,22218,624,49.160937667,280.74294344
Types de diagnostics,Physique,0,0,0,0,23093,0,2363,11597,11496,179,52.482830295,285.67981639
Types de diagnostics,Autres,0,0,0,0,0,2878,215,1306,1572,573,47.416261293,194.84051425
Région,01 - Bas-Saint-Laurent,17,9,699,1099,748,85,14,1160,1497,53,50.385773429,304.52088822
Région,02 - Saguenay-Lac-Saint-Jean,28,17,849,1307,985,116,23,1530,1772,74,49.121138704,303.49273168
Région,03 - Capitale-Nationale,70,27,1436,3360,1605,250,228,2927,3821,124,49.912863071,300.45361589
Région,04 - Mauricie,35,18,950,1832,1089,116,67,1858,2182,67,49.706435644,302.54034653
Région,05 - Estrie,60,31,1524,2613,1641,224,232,2724,3369,126,49.02494666,287.50681109
Région,06 - Montréal,231,139,3490,10445,5616,636,4491,8838,11719,385,49.841367904,281.15634577
Région,07 - Outaouais,45,24,893,1701,1109,180,194,1843,2109,78,48.938512146,275.7229251
Région,08 - Abitibi-Témiscamingue,17,8,422,552,429,62,7,692,798,32,49.524832215,302.37516779
Région,09 - Côte-Nord,11,5,229,317,232,28,7,358,464,14,49.261557178,310.986618
Région,10 - Nord-du-Québec,3,0,45,94,68,14,1,90,134,4,44.982142857,251.55357143
Région,11 - Gaspésie-Îles-de-la-Madeleine,20,8,379,532,484,54,10,678,799,29,50.211238998,308.36492891
Région,12 - Chaudière-Appalaches,32,16,1083,1508,973,158,41,1713,2057,92,48.914854111,289.05623342
Région,13 - Laval,40,23,757,1304,907,105,667,1439,1697,111,47.685586735,251.77295918
Région,14 - Lanaudière,49,22,1141,1824,1401,199,131,2111,2525,159,47.041415013,272.36000863
Région,15 - Laurentides,36,24,1310,2388,1597,210,164,2586,2979,138,48.011859838,276.06612758
Région,16 - Montérégie,135,71,2804,5253,3356,328,667,5515,6432,289,47.887000921,274.87762618
Région,17 - Centre-du-Québec,46,15,696,1244,832,108,55,1304,1637,59,49.100306018,286.44304658
Région,Région inconnue,1,1,39,39,21,5,5,43,63,6,48.933962264,314.73584906
