Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Scolarité,Collégiale,47,23,28,3453,1390,177,567,2547,2571,0,52.890191481,261.82590856
Scolarité,Universitaire,41,14,7,2094,743,91,632,1457,1533,0,54.755518395,244.62541806
Scolarité,Inconnue,244,112,10886,8248,6098,1355,2376,11540,15403,1129,45.029729429,268.87521805
Diplôme maximum obtenu,Aucun diplôme,421,255,7505,17367,11455,848,2777,16863,20988,645,49.889355631,303.41533909
Diplôme maximum obtenu,Secondaire - DES,108,48,314,6012,2946,303,665,4670,5061,29,51.746480321,271.52748947
Diplôme maximum obtenu,Secondaire - DEP,25,12,80,1520,1077,102,107,1372,1444,3,55.637073864,303.10724432
Diplôme maximum obtenu,Secondaire - ASP,4,4,12,144,101,4,17,108,161,0,55.505576208,302.82156134
Diplôme maximum obtenu,Collégial - AEC,8,4,0,439,264,33,70,383,365,0,54.124331551,249.30481283
Diplôme maximum obtenu,Collégial - DEC général,8,3,6,729,199,22,108,463,504,0,53.097207859,263.04136505
Diplôme maximum obtenu,Collégial - DEC professionnel,9,9,5,736,293,42,95,589,505,0,53.489031079,234.72394881
Diplôme maximum obtenu,Universitaire - Certificat,2,1,0,250,88,14,55,183,172,0,53.966197183,243.65915493
Diplôme maximum obtenu,Universitaire - Baccalauréat,12,5,4,834,270,40,227,600,565,0,54.745922747,231.39914163
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,6,1,0,136,57,10,57,105,105,0,56.338095238,212.12857143
Diplôme maximum obtenu,Inconnu,272,121,10899,9362,6590,1411,2807,12352,16303,1129,45.605304484,269.17759553
Durée cumulative,Premier mois,0,0,0,0,0,7,0,4,3,6,22.857142857,1
Durée cumulative,De 2 à 5 mois,0,0,0,0,0,38,1,15,23,31,24.710526316,3.2894736842
Durée cumulative,De 6 à 11 mois,0,0,0,0,0,65,2,23,42,48,27.415384615,8.7076923077
Durée cumulative,De 12 à 23 mois,0,0,2,2,4,110,8,47,71,84,29.686440678,17.305084746
Durée cumulative,De 24 à 47 mois,1,0,3,23,24,283,25,145,189,216,31.655688623,36.359281437
Durée cumulative,De 48 à 119 mois,93,58,2118,3992,2294,603,1245,3612,5546,1421,34.935466259,92.650141952
Durée cumulative,120 mois et plus,781,405,16702,33512,21018,1723,5704,33842,40299,0,50.964392172,310.35435184
Types de diagnostics,Visuel,875,0,0,0,0,0,137,378,497,9,51.112,297.39771429
Types de diagnostics,Auditif et de la parole,0,463,0,0,0,0,76,242,221,6,49.695464363,274.94168467
Types de diagnostics,Intellectuel et d'apprentissage,0,0,18825,0,0,0,877,8735,10090,448,44.604515272,304.41545817
Types de diagnostics,Santé mentale,0,0,0,37529,0,0,3308,15328,22201,646,49.197713768,280.7162461
Types de diagnostics,Physique,0,0,0,0,23340,0,2380,11714,11626,180,52.520308483,285.26298201
Types de diagnostics,Autres,0,0,0,0,0,2829,207,1291,1538,517,48.02757158,198.71898197
Région,01 - Bas-Saint-Laurent,17,9,699,1112,758,81,11,1183,1493,52,50.500747384,304.79559043
Région,02 - Saguenay-Lac-Saint-Jean,28,18,860,1313,1003,113,21,1544,1791,80,49.12053973,303.35652174
Région,03 - Capitale-Nationale,72,28,1443,3377,1605,253,225,2950,3828,111,49.962820891,301.07539097
Région,04 - Mauricie,35,18,954,1826,1109,112,67,1875,2179,65,49.798470646,303.08954119
Région,05 - Estrie,59,33,1534,2622,1668,214,231,2746,3384,133,49.08319739,287.5324633
Région,06 - Montréal,235,142,3502,10510,5693,627,4500,8947,11762,377,49.886715921,281.14008402
Région,07 - Outaouais,45,23,905,1694,1118,176,194,1856,2105,82,49.001262307,276.15349659
Région,08 - Abitibi-Témiscamingue,17,8,428,551,436,64,7,699,805,29,49.571808511,301.59109043
Région,09 - Côte-Nord,11,5,229,323,246,28,7,368,474,13,49.314726841,310.04275534
Région,10 - Nord-du-Québec,3,0,43,96,71,15,1,90,138,4,45.083333333,250.72807018
Région,11 - Gaspésie-Îles-de-la-Madeleine,20,8,381,535,487,54,10,680,805,26,50.316498316,309.26936027
Région,12 - Chaudière-Appalaches,32,15,1091,1508,969,154,40,1718,2051,80,49.040859644,290.58079066
Région,13 - Laval,38,23,769,1291,909,104,657,1431,1703,111,47.823548181,253.25239311
Région,14 - Lanaudière,50,23,1145,1826,1411,197,130,2121,2531,156,47.165520206,272.78525365
Région,15 - Laurentides,37,22,1308,2396,1619,197,159,2589,2990,134,48.122064886,275.73597419
Région,16 - Montérégie,129,72,2789,5254,3379,324,665,5519,6428,282,47.950447811,274.98116682
Région,17 - Centre-du-Québec,46,15,703,1254,839,110,55,1330,1637,65,49.184698349,286.74755645
Région,Région inconnue,1,1,42,41,20,6,5,42,69,6,48.711711712,313.3963964
