Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,754,391,17961,35782,20928,2651,6045,34378,44089,1786,48.989906585,285.35723298
Situation familiale,Couples sans enfants,68,26,550,911,1345,119,412,1641,1378,7,54.098376946,311.2696257
Situation familiale,Familles monoparentales,26,31,209,613,680,35,247,1353,241,9,44.898368883,227.11982434
Situation familiale,Couples avec enfants,27,15,105,223,387,24,281,316,465,4,46.690140845,231.08578745
Situation maritale,Adultes seuls,780,422,18170,36395,21608,2686,6292,35731,44330,1795,48.908444811,284.19773673
Situation maritale,Adultes avec conjoint à l’AFDR,65,18,286,650,1201,95,525,1158,1157,7,53.271706263,289.14298056
Situation maritale,Adultes avec conjoint au PRB,21,17,292,338,332,26,84,520,506,0,52.06042885,314.97953216
Situation maritale,Adultes avec conjoint hors Assistance sociale,9,6,77,146,199,22,84,279,180,4,50.217864924,278.13943355
Sexe,Hommes,497,221,10090,22201,11626,1538,3721,0,46173,1148,47.875100167,274.8106036
Sexe,Femmes,378,242,8735,15328,11714,1291,3264,37688,0,658,50.544205052,296.76623859
Âge,Moins de 20 ans,0,0,0,0,0,171,9,57,114,171,18.49122807,11.81871345
Âge,De 20 à 24 ans,9,6,448,646,180,346,104,601,1034,1635,23.216513761,68.344342508
Âge,De 25 à 29 ans,35,28,2194,2596,1026,57,411,2159,3777,0,27.070923181,108.28925202
Âge,De 30 à 34 ans,45,32,2446,2591,1247,76,400,2419,4018,0,31.986173683,157.34146341
Âge,De 35 à 39 ans,74,46,2125,2925,1208,102,528,2464,4016,0,37.07808642,202.17824074
Âge,De 40 à 44 ans,83,34,2136,3757,1644,130,581,3084,4700,0,42.126798561,243.64773895
Âge,De 45 à 49 ans,85,54,2162,4185,2057,225,729,3810,4958,0,47.026231752,280.29892792
Âge,De 50 à 54 ans,109,51,2018,4637,2946,304,946,4810,5255,0,52.127868852,317.47958271
Âge,55 ans et plus,435,212,5296,16192,13032,1418,3277,18284,18301,0,60.20401804,362.01224546
Âge,35 ans et moins,107,76,5540,6313,2692,667,1015,5717,9678,1806,29.247742774,129.52198766
Âge,36 ans et plus,768,387,13285,31216,20648,2162,5970,31971,36495,0,53.53281921,319.56540473
Scolarité,Primaire,76,59,3255,2236,1703,191,660,3286,4234,335,46.665957447,294.79148936
Scolarité,Secondaire I à IV,283,172,3883,13239,8574,539,1488,11871,14819,273,50.463469464,309.05856126
Scolarité,Secondaire V,184,83,766,8259,4832,476,1262,6987,7613,69,52.739863014,280.27335616
