Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,741,382,17650,35390,20191,2934,6138,33568,43720,2008,48.682809751,283.58831901
Situation familiale,Couples sans enfants,62,27,550,882,1315,110,423,1615,1331,7,54.067209776,311.36693822
Situation familiale,Familles monoparentales,29,31,209,590,673,42,239,1335,239,3,45.084498094,227.88754765
Situation familiale,Couples avec enfants,29,13,113,216,368,21,277,309,451,4,46.447368421,230.02763158
Situation maritale,Adultes seuls,770,413,17859,35980,20864,2976,6377,34903,43959,2011,48.610991352,282.47659202
Situation maritale,Adultes avec conjoint à l’AFDR,61,15,275,583,1093,84,511,1040,1071,6,53.216011369,287.84130744
Situation maritale,Adultes avec conjoint au PRB,21,18,290,338,313,26,83,509,497,0,52.445328032,318.74254473
Situation maritale,Adultes avec conjoint hors Assistance sociale,9,7,98,177,277,21,106,375,214,5,50.056027165,278.13242784
Sexe,Hommes,491,217,9929,22148,11226,1730,3782,0,45741,1325,47.56290855,273.47320784
Sexe,Femmes,370,236,8593,14930,11321,1377,3295,36827,0,697,50.304586309,294.88796264
Âge,Moins de 20 ans,0,0,0,1,0,323,26,113,211,324,18.484567901,11.811728395
Âge,De 20 à 24 ans,5,3,417,585,160,528,119,584,1114,1698,23.061248528,66.160777385
Âge,De 25 à 29 ans,34,26,2157,2684,944,65,398,2146,3764,0,27.061590525,108.22199662
Âge,De 30 à 34 ans,50,36,2491,2711,1287,84,450,2516,4143,0,31.992941883,157.9186064
Âge,De 35 à 39 ans,71,48,2156,2892,1208,89,510,2440,4024,0,37.055383663,202.62917698
Âge,De 40 à 44 ans,85,34,2100,3686,1601,136,616,3027,4615,0,42.090813923,243.95773358
Âge,De 45 à 49 ans,87,53,2158,4337,2076,225,735,3811,5125,0,47.021486124,280.56087735
Âge,De 50 à 54 ans,108,51,1996,4564,2808,300,931,4674,5153,0,52.133407958,318.08619111
Âge,55 ans et plus,421,202,5047,15618,12463,1357,3292,17516,17592,0,60.280762219,363.29019027
Âge,35 ans et moins,96,72,5502,6518,2639,1014,1078,5818,10023,2022,29.156745155,128.77652926
Âge,36 ans et plus,765,381,13020,30560,19908,2093,5999,31009,35718,0,53.445681658,319.64314296
Scolarité,Primaire,80,59,3254,2283,1630,232,665,3262,4276,366,45.880206951,287.60135314
Scolarité,Secondaire I à IV,278,164,3885,12994,8243,586,1505,11522,14628,310,50.235372849,308.46378585
Scolarité,Secondaire V,181,82,756,8207,4706,469,1274,6838,7563,54,52.661204083,280.6794667
Scolarité,Collégiale,49,24,30,3434,1384,185,567,2541,2565,4,52.916764591,261.57226792
Scolarité,Universitaire,38,18,7,2044,729,90,646,1434,1492,0,54.71189337,244.34654819
Scolarité,Inconnue,235,106,10590,8116,5855,1545,2420,11230,15217,1288,44.617083223,266.26456687
Diplôme maximum obtenu,Aucun diplôme,421,245,7499,17159,10992,930,2804,16405,20841,699,49.529372282,301.53726575
Diplôme maximum obtenu,Secondaire - DES,107,50,312,6020,2901,303,679,4638,5055,30,51.695759827,271.68379243
Diplôme maximum obtenu,Secondaire - DEP,24,11,78,1480,1068,102,108,1353,1410,2,55.835323923,304.16720955
Diplôme maximum obtenu,Secondaire - ASP,3,4,13,133,91,4,15,100,148,0,55.608870968,309.1733871
Diplôme maximum obtenu,Collégial - AEC,8,4,1,445,255,36,71,383,366,0,54.110814419,248.78504673
Diplôme maximum obtenu,Collégial - DEC général,8,3,7,721,203,20,107,463,499,0,53.253638254,265.48544699
Diplôme maximum obtenu,Collégial - DEC professionnel,8,9,4,746,301,45,96,603,510,2,53.643306379,234.34770889
Diplôme maximum obtenu,Universitaire - Certificat,2,1,0,244,83,11,58,170,171,0,53.580645161,243.57184751
Diplôme maximum obtenu,Universitaire - Baccalauréat,11,6,4,818,267,42,235,595,553,0,54.661149826,229.45818815
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,5,2,0,129,56,10,57,105,97,0,56.371287129,214.49009901
Diplôme maximum obtenu,Inconnu,264,118,10604,9183,6330,1604,2847,12012,16091,1289,45.203252322,266.69149201
Durée cumulative,Premier mois,0,0,0,0,0,13,1,4,9,13,18,1
Durée cumulative,De 2 à 5 mois,0,0,0,0,0,61,7,22,39,56,21.163934426,3.4918032787
Durée cumulative,De 6 à 11 mois,0,0,0,1,0,111,10,49,63,100,21.991071429,8.6428571429
Durée cumulative,De 12 à 23 mois,0,0,0,1,3,200,11,72,132,162,26.401960784,17.598039216
Durée cumulative,De 24 à 47 mois,1,0,6,20,18,327,26,161,211,263,29.782258065,36.478494624
Durée cumulative,De 48 à 119 mois,92,56,2040,3961,2215,722,1320,3591,5495,1428,34.85075941,92.967642527
Durée cumulative,120 mois et plus,768,397,16476,33095,20311,1673,5702,32928,39792,0,50.756806931,309.48458471
Types de diagnostics,Visuel,861,0,0,0,0,0,139,370,491,5,51.144018583,298.42160279
Types de diagnostics,Auditif et de la parole,0,453,0,0,0,0,83,236,217,3,49.66004415,273.22516556
Types de diagnostics,Intellectuel et d'apprentissage,0,0,18522,0,0,0,921,8593,9929,417,44.44973545,302.89709535
Types de diagnostics,Santé mentale,0,0,0,37078,0,0,3307,14930,22148,586,48.988214035,280.0523491
Types de diagnostics,Physique,0,0,0,0,22547,0,2386,11321,11226,160,52.455271211,285.51310596
Types de diagnostics,Autres,0,0,0,0,0,3107,241,1377,1730,851,44.808175089,179.13099453
Région,01 - Bas-Saint-Laurent,16,8,693,1091,717,93,17,1146,1472,61,50.090145149,301.3697479
Région,02 - Saguenay-Lac-Saint-Jean,29,13,829,1277,981,125,23,1505,1749,87,48.954517517,301.06177013
Région,03 - Capitale-Nationale,68,24,1415,3334,1581,255,228,2891,3786,137,49.779391942,299.61389846
Région,04 - Mauricie,34,19,941,1807,1059,120,69,1822,2158,70,49.395226131,302.19396985
Région,05 - Estrie,58,30,1503,2585,1592,232,237,2668,3332,129,48.775166667,286.51066667
Région,06 - Montréal,226,144,3469,10264,5470,676,4487,8652,11597,401,49.646698602,280.23136945
Région,07 - Outaouais,46,21,882,1701,1083,185,197,1816,2102,90,48.760336907,274.64675855
Région,08 - Abitibi-Témiscamingue,17,8,421,541,411,67,9,674,791,31,49.307167235,301.09283276
Région,09 - Côte-Nord,10,5,221,306,220,31,6,343,450,15,48.867591425,306.87137453
Région,10 - Nord-du-Québec,3,0,43,93,67,14,1,93,127,5,44.668181818,248.91818182
Région,11 - Gaspésie-Îles-de-la-Madeleine,19,8,370,521,460,57,10,659,776,29,50.117073171,307.00766551
Région,12 - Chaudière-Appalaches,32,16,1059,1518,954,170,45,1699,2050,111,48.594291811,286.51533742
Région,13 - Laval,41,25,764,1315,893,123,701,1451,1710,108,47.720341664,250.35210376
Région,14 - Lanaudière,45,23,1157,1844,1393,228,139,2112,2578,179,46.895095949,271.29808102
Région,15 - Laurentides,37,21,1282,2380,1548,239,166,2533,2974,168,47.635917923,273.99092065
Région,16 - Montérégie,132,74,2762,5240,3268,379,685,5452,6403,327,47.662336567,272.98245466
Région,17 - Centre-du-Québec,47,14,672,1222,826,109,53,1266,1624,69,48.934948097,287.68961938
Région,Région inconnue,1,0,39,39,24,4,4,45,62,5,49.196261682,310.13084112
