Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,86711,6021,258,0,25364,791,33024,3272,13634,41961,77184,11358,64970,43.574040035,118.27416174
Situation familiale,Couples sans enfants,7357,135,57,0,4815,88,5370,994,2559,6218,6234,541,6482,50.14214584,115.76895278
Situation familiale,Familles monoparentales,10719,855,7730,1121,572,84,3076,741,4182,18926,2155,1371,10056,38.068640008,101.84768275
Situation familiale,Couples avec enfants,14280,138,255,265,803,39,8092,1163,3237,7972,7808,658,9020,39.569581749,73.083903676
Situation familiale,Conjoint d'étudiant,47,4,5,2,7,1,1,12,28,36,30,1,42,38.727272727,66.106060606
Sexe,Hommes,71926,3481,391,178,17018,417,29916,2252,10472,0,93411,7648,52249,42.850199655,109.35885495
Sexe,Femmes,47188,3672,7914,1210,14543,586,19647,3930,13168,75113,0,6281,38321,43.172393594,114.7962137
Âge,Moins de 20 ans,1508,146,161,0,0,3,1134,120,34,894,924,1818,1790,18.673267327,9.9240924092
Âge,De 20 à 24 ans,10305,514,1264,5,0,23,6703,535,438,5387,6724,12111,9197,22.236479234,21.043101313
Âge,De 25 à 29 ans,15161,844,2119,57,0,55,8646,567,947,8125,10111,0,12932,27.125246765,35.996600132
Âge,De 30 à 34 ans,18687,914,2168,179,0,54,9200,698,1462,9958,12044,0,14615,32.011044451,52.943141533
Âge,De 35 à 39 ans,17657,889,1556,277,0,85,7542,671,1910,9127,11337,0,12694,36.968969898,71.549843628
Âge,De 40 à 44 ans,17452,999,816,353,0,116,5910,649,2450,8717,11019,0,11142,41.96757195,96.903171869
Âge,De 45 à 49 ans,15660,1045,183,301,0,202,3934,468,2700,7552,9839,0,8684,46.921511126,131.93801392
Âge,De 50 à 54 ans,13838,1085,32,160,0,255,2359,352,3149,6636,8734,0,6537,52.030839297,172.52114509
Âge,55 ans et plus,8846,717,6,56,31561,210,4135,2122,10550,18717,22679,0,12979,61.424775341,203.42455793
Âge,35 ans et moins,49329,2590,6093,291,0,155,27302,2078,3263,26318,32140,13929,41269,28.266481919,40.612952889
Âge,36 ans et plus,69785,4563,2212,1097,31561,848,22261,4104,20377,48795,61271,0,49301,50.815746915,149.58166918
Scolarité,Primaire,4441,319,459,73,2336,40,143,412,2705,3806,3862,574,2683,46.762780386,167.80842462
Scolarité,Secondaire I à IV,35158,2976,3510,569,9531,464,241,202,5100,22262,29946,3379,20189,43.312289304,176.14928747
Scolarité,Secondaire V,17477,1994,1357,340,7083,259,519,267,4750,12938,15572,831,12206,46.917642932,151.86141705
Scolarité,Collégiale,5428,749,404,123,2113,91,277,119,2093,4324,4584,139,4175,47.263920072,126.41614279
Scolarité,Universitaire,4619,453,249,88,2028,42,778,499,3224,3491,3988,72,3996,48.773632839,99.909346169
