Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,90698,6199,242,0,25040,776,38098,3320,13007,42063,80892,13175,70909,42.860892196,114.13564312
Situation familiale,Couples sans enfants,7762,143,63,0,4646,85,5486,1126,2429,6326,6373,642,6995,49.166784786,114.16410741
Situation familiale,Familles monoparentales,9797,849,8400,1127,599,95,2971,736,4067,18716,2151,1362,10194,38.017108353,103.22758422
Situation familiale,Couples avec enfants,15047,168,278,269,847,41,8657,1262,3396,8410,8240,748,10837,39.250870871,70.788708709
Situation familiale,Conjoint d'étudiant,43,4,3,2,8,0,1,11,25,26,34,3,40,39.633333333,68.5
Sexe,Hommes,76134,3598,468,178,16905,407,34602,2382,10216,0,97690,9145,58488,42.129982598,104.67350804
Sexe,Femmes,47213,3765,8518,1220,14235,590,20611,4073,12708,75541,0,6785,40487,42.729908262,113.77338134
Âge,Moins de 20 ans,1838,164,168,0,0,5,1439,133,39,973,1202,2175,2147,18.669885057,8.8822988506
Âge,De 20 à 24 ans,11904,547,1265,9,0,30,8308,559,396,5812,7943,13755,11408,22.230098146,18.668266085
Âge,De 25 à 29 ans,16829,864,2317,56,0,54,10383,615,904,8686,11434,0,15419,27.125049702,33.233996024
Âge,De 30 à 34 ans,19543,927,2380,178,0,61,10502,723,1389,10170,12919,0,16510,32.011737191,49.965914505
Âge,De 35 à 39 ans,18069,889,1687,281,0,59,8361,735,1814,9124,11861,0,13889,36.98594234,68.549392423
Âge,De 40 à 44 ans,17546,1082,902,355,0,122,6367,660,2389,8615,11392,0,11913,41.969860549,95.040935673
Âge,De 45 à 49 ans,15215,1091,223,291,0,184,3966,499,2627,7265,9739,0,8753,46.910079981,131.45542225
Âge,De 50 à 54 ans,13584,1082,35,171,0,258,2263,383,3115,6504,8626,0,6440,52.028684732,174.56074025
Âge,55 ans et plus,8819,717,9,57,31140,224,3624,2148,10251,18392,22574,0,12496,61.309061173,207.61883025
Âge,35 ans et moins,53781,2667,6538,281,0,162,32457,2170,3041,27513,35916,15930,48416,28.085055732,37.257248262
Âge,36 ans et plus,69566,4696,2448,1117,31140,835,22756,4285,19883,48028,61774,0,50559,50.656008087,149.8781443
Scolarité,Primaire,4342,312,487,74,2387,41,110,420,2664,3783,3860,581,2616,46.928562083,171.91547822
Scolarité,Secondaire I à IV,34135,3039,3816,571,9519,467,154,197,4957,21990,29557,3410,19651,43.328108328,178.2371234
Scolarité,Secondaire V,16784,2052,1559,361,7086,258,377,259,4686,12675,15425,825,11866,46.925373665,154.15782918
Scolarité,Collégiale,5204,805,430,112,2105,87,159,136,2027,4250,4493,143,4050,47.317854283,128.88848221
Scolarité,Universitaire,4310,487,262,82,2012,38,542,564,3096,3299,3892,60,3761,49.055207899,104.96439994
Scolarité,Inconnue,58572,668,2432,198,8031,106,53871,4879,5494,29544,40463,10911,57031,38.087191281,30.069350208
Diplôme maximum obtenu,Aucun diplôme,41395,3530,4500,724,13864,547,537,722,9663,28325,36235,4165,23930,44.318138166,177.15394981
Diplôme maximum obtenu,Secondaire - DES,11961,1655,1210,240,3992,200,99,148,2520,8842,10416,651,8584,45.519420501,141.84619379
Diplôme maximum obtenu,Secondaire - DEP,3491,470,317,71,1570,50,13,21,563,2475,3494,61,2802,47.680348467,161.78505612
Diplôme maximum obtenu,Secondaire - ASP,268,35,11,2,129,4,0,2,39,152,297,2,194,48.710467706,192.97772829
Diplôme maximum obtenu,Collégial - AEC,1048,164,67,30,439,15,14,18,370,838,925,13,890,48.435053885,125.76800908
Diplôme maximum obtenu,Collégial - DEC général,740,128,51,9,333,8,14,18,275,590,679,20,589,47.794326241,128.24822695
Diplôme maximum obtenu,Collégial - DEC professionnel,1017,185,83,25,470,24,18,20,372,954,850,14,844,48.479490022,121.90853659
Diplôme maximum obtenu,Universitaire - Certificat,401,55,19,6,196,7,14,16,223,340,344,2,360,49.549707602,120.4371345
Diplôme maximum obtenu,Universitaire - Baccalauréat,1576,204,104,38,792,8,102,160,1260,1315,1407,13,1353,49.975018369,103.44930198
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,450,47,23,8,216,3,17,114,428,337,410,1,430,50.236947791,86.03480589
Diplôme maximum obtenu,Inconnu,61000,890,2601,245,9139,131,54385,5216,7211,31373,42633,10988,58999,38.622827879,34.67826933
Durée cumulative,Premier mois,2997,105,97,6,161,3,3058,105,38,1133,2236,541,3369,35.196794301,1
Durée cumulative,De 2 à 5 mois,15905,580,620,11,951,14,15336,1384,249,6711,11370,3502,18081,34.932747083,3.4840440241
Durée cumulative,De 6 à 11 mois,17082,611,918,33,1146,19,16086,1066,534,8197,11612,3657,19809,35.450300369,8.2570043919
Durée cumulative,De 12 à 23 mois,20887,841,1562,53,1915,45,16825,2023,1378,10831,14472,4675,25303,35.755206892,17.300201557
Durée cumulative,De 24 à 47 mois,10636,1036,1592,100,2060,75,3259,1433,2264,7145,8354,2263,7250,38.928705078,32.852829215
Durée cumulative,De 48 à 119 mois,20236,1873,2676,351,5514,181,607,444,7703,14439,16392,1292,12714,42.621679478,81.261879277
Durée cumulative,120 mois et plus,35604,2317,1521,844,19393,660,42,0,10758,27085,33254,0,12449,50.862079252,250.88027644
Types de contraintes,Sans contraintes,123347,0,0,0,0,0,50801,4078,12424,47213,76134,13742,79124,38.111668707,86.591647953
Types de contraintes,État de santé,0,7363,0,0,0,0,46,64,747,3765,3598,711,4784,40.014939563,97.524514464
Types de contraintes,Grossesse ou enfant à charge,0,0,8986,0,0,0,1564,344,1217,8518,468,1433,5308,31.449922101,62.731916314
Types de contraintes,Enfant handicapé,0,0,0,1398,0,0,9,12,355,1220,178,9,406,41.871959943,154.48712446
Types de contraintes,Âge,0,0,0,0,31140,0,2784,1947,8060,14235,16905,0,9114,62.961592807,206.90796403
Types de contraintes,Autres,0,0,0,0,0,997,9,10,121,590,407,35,239,46.316950853,199.01805416
Région,01 - Bas-Saint-Laurent,1426,221,108,32,543,29,26,9,33,987,1372,151,960,45.306909708,172.95294616
Région,02 - Saguenay-Lac-Saint-Jean,2300,280,231,45,819,34,38,10,31,1655,2054,190,1563,44.664060394,175.7853869
Région,03 - Capitale-Nationale,5899,563,493,72,1780,78,1248,266,818,3837,5048,614,4540,43.916713562,137.95205402
Région,04 - Mauricie,4045,303,423,67,1190,42,290,61,183,2664,3406,432,2454,43.570181219,173.1431631
