Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,83320,6105,227,0,24368,801,32104,2584,12717,39771,75050,11743,63677,43.312138024,120.98805097
Situation familiale,Couples sans enfants,7100,150,52,0,4528,78,4838,898,2402,5942,5966,568,6211,49.859422237,124.66736648
Situation familiale,Familles monoparentales,9929,883,7780,1095,574,91,2743,667,3979,18237,2115,1357,9915,37.983834513,104.94457547
Situation familiale,Couples avec enfants,14411,168,293,272,838,38,8347,903,3404,8092,7928,739,10632,39.147565543,73.406117353
Situation familiale,Conjoint d'étudiant,39,3,1,2,5,0,0,7,25,24,26,1,28,40.58,79.22
Sexe,Hommes,70055,3490,433,178,16507,422,29547,1761,9993,0,91085,8018,52790,42.564351979,111.3500247
Sexe,Femmes,44744,3819,7920,1191,13806,586,18485,3298,12534,72066,0,6390,37673,42.906710515,118.64055172
Âge,Moins de 20 ans,1649,156,158,0,0,4,1304,101,31,933,1034,1967,1941,18.670564311,8.7503812913
Âge,De 20 à 24 ans,10515,625,1263,9,0,29,7155,411,391,5457,6984,12441,10333,22.242343863,19.148460735
Âge,De 25 à 29 ans,15507,818,2135,46,0,47,9178,448,845,8159,10394,0,14223,27.130868323,34.87306635
Âge,De 30 à 34 ans,17880,935,2258,168,0,58,9216,541,1302,9552,11747,0,15140,32.006479177,52.472698249
Âge,De 35 à 39 ans,16844,899,1496,272,0,67,7396,537,1772,8632,10946,0,12806,36.999080601,71.999182756
Âge,De 40 à 44 ans,16272,1067,817,357,0,119,5423,472,2363,8097,10535,0,10771,41.981805496,100.66471662
Âge,De 45 à 49 ans,14308,1015,190,287,0,191,3338,393,2602,6995,8996,0,7884,46.928772434,138.11525233
Âge,De 50 à 54 ans,13112,1038,28,176,0,274,1907,304,3077,6289,8339,0,5855,52.035274815,181.08579437
Âge,55 ans et plus,8712,756,8,54,30313,219,3115,1852,10144,17952,22110,0,11510,61.215091608,212.90759323
Âge,35 ans et moins,48961,2696,6158,262,0,153,28442,1606,2876,25820,32410,14408,44332,28.120504894,39.113120385
Âge,36 ans et plus,65838,4613,2195,1107,30313,855,19590,3453,19651,46246,58675,0,46131,50.815680369,156.44828013
Scolarité,Primaire,4267,328,448,67,2387,48,82,361,2649,3715,3830,584,2456,47.115440689,176.58568588
Scolarité,Secondaire I à IV,33690,2985,3589,555,9470,481,137,174,4909,21678,29092,3353,18605,43.424758716,180.58272602
Scolarité,Secondaire V,16424,2057,1443,358,7042,251,297,210,4587,12500,15075,795,11251,47.078948323,156.57504986
Scolarité,Collégiale,5106,787,418,106,2053,84,138,112,1978,4177,4377,129,3867,47.416179565,131.61164368
Scolarité,Universitaire,3992,491,246,82,1987,40,408,438,3035,3109,3729,40,3426,49.576191869,110.00263235
Scolarité,Inconnue,51320,661,2209,201,7374,104,46970,3764,5369,26887,34982,9507,50858,38.244128724,32.264655967
Diplôme maximum obtenu,Aucun diplôme,40906,3507,4217,700,13832,563,443,611,9600,27937,35788,4060,22685,44.443970184,179.73727736
Diplôme maximum obtenu,Secondaire - DES,11590,1676,1131,233,3970,202,73,129,2440,8723,10079,655,8161,45.658281034,144.1539198
Diplôme maximum obtenu,Secondaire - DEP,3430,458,283,76,1549,46,8,16,546,2421,3421,72,2626,47.799726121,164.64224581
Diplôme maximum obtenu,Secondaire - ASP,257,34,11,3,127,4,0,0,35,152,284,1,170,48.830275229,196.00229358
Diplôme maximum obtenu,Collégial - AEC,1032,152,67,27,421,13,9,17,359,811,901,9,863,48.473130841,128.17698598
Diplôme maximum obtenu,Collégial - DEC général,712,131,51,10,321,8,11,13,269,574,659,17,524,47.784266018,130.87915653
Diplôme maximum obtenu,Collégial - DEC professionnel,1016,171,85,24,453,22,8,15,353,933,838,16,804,48.482213439,122.30999435
Diplôme maximum obtenu,Universitaire - Certificat,374,47,17,5,191,8,8,12,210,312,330,0,330,50.19470405,128.21806854
Diplôme maximum obtenu,Universitaire - Baccalauréat,1480,210,101,36,773,12,44,139,1251,1283,1329,12,1246,50.333078101,107.43644717
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,418,43,20,9,210,3,18,76,412,302,401,1,385,50.812233286,90.896159317
Diplôme maximum obtenu,Inconnu,53584,880,2370,246,8466,127,47410,4031,7052,28618,37055,9565,52669,38.839584,37.40602683
Durée cumulative,Premier mois,2766,94,89,1,128,2,2751,143,27,1126,1954,627,3080,34.319480519,1
Durée cumulative,De 2 à 5 mois,14428,578,595,9,753,19,14068,941,245,6517,9865,3026,16382,34.856244659,3.5134293737
Durée cumulative,De 6 à 11 mois,13210,596,775,23,959,18,12168,913,522,6440,9141,3048,15581,35.116359669,8.2099351775
Durée cumulative,De 12 à 23 mois,20183,801,1538,55,1896,40,16855,1643,1199,10555,13958,4427,24513,35.864276098,16.508709664
Durée cumulative,De 24 à 47 mois,8354,1000,1358,86,1683,66,1517,872,2107,5874,6673,1963,6830,38.856539412,34.162269865
Durée cumulative,De 48 à 119 mois,20143,1882,2570,352,5412,177,625,547,7494,14382,16154,1317,12163,42.522629028,81.138394027
Durée cumulative,120 mois et plus,35715,2358,1428,843,19482,686,48,0,10933,27172,33340,0,11914,50.900267715,251.07015137
Types de contraintes,Sans contraintes,114799,0,0,0,0,0,44206,3002,12249,44744,70055,12164,71838,38.385203704,92.256056237
Types de contraintes,État de santé,0,7309,0,0,0,0,29,54,758,3819,3490,781,4613,39.866876454,99.873306882
Types de contraintes,Grossesse ou enfant à charge,0,0,8353,0,0,0,1378,293,1146,7920,433,1421,5034,31.249491201,63.022866036
Types de contraintes,Enfant handicapé,0,0,0,1369,0,0,6,9,338,1191,178,9,379,42.035792549,158.05040175
Types de contraintes,Âge,0,0,0,0,30313,0,2406,1691,7918,13806,16507,0,8360,62.865338304,212.01890278
Types de contraintes,Autres,0,0,0,0,0,1008,7,10,118,586,422,33,239,46.535714286,200.05952381
Région,01 - Bas-Saint-Laurent,1422,230,98,34,554,31,16,12,34,995,1374,148,917,45.474883917,175.75474884
Région,02 - Saguenay-Lac-Saint-Jean,2226,288,211,40,828,42,28,9,27,1635,2000,186,1445,44.915268226,180.05997249
Région,03 - Capitale-Nationale,5684,543,454,68,1738,74,1123,242,764,3673,4888,573,4218,44.072655064,142.51921504
Région,04 - Mauricie,3944,326,394,65,1173,42,249,44,175,2597,3347,430,2359,43.628028264,176.46551144
Région,05 - Estrie,5425,620,586,97,1496,53,566,187,699,3729,4548,657,3613,42.914099311,142.32233901
Région,06 - Montréal,56533,1607,2832,443,11916,288,36590,2950,15258,31093,42526,8025,48524,41.225974273,84.401621864
Région,07 - Outaouais,4871,420,582,59,1448,64,735,219,757,3572,3872,576,3156,43.342423428,133.46077378
Région,08 - Abitibi-Témiscamingue,1113,149,107,16,364,11,19,4,15,781,979,100,770,44.275,162.49431818
Région,09 - Côte-Nord,524,49,73,12,214,4,14,10,11,406,470,47,356,45.916666667,178.45319635
Région,10 - Nord-du-Québec,399,20,51,0,99,4,2,0,3,260,313,49,261,43.72425829,137.42233857
Région,11 - Gaspésie-Îles-de-la-Madeleine,788,106,58,18,331,28,1,2,7,592,737,76,552,45.914221219,189.84424379
Région,12 - Chaudière-Appalaches,2509,279,221,52,658,36,237,24,90,1611,2144,216,1812,43.501731025,138.82210386
Région,13 - Laval,4618,247,327,38,1866,28,2373,409,1999,3634,3490,550,3994,45.959573273,88.372683885
Région,14 - Lanaudière,3877,587,488,89,1468,72,714,87,304,3169,3412,469,3267,44.576052272,147.17079471
Région,15 - Laurentides,4813,514,456,114,1682,67,603,96,459,3480,4166,436,3346,44.715406749,145.30277269
Région,16 - Montérégie,12934,1021,1135,196,3717,139,4120,709,1753,8905,10237,1458,9656,43.312245324,122.32018598
Région,17 - Centre-du-Québec,3071,301,277,28,757,24,623,54,166,1912,2546,406,2178,41.935172723,138.48227905
Région,Région inconnue,48,2,3,0,4,1,19,1,6,22,36,6,39,40.344827586,82.637931034
