Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,85034,6112,219,0,24539,793,33276,2755,12778,40276,76421,12121,65434,43.194486576,119.36854418
Situation familiale,Couples sans enfants,7262,146,55,0,4573,78,4975,947,2422,6040,6074,599,6423,49.688129437,121.96598976
Situation familiale,Familles monoparentales,9891,863,7919,1101,568,93,2782,687,3982,18323,2112,1350,9972,37.974896012,104.39314901
Situation familiale,Couples avec enfants,14495,182,312,274,838,36,8345,1001,3424,8152,7985,767,10701,39.169486274,73.027700316
Situation familiale,Conjoint d'étudiant,45,5,2,2,7,0,0,11,27,30,31,1,39,39.885245902,65.360655738
Sexe,Hommes,71476,3487,438,181,16621,420,30520,1913,10059,0,92623,8336,54179,42.449866664,109.78767693
Sexe,Femmes,45251,3821,8069,1196,13904,580,18858,3488,12574,72821,0,6502,38390,42.862402329,117.47012538
Âge,Moins de 20 ans,1715,169,160,0,0,6,1364,104,35,955,1095,2050,2029,18.65902439,8.8185365854
Âge,De 20 à 24 ans,10904,594,1255,9,0,26,7438,446,398,5547,7241,12788,10629,22.25,19.001329371
Âge,De 25 à 29 ans,15763,845,2183,47,0,49,9377,488,846,8268,10619,0,14492,27.12903055,34.561762059
Âge,De 30 à 34 ans,18248,925,2296,179,0,60,9459,582,1325,9687,12021,0,15517,32.006264971,52.013957988
Âge,De 35 à 39 ans,17100,875,1535,272,0,62,7531,569,1785,8692,11152,0,13003,36.998437815,71.392713163
Âge,De 40 à 44 ans,16546,1076,842,358,0,119,5590,511,2368,8229,10712,0,11028,41.987065097,99.747954173
Âge,De 45 à 49 ans,14494,1042,198,284,0,188,3463,429,2594,7060,9146,0,8103,46.924225595,136.31432803
Âge,De 50 à 54 ans,13249,1037,30,173,0,268,1963,333,3096,6358,8399,0,5975,52.031103883,179.63081927
Âge,55 ans et plus,8708,745,8,55,30525,222,3193,1939,10186,18025,22238,0,11793,61.232496337,211.46553908
Âge,35 ans et moins,50116,2690,6251,274,0,154,29237,1738,2908,26217,33268,14838,45408,28.104261579,38.757047995
Âge,36 ans et plus,66611,4618,2256,1103,30525,846,20141,3663,19725,46604,59355,0,47161,50.786955332,154.94382733
Scolarité,Primaire,4329,307,453,70,2400,48,94,380,2661,3736,3871,588,2507,47.077034311,175.41751019
Scolarité,Secondaire I à IV,33946,2997,3650,563,9476,470,141,183,4924,21772,29330,3405,18972,43.352510665,179.500998
Scolarité,Secondaire V,16546,2076,1462,354,7032,257,312,208,4597,12561,15166,798,11419,47.032603599,155.75713204
Scolarité,Collégiale,5130,787,426,105,2076,81,139,116,1998,4201,4404,133,3900,47.408018594,131.17083091
Scolarité,Universitaire,4072,490,252,83,1994,41,418,476,3072,3165,3767,45,3542,49.46999423,108.50778996
Scolarité,Inconnue,52704,651,2264,202,7547,103,48274,4038,5381,27386,36085,9869,52229,38.201020939,31.767515873
Diplôme maximum obtenu,Aucun diplôme,41182,3496,4285,705,13839,557,463,644,9617,28029,36035,4134,23082,44.373563936,178.75978709
Diplôme maximum obtenu,Secondaire - DES,11719,1705,1148,231,3980,199,84,128,2458,8802,10180,651,8321,45.630228638,143.36229059
Diplôme maximum obtenu,Secondaire - DEP,3473,446,286,78,1548,46,10,14,550,2434,3443,68,2666,47.735749532,163.40803131
Diplôme maximum obtenu,Secondaire - ASP,264,34,12,3,128,4,0,0,36,156,289,1,178,48.714606742,193.68764045
Diplôme maximum obtenu,Collégial - AEC,1051,157,70,28,421,13,12,18,361,821,919,10,875,48.382758621,127.20344828
Diplôme maximum obtenu,Collégial - DEC général,725,123,52,9,321,9,12,14,277,577,662,19,542,47.744148507,130.39709443
Diplôme maximum obtenu,Collégial - DEC professionnel,1019,173,84,23,457,23,14,16,354,934,845,16,823,48.46430579,121.95559303
Diplôme maximum obtenu,Universitaire - Certificat,387,50,17,5,194,9,8,14,219,326,336,1,351,50.063444109,124.71903323
Diplôme maximum obtenu,Universitaire - Baccalauréat,1513,209,100,39,778,12,68,147,1256,1302,1349,11,1290,50.167106752,105.53413806
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,433,47,21,8,212,3,19,88,424,310,414,2,413,50.517955801,89.104972376
Diplôme maximum obtenu,Inconnu,54961,868,2432,248,8647,125,48688,4318,7081,29130,38151,9925,54028,38.788454393,36.808965384
Durée cumulative,Premier mois,2923,99,85,3,138,0,2839,199,43,1145,2103,675,3248,34.124384236,0.9996921182
Durée cumulative,De 2 à 5 mois,14509,601,611,9,824,20,14228,947,246,6507,10067,3079,16574,35.013816822,3.5556292989
Durée cumulative,De 6 à 11 mois,14058,609,794,27,970,20,13017,911,516,6785,9693,3219,16478,35.059473237,8.1532346159
Durée cumulative,De 12 à 23 mois,20466,821,1570,51,1984,41,16857,1862,1275,10767,14166,4498,24933,35.95672402,16.801026752
Durée cumulative,De 24 à 47 mois,8726,993,1382,90,1719,62,1773,921,2112,6026,6946,2038,6924,38.728492137,33.856768424
Durée cumulative,De 48 à 119 mois,20324,1831,2621,348,5437,176,619,561,7527,14438,16299,1329,12378,42.517812408,81.060383251
Durée cumulative,120 mois et plus,35721,2354,1444,849,19453,681,45,0,10914,27153,33349,0,12034,50.882400582,250.85098013
Types de contraintes,Sans contraintes,116727,0,0,0,0,0,45412,3250,12270,45251,71476,12619,73577,38.309063027,91.050716629
Types de contraintes,État de santé,0,7308,0,0,0,0,49,57,770,3821,3487,763,4653,39.880268199,98.246852764
Types de contraintes,Grossesse ou enfant à charge,0,0,8507,0,0,0,1425,297,1172,8069,438,1415,5113,31.305865758,62.891736217
Types de contraintes,Enfant handicapé,0,0,0,1377,0,0,6,9,346,1196,181,9,390,41.903413217,157.08351489
Types de contraintes,Âge,0,0,0,0,30525,0,2480,1778,7955,13904,16621,0,8608,62.87973792,210.47289107
Types de contraintes,Autres,0,0,0,0,0,1000,6,10,120,580,420,32,228,46.546,201.082
Région,01 - Bas-Saint-Laurent,1451,206,103,33,564,30,19,11,32,1001,1386,155,953,45.435693339,174.35860913
Région,02 - Saguenay-Lac-Saint-Jean,2288,281,219,39,814,38,27,12,30,1655,2024,200,1484,44.683337864,177.64908943
Région,03 - Capitale-Nationale,5739,564,466,70,1756,72,1157,247,786,3720,4947,570,4322,44.120110765,141.01084574
Région,04 - Mauricie,3944,325,401,63,1187,43,244,50,175,2609,3354,419,2346,43.706355861,176.23125943
Région,05 - Estrie,5469,603,591,102,1519,53,559,205,718,3747,4590,676,3663,42.91099916,141.38287154
Région,06 - Montréal,57864,1658,2914,444,12006,285,37791,3155,15291,31530,43641,8373,49930,41.089076905,82.850327919
Région,07 - Outaouais,4897,428,593,64,1461,64,739,227,759,3607,3900,580,3186,43.302917277,132.55974424
