Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,86996,6104,217,0,24646,800,34723,2967,12819,40857,77906,12545,67355,43.057357931,117.544673
Situation familiale,Couples sans enfants,7532,146,47,0,4601,76,5195,1025,2419,6181,6221,635,6708,49.393726818,118.60836962
Situation familiale,Familles monoparentales,9899,859,8065,1107,573,84,2828,715,4019,18456,2131,1369,10072,37.969009569,103.94695682
Situation familiale,Couples avec enfants,14749,168,288,270,842,38,8484,1100,3400,8261,8094,763,10872,39.162091104,72.16221339
Situation familiale,Conjoint d'étudiant,50,5,2,4,7,0,1,13,31,28,40,2,45,40.161764706,67.176470588
Sexe,Hommes,73157,3520,442,175,16681,417,31775,2100,10095,0,94392,8673,55796,42.312028562,107.93942283
Sexe,Femmes,46069,3762,8177,1206,13988,581,19456,3720,12593,73783,0,6641,39256,42.790073594,116.11154331
Âge,Moins de 20 ans,1768,160,158,0,0,8,1401,105,40,964,1130,2094,2068,18.662368672,8.8328557784
Âge,De 20 à 24 ans,11323,590,1269,9,0,29,7788,478,390,5677,7543,13220,11029,22.235325265,18.755673222
Âge,De 25 à 29 ans,16183,885,2217,50,0,48,9721,544,865,8456,10927,0,14924,27.123923025,34.101171129
Âge,De 30 à 34 ans,18676,923,2301,178,0,58,9746,640,1341,9822,12314,0,15821,32.012332851,51.366010119
Âge,De 35 à 39 ans,17522,846,1575,269,0,68,7808,645,1799,8875,11405,0,13404,36.998126233,70.303106509
Âge,De 40 à 44 ans,16869,1081,851,364,0,111,5789,570,2387,8352,10924,0,11307,41.982153974,98.345455489
Âge,De 45 à 49 ans,14718,1045,209,281,0,190,3622,468,2565,7089,9354,0,8337,46.921790428,134.22988506
Âge,De 50 à 54 ans,13414,1045,31,175,0,266,2049,356,3116,6417,8514,0,6165,52.031076284,178.09805103
Âge,55 ans et plus,8753,707,8,55,30669,220,3307,2014,10185,18131,22281,0,11997,61.261951895,210.41846481
Âge,35 ans et moins,51517,2719,6318,273,0,158,30333,1896,2954,26721,34264,15314,46691,28.084250225,38.173846028
Âge,36 ans et plus,67709,4563,2301,1108,30669,840,20898,3924,19734,47062,60128,0,48361,50.735880213,153.25724415
Scolarité,Primaire,4333,304,465,75,2415,43,98,397,2654,3754,3881,595,2574,47.021741978,173.97354289
Scolarité,Secondaire I à IV,34159,2980,3713,564,9492,475,145,187,4940,21896,29487,3424,19348,43.315143141,178.75910321
Scolarité,Secondaire V,16699,2056,1488,350,7027,256,344,218,4634,12591,15285,815,11607,46.979552303,154.91749175
Scolarité,Collégiale,5172,802,425,109,2086,82,148,124,2000,4218,4458,143,3986,47.360073767,130.18510834
Scolarité,Universitaire,4157,477,254,83,1983,41,464,493,3071,3181,3814,51,3607,49.33452466,107.60829164
Scolarité,Inconnue,54706,663,2274,200,7666,101,50032,4401,5389,28143,37467,10286,53930,38.116613321,31.116034141
Diplôme maximum obtenu,Aucun diplôme,41428,3462,4357,712,13858,552,484,667,9636,28185,36184,4171,23545,44.332877627,177.94525315
Diplôme maximum obtenu,Secondaire - DES,11832,1680,1171,232,3976,200,99,132,2464,8805,10286,660,8432,45.566811587,142.7440155
Diplôme maximum obtenu,Secondaire - DEP,3498,451,295,74,1549,50,14,15,561,2441,3476,62,2722,47.701875951,162.13537266
Diplôme maximum obtenu,Secondaire - ASP,264,38,13,2,130,4,0,1,35,155,296,2,183,48.529933481,191.31485588
Diplôme maximum obtenu,Collégial - AEC,1054,156,70,29,425,13,12,17,363,825,922,12,886,48.352032055,126.29250143
Diplôme maximum obtenu,Collégial - DEC général,728,125,50,10,319,8,13,16,275,579,661,20,558,47.688709677,129.67822581
Diplôme maximum obtenu,Collégial - DEC professionnel,1026,184,86,24,470,23,15,18,361,951,862,14,847,48.50689465,121.3149476
Diplôme maximum obtenu,Universitaire - Certificat,386,52,16,5,191,7,11,14,215,320,337,2,342,49.881278539,124.83561644
Diplôme maximum obtenu,Universitaire - Baccalauréat,1544,200,103,40,775,14,82,149,1252,1301,1375,10,1317,50.062780269,104.87855007
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,426,47,19,8,207,3,20,79,428,306,404,2,405,50.638028169,89.505633803
Diplôme maximum obtenu,Inconnu,57040,887,2439,245,8769,124,50481,4712,7098,29915,39589,10359,55815,38.690406308,36.014545925
Durée cumulative,Premier mois,2840,93,92,1,147,1,2721,244,37,1131,2043,583,3174,34.903591682,1
Durée cumulative,De 2 à 5 mois,14848,607,605,12,858,18,14517,985,251,6564,10384,3351,16948,34.80971206,3.4786405476
Durée cumulative,De 6 à 11 mois,15476,626,826,29,1018,18,14392,976,525,7372,10621,3408,17993,35.153392986,8.1475018063
Durée cumulative,De 12 à 23 mois,20735,818,1547,51,1937,48,16807,1985,1324,10806,14330,4568,25136,35.866207829,17.060550605
Durée cumulative,De 24 à 47 mois,9260,991,1426,93,1840,65,2128,1099,2138,6334,7341,2086,7043,38.870786106,33.555173675
Durée cumulative,De 48 à 119 mois,20385,1816,2647,347,5448,180,622,531,7580,14458,16365,1318,12554,42.508711027,81.079291438
Durée cumulative,120 mois et plus,35682,2331,1476,848,19421,668,44,0,10833,27118,33308,0,12204,50.88051501,250.88769735
Types de contraintes,Sans contraintes,119226,0,0,0,0,0,47202,3592,12339,46069,73157,13091,75879,38.227274252,89.356742657
Types de contraintes,État de santé,0,7282,0,0,0,0,40,59,742,3762,3520,750,4649,39.785361165,97.882861851
Types de contraintes,Grossesse ou enfant à charge,0,0,8619,0,0,0,1420,315,1173,8177,442,1427,5157,31.33785822,63.263603666
Types de contraintes,Enfant handicapé,0,0,0,1381,0,0,7,11,347,1206,175,9,395,41.905865315,156.77552498
Types de contraintes,Âge,0,0,0,0,30669,0,2557,1834,7967,13988,16681,0,8734,62.911245883,209.61061658
Types de contraintes,Autres,0,0,0,0,0,998,5,9,120,581,417,37,238,46.389779559,199.32064128
Région,01 - Bas-Saint-Laurent,1437,220,106,32,566,31,16,13,30,1005,1387,157,974,45.418896321,173.10618729
