Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,86917,5907,269,0,25174,785,33542,3317,13507,41745,77307,11499,64968,43.482033061,117.89208917
Situation familiale,Couples sans enfants,7516,126,70,0,4745,85,5512,1002,2500,6260,6282,572,6633,49.760484771,114.39236166
Situation familiale,Familles monoparentales,10946,798,7568,1124,588,95,3081,727,4220,18954,2165,1354,10037,38.128888678,102.50272267
Situation familiale,Couples avec enfants,14407,143,236,269,839,39,8190,1160,3303,8052,7881,646,9297,39.629008975,73.082909684
Situation familiale,Conjoint d'étudiant,39,6,5,2,7,1,0,10,25,31,29,1,36,38.766666667,71.766666667
Sexe,Hommes,72332,3418,391,179,16928,416,30549,2284,10434,0,93664,7774,52594,42.755605142,108.82495943
Sexe,Femmes,47493,3562,7757,1216,14425,589,19776,3932,13121,75042,0,6298,38377,43.109685243,114.74251752
Âge,Moins de 20 ans,1544,139,158,0,0,2,1159,130,34,880,963,1843,1809,18.680954965,9.8876831253
Âge,De 20 à 24 ans,10451,502,1250,5,0,21,6881,549,434,5418,6811,12229,9382,22.237304767,20.700711424
Âge,De 25 à 29 ans,15398,847,2093,61,0,57,8848,594,940,8192,10264,0,13130,27.124891634,35.69917642
Âge,De 30 à 34 ans,18842,908,2128,175,0,53,9433,692,1442,9968,12138,0,14840,32.011851986,52.332896046
Âge,De 35 à 39 ans,17762,864,1509,276,0,79,7645,675,1897,9130,11360,0,12791,36.972620791,71.274377745
Âge,De 40 à 44 ans,17547,936,797,358,0,116,6015,651,2461,8703,11051,0,11162,41.966740913,96.663814924
Âge,De 45 à 49 ans,15615,1024,175,297,0,203,3974,461,2682,7505,9809,0,8628,46.918447499,131.67973894
Âge,De 50 à 54 ans,13855,1062,32,169,0,264,2344,356,3170,6673,8709,0,6485,52.036276167,172.84949941
Âge,55 ans et plus,8811,698,6,54,31353,210,4026,2108,10495,18573,22559,0,12744,61.404988816,204.41016727
Âge,35 ans et moins,49872,2581,5995,287,0,152,27948,2122,3214,26374,32513,14072,41877,28.2489344,40.134104301
Âge,36 ans et plus,69953,4399,2153,1108,31353,853,22377,4094,20341,48668,61151,0,49094,50.776304647,149.70189129
Scolarité,Primaire,4462,330,465,74,2351,40,142,421,2722,3850,3872,582,2713,46.765863766,167.93369593
Scolarité,Secondaire I à IV,34950,2879,3434,577,9489,460,224,203,5079,22138,29651,3338,19771,43.331846531,176.94873429
Scolarité,Secondaire V,17398,1942,1363,344,7037,263,487,271,4733,12878,15469,802,12048,46.93890006,152.52178361
Scolarité,Collégiale,5426,723,384,121,2099,93,244,126,2089,4300,4546,142,4123,47.277300475,126.98948677
Scolarité,Universitaire,4575,435,237,83,2012,40,747,491,3170,3427,3955,64,3900,48.829720943,101.36223246
Scolarité,Inconnue,53014,671,2265,196,8365,109,48481,4704,5762,28449,36171,9144,48416,39.077777778,33.233782111
Diplôme maximum obtenu,Aucun diplôme,42332,3397,4083,716,13753,535,661,731,9808,28513,36303,4100,24182,44.290807825,175.51402431
Diplôme maximum obtenu,Secondaire - DES,12451,1546,1050,236,3963,211,165,159,2599,9010,10447,617,8672,45.547206661,140.74317726
Diplôme maximum obtenu,Secondaire - DEP,3625,442,260,76,1585,47,33,18,585,2519,3516,52,2804,47.801325601,160.12841756
Diplôme maximum obtenu,Secondaire - ASP,282,32,12,4,137,4,2,2,42,160,311,2,213,49.095541401,187.86836518
Diplôme maximum obtenu,Collégial - AEC,1116,158,78,32,435,15,20,18,394,893,941,14,955,48.250272628,122.03217012
Diplôme maximum obtenu,Collégial - DEC général,768,101,46,13,337,10,26,18,275,601,674,23,584,47.708235294,126.3145098
Diplôme maximum obtenu,Collégial - DEC professionnel,1054,161,73,25,463,28,16,14,387,934,870,15,838,48.66962306,122.36363636
Diplôme maximum obtenu,Universitaire - Certificat,420,61,20,5,189,6,23,17,233,342,359,2,375,49.186875892,116.90442225
Diplôme maximum obtenu,Universitaire - Baccalauréat,1675,173,82,40,786,11,160,156,1265,1354,1413,16,1393,49.616913625,99.785327069
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,456,43,17,4,223,4,32,90,438,343,404,2,427,50.824631861,87.082998661
Diplôme maximum obtenu,Inconnu,55646,866,2427,244,9482,134,49187,4993,7529,30373,38426,9229,50528,39.597566825,37.869184145
Durée cumulative,Premier mois,1010,89,67,0,71,1,1046,29,24,522,716,167,1238,36.591276252,1
Durée cumulative,De 2 à 5 mois,9615,530,485,8,759,23,9826,326,233,4457,6963,2011,11420,36.086865149,3.680910683
Durée cumulative,De 6 à 11 mois,17903,588,895,33,1354,11,16878,1314,559,8266,12518,3685,20784,35.864222479,8.2817070824
Durée cumulative,De 12 à 23 mois,20289,789,1442,68,2018,36,15800,2179,1460,11114,13528,4212,24642,36.558680302,16.975326678
Durée cumulative,De 24 à 47 mois,14660,1010,1652,110,2498,78,6244,2132,2616,9272,10736,2791,7734,38.790783687,32.118102759
Durée cumulative,De 48 à 119 mois,20497,1734,2299,347,5511,187,489,236,7984,14412,16163,1206,12717,42.851349141,81.58891251
Durée cumulative,120 mois et plus,35851,2240,1308,829,19142,669,42,0,10679,26999,33040,0,12436,50.795299722,250.38028615
Types de contraintes,Sans contraintes,119825,0,0,0,0,0,45678,3874,12935,47493,72332,11995,71809,38.582432714,90.219561861
Types de contraintes,État de santé,0,6980,0,0,0,0,50,63,765,3562,3418,641,4452,40.075071633,98.960028653
Types de contraintes,Grossesse ou enfant à charge,0,0,8148,0,0,0,1477,319,1126,7757,391,1408,4786,31.220913108,60.663721159
Types de contraintes,Enfant handicapé,0,0,0,1395,0,0,10,11,359,1216,179,5,410,41.876702509,152.74336918
Types de contraintes,Âge,0,0,0,0,31353,0,3103,1936,8241,14425,16928,0,9296,63.066564603,203.97221956
Types de contraintes,Autres,0,0,0,0,0,1005,7,13,129,589,416,23,218,46.469651741,198.68955224
Région,01 - Bas-Saint-Laurent,1408,220,106,32,519,27,24,7,37,969,1343,133,917,45.325692042,173.85769896
Région,02 - Saguenay-Lac-Saint-Jean,2334,264,214,41,762,34,45,10,38,1635,2014,180,1523,44.586462044,173.2488353
Région,03 - Capitale-Nationale,5926,572,437,75,1789,75,1131,254,896,3915,4959,566,4464,44.192247014,137.59251747
Région,04 - Mauricie,4186,258,387,65,1212,43,245,68,201,2693,3458,431,2491,43.696797269,172.76198992
Région,05 - Estrie,5795,406,551,103,1544,51,559,240,761,3803,4647,635,3670,43.18852071,140.84035503
Région,06 - Montréal,59609,1591,2769,444,12428,270,39111,3604,15530,32575,44536,7921,48333,41.445798913,81.262426891
Région,07 - Outaouais,5013,425,572,59,1466,60,680,266,799,3706,3889,541,3208,43.459776169,131.7124424
Région,08 - Abitibi-Témiscamingue,1190,124,87,20,363,12,35,2,19,818,978,102,798,44.041202673,156.90089087
Région,09 - Côte-Nord,536,38,70,15,207,8,24,5,10,410,464,37,335,45.442791762,169.73569794
Région,10 - Nord-du-Québec,398,18,45,1,101,4,6,0,4,244,323,42,276,43.456790123,136.55908289
Région,11 - Gaspésie-Îles-de-la-Madeleine,784,118,69,15,315,36,4,1,10,593,744,77,574,45.503365744,183.45699327
Région,12 - Chaudière-Appalaches,2561,267,214,48,682,39,177,32,96,1659,2152,214,1784,43.665179743,139.32694831
Région,13 - Laval,4997,220,294,47,2021,36,2565,539,2142,3892,3723,519,4184,46.194878529,85.995797768
Région,14 - Lanaudière,4119,605,482,94,1557,73,802,100,383,3352,3578,433,3504,44.763203463,140.74069264
Région,15 - Laurentides,4944,513,428,109,1733,76,629,155,463,3566,4237,454,3497,44.894527746,142.86120723
Région,16 - Montérégie,13005,1042,1124,204,3906,139,3870,847,1971,9241,10179,1415,9328,43.795056643,122.4545829
Région,17 - Centre-du-Québec,2979,296,296,23,742,22,399,85,192,1949,2409,368,2058,42.361174851,141.45227168
Région,Région inconnue,41,3,3,0,6,0,19,1,3,22,31,4,27,41.79245283,107.98113208
