Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,91206,6250,265,0,25121,774,37882,3395,13407,42600,81016,12755,70092,42.982931012,114.07194053
Situation familiale,Couples sans enfants,7790,138,73,0,4744,86,5657,1067,2482,6394,6437,602,7000,49.399033591,113.03725353
Situation familiale,Familles monoparentales,9876,807,8903,1132,601,99,3124,765,4215,19214,2204,1384,10452,38.037258381,102.01377346
Situation familiale,Couples avec enfants,14900,161,265,262,857,43,8564,1269,3346,8330,8158,686,10250,39.481804949,71.097586123
Situation familiale,Conjoint d'étudiant,36,4,4,2,8,1,0,13,22,29,26,1,35,40,62.381818182
Sexe,Hommes,76173,3588,510,178,16973,419,34408,2407,10416,0,97841,8769,57293,42.279187662,104.8726403
Sexe,Femmes,47635,3772,9000,1218,14358,584,20819,4102,13056,76567,0,6659,40536,42.81788499,112.98957776
Âge,Moins de 20 ans,1727,137,166,0,0,2,1333,133,44,917,1115,2032,2006,18.690944882,9.2854330709
Âge,De 20 à 24 ans,11501,543,1321,7,0,24,7892,600,412,5742,7654,13396,10731,22.222454464,19.51492983
Âge,De 25 à 29 ans,16514,916,2417,54,0,57,10076,625,928,8716,11242,0,14807,27.12581421,33.980859806
Âge,De 30 à 34 ans,19545,941,2502,175,0,52,10457,719,1466,10271,12944,0,16207,32.015593366,50.345552445
Âge,De 35 à 39 ans,18301,872,1828,285,0,65,8392,737,1876,9374,11977,0,13836,36.978830031,68.635099059
Âge,De 40 à 44 ans,17827,1030,980,349,0,125,6525,671,2476,8804,11507,0,11891,41.970557826,94.679631727
Âge,De 45 à 49 ans,15680,1079,242,300,0,197,4186,494,2662,7497,10001,0,8990,46.918790719,129.79906275
Âge,De 50 à 54 ans,13863,1065,44,167,0,266,2418,387,3163,6656,8749,0,6585,52.031223629,172.37857838
Âge,55 ans et plus,8850,777,10,59,31331,215,3948,2143,10445,18590,22652,0,12776,61.351510596,205.36547694
Âge,35 ans et moins,53039,2706,6834,280,0,151,31587,2226,3188,27609,35401,15428,46668,28.163878749,38.132502777
Âge,36 ans et plus,70769,4654,2676,1116,31331,852,23640,4283,20284,48958,62440,0,51161,50.633485341,148.20183486
Scolarité,Primaire,4456,316,513,72,2365,43,133,454,2702,3860,3905,589,2733,46.708692853,168.8962009
Scolarité,Secondaire I à IV,34506,3030,3986,573,9517,458,205,221,5089,22317,29753,3425,20088,43.272248896,176.88563472
Scolarité,Secondaire V,17069,2047,1668,353,7034,272,468,305,4734,12926,15517,832,12176,46.834616602,152.41493513
Scolarité,Collégiale,5374,758,461,115,2113,82,207,130,2085,4350,4553,143,4158,47.21678086,127.07020106
Scolarité,Universitaire,4471,529,290,88,2003,39,679,526,3198,3416,4004,60,3937,48.784366577,101.73355795
Scolarité,Inconnue,57932,680,2592,195,8299,109,53535,4873,5664,29698,40109,10379,54737,38.459294913,31.069892704
