Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,90423,6292,252,0,25140,779,38026,3367,13131,42224,80662,12964,70498,42.930309392,114.06521491
Situation familiale,Couples sans enfants,7855,144,70,0,4692,89,5660,1101,2457,6403,6447,643,7091,49.15385214,112.80536965
Situation familiale,Familles monoparentales,9715,853,8595,1124,597,95,3044,721,4114,18837,2142,1374,10254,38.010105343,102.65127032
Situation familiale,Couples avec enfants,15103,161,261,265,860,42,8751,1249,3364,8428,8264,723,10767,39.29571052,70.524922118
Situation familiale,Conjoint d'étudiant,46,4,3,3,7,0,0,13,27,31,32,2,43,39.968253968,70.888888889
Sexe,Hommes,75882,3625,476,180,16974,410,34640,2388,10279,0,97547,8940,58059,42.205593201,104.5413698
Sexe,Femmes,47260,3829,8705,1212,14322,595,20841,4063,12814,75923,0,6766,40594,42.753684654,113.32611988
Âge,Moins de 20 ans,1817,165,173,0,0,3,1428,130,41,962,1196,2158,2129,18.671918443,8.9198331789
Âge,De 20 à 24 ans,11680,552,1279,7,0,30,8097,571,394,5804,7744,13548,11105,22.232285208,18.810451727
Âge,De 25 à 29 ans,16656,880,2360,56,0,56,10309,614,916,8667,11341,0,15210,27.12230108,33.182327069
Âge,De 30 à 34 ans,19570,914,2418,173,0,56,10570,717,1400,10243,12888,0,16469,32.013834248,49.849076996
Âge,De 35 à 39 ans,18117,907,1748,282,0,59,8389,732,1839,9220,11893,0,13900,36.985175011,68.361293989
Âge,De 40 à 44 ans,17609,1100,928,354,0,124,6506,653,2423,8695,11420,0,11944,41.974347502,94.443201591
Âge,De 45 à 49 ans,15357,1098,228,293,0,193,4057,512,2630,7337,9832,0,8859,46.918224707,130.71530083
Âge,De 50 à 54 ans,13581,1104,39,169,0,261,2331,383,3126,6542,8612,0,6459,52.030684968,173.89184374
Âge,55 ans et plus,8755,734,8,58,31296,223,3794,2139,10324,18453,22621,0,12578,61.332010518,206.65742319
Âge,35 ans et moins,53388,2680,6646,274,0,159,32213,2176,3070,27573,35574,15706,47823,28.1128478,37.330989596
Âge,36 ans et plus,69754,4774,2535,1118,31296,846,23268,4275,20023,48350,61973,0,50830,50.649229988,149.05700534
Scolarité,Primaire,4361,312,484,74,2379,43,116,418,2684,3793,3860,576,2633,46.901999216,171.07866196
Scolarité,Secondaire I à IV,33968,3074,3892,568,9524,456,166,203,5001,22049,29433,3429,19609,43.327454256,178.11425353
Scolarité,Secondaire V,16723,2080,1592,359,7083,264,413,276,4692,12726,15375,821,11858,46.923134408,153.91868617
Scolarité,Collégiale,5232,792,443,113,2109,91,182,133,2035,4261,4519,142,4071,47.270159453,128.22801822
Scolarité,Universitaire,4351,506,283,83,2019,39,600,554,3119,3359,3922,61,3847,48.920752644,103.96882296
Scolarité,Inconnue,58507,690,2487,195,8182,112,54004,4867,5562,29735,40438,10677,56635,38.243783221,30.135593462
Diplôme maximum obtenu,Aucun diplôme,41206,3582,4584,718,13853,537,568,735,9707,28394,36086,4183,23905,44.308591811,176.89990695
Diplôme maximum obtenu,Secondaire - DES,11909,1672,1227,240,3991,208,117,155,2545,8881,10366,644,8551,45.514002182,141.82683016
Diplôme maximum obtenu,Secondaire - DEP,3477,466,323,72,1572,52,18,23,561,2478,3484,57,2775,47.731801409,161.76568266
Diplôme maximum obtenu,Secondaire - ASP,275,33,13,2,133,3,1,2,40,157,302,2,205,48.910675381,192.08496732
Diplôme maximum obtenu,Collégial - AEC,1069,171,74,31,439,17,14,21,375,861,940,15,923,48.269850083,123.59689062
Diplôme maximum obtenu,Collégial - DEC général,728,127,56,11,332,8,14,18,266,600,662,20,577,47.722662441,128.69413629
Diplôme maximum obtenu,Collégial - DEC professionnel,1051,173,90,24,472,22,18,19,374,963,869,15,868,48.44650655,121.92740175
Diplôme maximum obtenu,Universitaire - Certificat,398,54,23,6,198,7,16,18,224,337,349,2,364,49.434402332,119.05830904
Diplôme maximum obtenu,Universitaire - Baccalauréat,1593,216,106,36,795,10,114,161,1272,1329,1427,14,1391,49.781204644,102.13062409
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,455,46,24,8,221,3,20,117,435,339,418,1,444,50.434610304,85.394980185
Diplôme maximum obtenu,Inconnu,60981,914,2661,244,9290,138,54581,5182,7294,31584,42644,10753,58650,38.769224551,34.713639058
Durée cumulative,Premier mois,2721,93,93,1,175,1,2798,76,33,1065,2019,528,3084,35.24156939,1
Durée cumulative,De 2 à 5 mois,15734,568,650,17,941,20,15290,1286,248,6552,11378,3310,17930,35.087283882,3.5533742331
Durée cumulative,De 6 à 11 mois,17509,642,948,24,1198,15,16550,1103,547,8422,11914,3741,20336,35.526308025,8.2704563336
Durée cumulative,De 12 à 23 mois,20487,842,1591,56,1955,38,16441,2044,1405,10857,14112,4517,24969,35.983539589,17.367896191
Durée cumulative,De 24 à 47 mois,11304,1037,1624,104,2132,79,3789,1540,2321,7499,8781,2344,7335,38.908169533,32.677211302
Durée cumulative,De 48 à 119 mois,20008,1905,2715,350,5518,179,570,402,7778,14446,16229,1266,12619,42.67400163,81.408247759
Durée cumulative,120 mois et plus,35379,2367,1560,840,19377,673,43,0,10761,27082,33114,0,12380,50.864359758,250.9125191
Types de contraintes,Sans contraintes,123142,0,0,0,0,0,50871,4075,12442,47260,75882,13497,78598,38.162584658,86.337423462
Types de contraintes,État de santé,0,7454,0,0,0,0,53,67,767,3829,3625,717,4785,40.038636973,98.094177623
