Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,91135,6310,265,0,25117,768,38297,3382,13285,42511,81084,12939,70683,42.919033942,113.8061653
Situation familiale,Couples sans enfants,7859,138,67,0,4728,89,5684,1084,2492,6415,6466,626,7053,49.249126621,112.48303703
Situation familiale,Familles monoparentales,9778,817,8765,1123,600,98,3079,754,4163,19024,2157,1370,10334,38.019404183,102.36018129
Situation familiale,Couples avec enfants,15056,167,272,264,858,42,8711,1267,3354,8415,8244,695,10551,39.395581968,70.629929768
Situation familiale,Conjoint d'étudiant,40,3,4,4,8,0,1,11,25,32,27,1,40,40.084745763,66.355932203
Sexe,Hommes,76318,3635,491,177,16947,410,34829,2394,10357,0,97978,8905,57973,42.205903366,104.42077813
Sexe,Femmes,47550,3800,8882,1214,14364,587,20943,4104,12962,76397,0,6726,40688,42.771980575,112.99472492
Âge,Moins de 20 ans,1788,147,167,0,0,2,1399,126,40,939,1165,2104,2074,18.67918251,9.1658745247
Âge,De 20 à 24 ans,11649,545,1297,7,0,29,8054,590,399,5787,7740,13527,10986,22.22421823,19.062689436
Âge,De 25 à 29 ans,16719,901,2412,57,0,55,10284,632,935,8773,11371,0,15172,27.12673749,33.513850278
Âge,De 30 à 34 ans,19585,937,2465,174,0,53,10585,730,1413,10242,12972,0,16378,32.016024813,49.881235461
Âge,De 35 à 39 ans,18289,888,1796,283,0,57,8488,712,1865,9324,11989,0,13980,36.977760053,68.226012293
Âge,De 40 à 44 ans,17753,1092,951,354,0,122,6568,671,2452,8757,11515,0,11935,41.975187451,94.391771902
Âge,De 45 à 49 ans,15564,1097,235,293,0,196,4149,503,2668,7453,9932,0,8982,46.920851309,129.94903653
Âge,De 50 à 54 ans,13709,1093,41,165,0,264,2376,388,3133,6580,8692,0,6518,52.030709796,173.45580147
Âge,55 ans et plus,8812,735,9,58,31311,219,3869,2146,10414,18542,22602,0,12636,61.344351546,206.04250924
Âge,35 ans et moins,53481,2708,6773,276,0,152,32154,2223,3126,27696,35694,15631,47583,28.137308724,37.614355577
Âge,36 ans et plus,70387,4727,2600,1115,31311,845,23618,4275,20193,48701,62284,0,51078,50.630959139,148.4797315
Scolarité,Primaire,4419,304,494,74,2375,44,131,443,2692,3828,3882,584,2675,46.795979248,170.00428016
Scolarité,Secondaire I à IV,34217,3053,3956,571,9504,458,197,211,5048,22199,29560,3413,19787,43.30027628,177.57642149
Scolarité,Secondaire V,16905,2100,1634,353,7034,258,446,287,4708,12827,15457,824,12041,46.84669778,153.06081177
Scolarité,Collégiale,5335,759,449,114,2118,85,207,126,2072,4315,4545,147,4136,47.22020316,127.54548533
Scolarité,Universitaire,4380,526,286,86,2011,38,636,542,3164,3378,3949,66,3880,48.854647195,103.36276784
Scolarité,Inconnue,58612,693,2554,193,8269,114,54155,4889,5635,29850,40585,10597,56142,38.327308866,30.452502307
Diplôme maximum obtenu,Aucun diplôme,41504,3586,4669,716,13799,538,631,772,9758,28559,36253,4176,24176,44.258717521,176.22094674
Diplôme maximum obtenu,Secondaire - DES,12053,1645,1253,240,3974,203,127,161,2561,8949,10419,647,8651,45.474442379,141.1433292
Diplôme maximum obtenu,Secondaire - DEP,3530,471,325,72,1567,50,22,21,573,2529,3486,56,2800,47.685619285,161.48279302
Diplôme maximum obtenu,Secondaire - ASP,279,30,15,2,136,3,1,2,41,161,304,2,205,48.870967742,193.00430108
Diplôme maximum obtenu,Collégial - AEC,1099,168,82,33,444,15,17,21,387,882,959,16,964,48.187941336,122.93807713
Diplôme maximum obtenu,Collégial - DEC général,735,121,56,11,337,7,15,18,269,605,662,22,572,47.623520126,127.96921863
Diplôme maximum obtenu,Collégial - DEC professionnel,1072,165,88,24,471,22,18,17,384,970,872,14,878,48.467969598,122.18458198
Diplôme maximum obtenu,Universitaire - Certificat,394,64,23,6,194,7,15,18,230,343,345,3,360,49.328488372,118.56540698
Diplôme maximum obtenu,Universitaire - Baccalauréat,1613,222,108,36,792,11,123,165,1291,1345,1437,15,1424,49.695902229,101.08878505
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,463,46,21,8,219,3,26,114,441,343,417,2,443,50.355263158,85.028947368
Diplôme maximum obtenu,Inconnu,61126,917,2733,243,9378,138,54777,5189,7384,31711,42824,10678,58188,38.844958744,34.969893339
Durée cumulative,Premier mois,2177,73,88,0,138,2,2237,63,31,924,1554,402,2478,35.763115416,1
Durée cumulative,De 2 à 5 mois,14514,591,617,18,938,24,14310,1050,239,6051,10651,2902,16702,35.403783978,3.599628787
Durée cumulative,De 6 à 11 mois,18634,604,985,25,1219,13,17568,1192,539,8752,12728,4051,21480,35.330586592,8.2633612663
Durée cumulative,De 12 à 23 mois,20812,856,1617,57,1985,27,16561,2177,1436,11035,14319,4576,25354,36.043622308,17.353711446
Durée cumulative,De 24 à 47 mois,12218,1041,1720,101,2206,74,4504,1648,2445,8002,9358,2464,7503,38.826324885,32.474711982
Durée cumulative,De 48 à 119 mois,20052,1862,2752,349,5523,181,550,368,7868,14523,16196,1236,12686,42.696376835,81.502425209
Durée cumulative,120 mois et plus,35461,2408,1594,841,19302,676,42,0,10761,27110,33172,0,12458,50.837729339,250.75281178
Types de contraintes,Sans contraintes,123868,0,0,0,0,0,51074,4091,12546,47550,76318,13437,78615,38.203700714,86.298301418
Types de contraintes,État de santé,0,7435,0,0,0,0,52,63,789,3800,3635,692,4694,40.028513786,99.329119032
Types de contraintes,Grossesse ou enfant à charge,0,0,9373,0,0,0,1652,368,1296,8882,491,1464,5508,31.542835805,62.641843593
Types de contraintes,Enfant handicapé,0,0,0,1391,0,0,8,11,353,1214,177,7,399,41.907260963,154.90150971
Types de contraintes,Âge,0,0,0,0,31311,0,2978,1952,8207,14364,16947,0,9225,63.003066015,205.4133691
Types de contraintes,Autres,0,0,0,0,0,997,8,13,128,587,410,31,220,46.579739218,201.58375125
Région,01 - Bas-Saint-Laurent,1394,241,124,32,528,29,23,15,33,995,1353,159,965,45.135008518,172.65289608
Région,02 - Saguenay-Lac-Saint-Jean,2292,282,247,44,803,32,46,10,36,1659,2041,193,1551,44.629189189,174.31108108
Région,03 - Capitale-Nationale,5955,604,510,73,1810,72,1283,301,859,3933,5091,616,4631,43.945589539,135.93328901
Région,04 - Mauricie,4111,281,432,65,1206,38,284,69,181,2705,3428,446,2487,43.592206098,172.48622208
Région,05 - Estrie,5687,539,640,109,1521,49,603,254,756,3838,4707,672,3803,42.837682855,138.75810415
Région,06 - Montréal,63341,1667,3189,452,12436,273,42950,3815,15556,33532,47826,9005,54028,40.850647754,77.430861132
Région,07 - Outaouais,5015,413,664,60,1475,62,812,249,786,3726,3963,576,3350,43.269996098,130.5500065
Région,08 - Abitibi-Témiscamingue,1169,145,121,20,363,15,37,2,19,813,1020,103,849,43.951445717,156.0365521
Région,09 - Côte-Nord,536,46,76,12,206,7,34,8,9,408,475,41,351,45.335220838,170.39411099
Région,10 - Nord-du-Québec,383,21,49,1,94,4,6,0,3,241,311,41,268,43.684782609,138.88586957
Région,11 - Gaspésie-Îles-de-la-Madeleine,764,127,76,16,324,29,3,2,8,603,733,79,579,45.625,187.27020958
Région,12 - Chaudière-Appalaches,2581,261,250,44,675,37,230,37,93,1690,2158,224,1850,43.336538462,136.81548857
Région,13 - Laval,5107,234,355,40,1961,36,2801,511,2063,3903,3830,589,4443,45.610112505,83.699857752
Région,14 - Lanaudière,4084,592,540,95,1542,68,817,110,360,3366,3555,457,3548,44.695275249,142.10388672
Région,15 - Laurentides,4868,551,501,114,1730,74,686,155,457,3587,4251,464,3561,44.68206175,141.61775963
Région,16 - Montérégie,13439,1137,1272,192,3897,148,4565,863,1912,9396,10689,1563,10167,43.311874533,118.58994274
Région,17 - Centre-du-Québec,3085,292,324,22,734,22,564,95,183,1974,2505,399,2186,42.008930565,138.5233311
Région,Région inconnue,57,2,3,0,6,2,28,2,5,28,42,4,44,40.657142857,93.657142857
