Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,23299,3394,14903,47021,83030,16240,62243,43.852926929,133.16927974
Situation familiale,Couples sans enfants,4217,1492,2795,6803,6883,636,6672,50.913780506,135.64679234
Situation familiale,Familles monoparentales,2296,814,4199,18957,2285,1315,9757,38.386686753,110.37035119
Situation familiale,Couples avec enfants,9522,1435,3902,9531,9354,830,12565,38.979136881,72.461318507
Situation familiale,Conjoint d'étudiant,1,9,31,34,30,6,29,38.875,85.53125
Sexe,Hommes,23843,2692,11632,0,101582,11037,52431,43.047183556,121.30468981
Sexe,Femmes,15492,4452,14198,82346,0,7990,38835,43.488730479,128.37636315
Âge,Moins de 20 ans,1200,163,139,1437,1988,3425,3381,18.606715328,9.5967883212
Âge,De 20 à 24 ans,5623,651,698,6553,9049,15602,9899,22.081720292,26.083002179
Âge,De 25 à 29 ans,7614,709,934,8538,10354,0,13381,27.125132331,39.63651281
Âge,De 30 à 34 ans,7803,805,1396,9826,11571,0,14261,31.982333972,57.717016404
Âge,De 35 à 39 ans,6088,847,1920,9014,10917,0,12214,37.000903116,79.769504792
Âge,De 40 à 44 ans,4263,747,2528,8688,10876,0,10322,41.972704968,111.16780822
Âge,De 45 à 49 ans,2571,591,2893,7915,9542,0,7712,46.941227015,148.25932291
Âge,De 50 à 54 ans,1527,399,3534,7718,9762,0,6269,52.07728833,189.36613272
Âge,55 ans et plus,2646,2232,11788,22657,27523,0,13827,60.99119171,215.36462734
Âge,35 ans et moins,23578,2514,3510,28138,35150,19027,43512,27.557214638,42.55482872
Âge,36 ans et plus,15757,4630,22320,54208,66432,0,47754,51.474643568,167.44399038
Scolarité,Primaire,41,456,3056,4841,5453,1700,3313,44.794249077,167.27190596
Scolarité,Secondaire I à IV,58,209,5481,25713,34619,4850,21081,43.781359809,183.76463568
Scolarité,Secondaire V,112,276,5309,15411,18197,1082,12764,47.637169721,159.81174125
Scolarité,Collégiale,52,134,2270,5146,5294,183,4329,47.800478927,135.87260536
Scolarité,Universitaire,141,552,3376,3698,4235,47,3494,50.346022942,117.78759612
Scolarité,Inconnue,38931,5517,6338,27537,33784,11165,46285,38.355392117,38.502242299
Diplôme maximum obtenu,Aucun diplôme,179,793,10983,33794,43736,6806,26382,44.503456726,180.69111312
Diplôme maximum obtenu,Secondaire - DES,32,144,2746,10701,12067,834,9179,46.165802881,148.17981377
Diplôme maximum obtenu,Secondaire - DEP,3,15,599,2923,4017,67,2902,48.770605187,171.87896254
Diplôme maximum obtenu,Secondaire - ASP,0,1,39,181,340,2,197,49.280230326,198.13435701
Diplôme maximum obtenu,Collégial - AEC,3,15,378,996,1019,9,937,48.97617866,131.80198511
Diplôme maximum obtenu,Collégial - DEC général,2,17,314,745,834,24,608,48.381253958,137.55098163
Diplôme maximum obtenu,Collégial - DEC professionnel,4,18,421,1204,1078,18,942,48.915425066,125.00613497
Diplôme maximum obtenu,Universitaire - Certificat,5,10,229,393,380,0,370,50.896507115,133.95860285
Diplôme maximum obtenu,Universitaire - Baccalauréat,27,167,1386,1568,1614,16,1357,50.738214959,112.2592709
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,13,79,456,352,450,3,383,50.650872818,93.089775561
Diplôme maximum obtenu,Inconnu,39067,5885,8279,29489,36047,11248,48009,39.06590271,44.424285889
Durée cumulative,Premier mois,1913,357,50,1006,1572,634,2578,33.857641583,1
