Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,28092,3341,14983,47739,84778,16739,66533,43.45115721,127.51529992
Situation familiale,Couples sans enfants,4443,1276,2760,6611,6687,588,6543,50.875620394,132.40983607
Situation familiale,Familles monoparentales,2493,777,4163,18916,2245,1354,10057,38.314635414,108.09739615
Situation familiale,Couples avec enfants,8146,1305,3675,8536,8370,716,10965,39.380988998,76.963090027
Situation familiale,Conjoint d'étudiant,0,8,33,32,33,3,33,39.615384615,83.6
Sexe,Hommes,26469,2413,11560,0,102113,11255,54422,42.733716569,117.49593098
Sexe,Femmes,16705,4294,14054,81834,0,8145,39709,43.380734169,125.3133172
Âge,Moins de 20 ans,1198,146,164,1460,1983,3443,3392,18.623293639,10.017717107
Âge,De 20 à 24 ans,6356,584,693,6685,9272,15957,10576,22.092310585,25.217083412
Âge,De 25 à 29 ans,8372,633,972,8478,10771,0,14099,27.119226973,37.808197828
Âge,De 30 à 34 ans,8376,697,1425,9867,11900,0,14803,31.991363073,56.432489548
Âge,De 35 à 39 ans,6670,771,1900,8996,11269,0,12733,36.997384653,77.182482112
Âge,De 40 à 44 ans,4761,715,2590,8753,11017,0,10772,41.98234699,107.21512393
Âge,De 45 à 49 ans,2877,552,2848,7882,9657,0,7944,46.93927818,145.10536519
Âge,De 50 à 54 ans,1686,368,3443,7518,9500,0,6250,52.064578681,186.32212951
Âge,55 ans et plus,2878,2241,11579,22195,26744,0,13562,61.088702262,213.73867468
Âge,35 ans et moins,25734,2231,3585,28250,36237,19400,45546,27.56378805,41.405415045
Âge,36 ans et plus,17440,4476,22029,53584,65876,0,48585,51.365988615,163.92634355
Scolarité,Primaire,53,423,3047,4760,5318,1684,3283,44.713137527,165.17374479
Scolarité,Secondaire I à IV,92,212,5475,25033,33881,4699,20620,43.713803171,182.630037
