Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,22356,3230,14955,47042,82859,15931,60627,43.969561435,134.4434223
Situation familiale,Couples sans enfants,4223,1576,2827,6956,7038,643,6727,50.831141918,136.0264399
Situation familiale,Familles monoparentales,2358,835,4210,19088,2320,1319,9698,38.316143498,109.54297459
Situation familiale,Couples avec enfants,9867,1453,3983,9794,9618,831,12872,38.877498455,71.133319596
Situation familiale,Conjoint d'étudiant,2,13,33,45,31,7,37,37.881578947,73.789473684
Sexe,Hommes,23360,2649,11747,0,101866,10846,51568,43.117801818,121.87678912
Sexe,Femmes,15446,4458,14261,82925,0,7885,38393,43.516719928,128.84331625
Âge,Moins de 20 ans,1168,161,143,1426,1997,3423,3369,18.602979842,9.3435582822
Âge,De 20 à 24 ans,5299,637,706,6459,8849,15308,9443,22.084661615,26.399529658
Âge,De 25 à 29 ans,7452,680,928,8647,10324,0,13217,27.116230035,39.856254283
Âge,De 30 à 34 ans,7788,816,1415,9935,11551,0,14192,31.975844736,57.570417947
Âge,De 35 à 39 ans,6191,860,1934,9106,11012,0,12246,36.999751466,79.295009444
Âge,De 40 à 44 ans,4258,762,2568,8729,10991,0,10208,41.967139959,111.28331643
Âge,De 45 à 49 ans,2536,566,2894,7937,9510,0,7585,46.938499455,148.91517166
Âge,De 50 à 54 ans,1506,396,3619,7802,9983,0,6233,52.0755693,189.49283104
Âge,55 ans et plus,2608,2229,11801,22884,27649,0,13468,60.962222706,215.94280965
Âge,35 ans et moins,23084,2456,3552,28249,34910,18731,42772,27.584192277,42.693899523
Âge,36 ans et plus,15722,4651,22456,54676,66956,0,47189,51.455801105,167.74310214
Scolarité,Primaire,39,449,3087,4902,5499,1685,3237,44.834054418,168.39784636
Scolarité,Secondaire I à IV,50,204,5520,25946,34990,4887,20913,43.776503216,183.8114251
Scolarité,Secondaire V,94,282,5369,15591,18373,1090,12612,47.583676834,159.58191026
Scolarité,Collégiale,43,127,2261,5147,5284,179,4190,47.806921676,136.55718531
Scolarité,Universitaire,131,494,3420,3684,4248,45,3399,50.494578921,118.70600101
Scolarité,Inconnue,38449,5551,6351,27655,33472,10845,45610,38.471526494,38.626956991
Diplôme maximum obtenu,Aucun diplôme,157,799,11087,34165,44255,6831,26136,44.501581229,180.80355777
Diplôme maximum obtenu,Secondaire - DES,27,136,2773,10790,12082,842,9019,46.132869885,148.40604232
Diplôme maximum obtenu,Secondaire - DEP,1,12,600,2933,4047,65,2853,48.699426934,171.00644699
Diplôme maximum obtenu,Secondaire - ASP,0,1,40,177,348,1,186,49.493333333,198.10095238
Diplôme maximum obtenu,Collégial - AEC,2,17,369,1024,1012,10,919,48.843811395,132.19793713
Diplôme maximum obtenu,Collégial - DEC général,1,13,317,747,837,23,599,48.491792929,138.85984848
Diplôme maximum obtenu,Collégial - DEC professionnel,3,22,423,1211,1094,19,929,48.892841649,124.37049892
Diplôme maximum obtenu,Universitaire - Certificat,4,12,229,392,385,0,363,51.011583012,133.67310167
Diplôme maximum obtenu,Universitaire - Baccalauréat,24,154,1419,1566,1636,14,1341,50.818238601,112.28513429
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,12,73,445,337,438,2,354,50.72516129,95.571612903
Diplôme maximum obtenu,Inconnu,38575,5868,8306,29583,35732,10924,47262,39.18499579,44.638980326
Durée cumulative,Premier mois,2089,953,48,1470,1881,716,3351,34.726648762,0.9997015816
Durée cumulative,De 2 à 5 mois,13882,2145,271,7343,10403,3724,17746,34.22326158,3.4916037417
Durée cumulative,De 6 à 11 mois,15336,1356,521,8502,11302,3660,19804,35.135831145,8.1578468996
Durée cumulative,De 12 à 23 mois,5349,705,1240,5922,7191,3148,13113,35.907191337,16.008769923
Durée cumulative,De 24 à 47 mois,1576,1377,2414,7533,8911,4315,7581,37.419119436,36.038251034
Durée cumulative,De 48 à 119 mois,526,571,8845,17960,21234,3168,13723,41.927080676,80.048782977
Durée cumulative,120 mois et plus,48,0,12669,34195,40944,0,14643,51.263338612,251.96762001
Types de contraintes,Sans contraintes,35225,4455,12253,43595,65376,10599,63284,38.875049325,100.48792798
Types de contraintes,Contraintes temporaires,3419,2285,10107,27212,20825,2111,18100,52.982451027,169.54035431
Types de contraintes,Contraintes sévères,139,285,3281,11416,15191,5998,8163,43.542639155,143.78084715
Types de contraintes,Conjoints sans contraintes sévères,23,82,367,702,474,23,414,51.829931973,152.53061224
Région,01 - Bas-Saint-Laurent,9,16,37,1365,1829,290,1157,45.544771446,177.10425798
Région,02 - Saguenay-Lac-Saint-Jean,5,12,41,2079,2477,386,1742,44.923836699,181.76316945
Région,03 - Capitale-Nationale,677,305,833,4394,5676,864,4343,44.55958292,152.99265144
Région,04 - Mauricie,128,53,200,3105,4042,637,2550,44.09220652,180.53197146
Région,05 - Estrie,500,229,794,4463,5559,1045,4025,43.168928358,145.45160647
Région,06 - Montréal,30403,4232,17660,33536,43304,8220,44919,42.138677772,96.256246746
Région,07 - Outaouais,490,336,830,4147,4490,742,3333,43.83420169,138.47921732
Région,08 - Abitibi-Témiscamingue,4,19,15,1049,1224,193,910,44.519577651,162.79410471
Région,09 - Côte-Nord,5,12,13,531,617,81,458,46.052264808,178.3902439
Région,10 - Nord-du-Québec,0,0,5,365,436,85,348,42.812734082,134.43071161
Région,11 - Gaspésie-Îles-de-la-Madeleine,1,9,16,854,1042,178,727,45.769514768,185.8528481
Région,12 - Chaudière-Appalaches,168,51,102,2068,2647,451,2064,43.622481442,145.1321315
Région,13 - Laval,1822,531,2381,3960,3838,757,3769,46.570915619,97.353552193
Région,14 - Lanaudière,532,93,379,3895,4250,862,3455,44.38956415,152.13259669
Région,15 - Laurentides,464,137,513,4295,5260,896,3740,44.518785976,147.6707483
Région,16 - Montérégie,3082,1003,1999,10485,12091,2463,9985,43.275026577,129.67660347
Région,17 - Centre-du-Québec,489,69,181,2293,3037,565,2385,42.465290807,142.67842402
Région,Région inconnue,27,0,9,41,47,16,51,39.613636364,92.625
