Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,19875,2657,15147,46442,80985,15108,56524,44.280081929,138.12863836
Situation familiale,Couples sans enfants,3826,1363,2879,6715,6806,582,6053,51.399896457,143.16662969
Situation familiale,Familles monoparentales,2160,791,4258,18946,2294,1325,9286,38.315160075,110.94152542
Situation familiale,Couples avec enfants,9394,1220,4073,9512,9328,803,12060,38.967622081,73.464437367
Situation familiale,Conjoint d'étudiant,2,9,32,39,35,6,32,38.324324324,78.648648649
Sexe,Hommes,21134,2146,11941,0,99448,10251,47947,43.439556351,125.51551565
Sexe,Femmes,14123,3894,14448,81654,0,7573,36008,43.699990203,132.27882284
Âge,Moins de 20 ans,1047,110,136,1331,1873,3204,3152,18.5917603,9.2428214732
Âge,De 20 à 24 ans,4645,517,686,6242,8378,14620,8547,22.086114911,27.546785226
Âge,De 25 à 29 ans,6729,530,964,8326,9746,0,12133,27.116035857,41.286963258
Âge,De 30 à 34 ans,7120,679,1443,9727,10993,0,13212,31.969208494,59.548214286
Âge,De 35 à 39 ans,5703,764,1952,8893,10693,0,11517,36.999387317,81.735219034
Âge,De 40 à 44 ans,3916,610,2620,8579,10731,0,9527,41.973019161,114.25121699
Âge,De 45 à 49 ans,2305,432,2940,7792,9295,0,7063,46.943231697,152.21595365
Âge,De 50 à 54 ans,1389,308,3657,7815,9927,0,5932,52.071976102,192.01296359
Âge,55 ans et plus,2403,2090,11991,22949,27812,0,12872,60.916786509,217.81233624
Âge,35 ans et moins,20822,1979,3580,27410,33072,17824,39474,27.615158229,44.34256473
Âge,36 ans et plus,14435,4061,22809,54244,66376,0,44481,51.550621787,170.79617808
Scolarité,Primaire,31,433,3124,4913,5504,1661,3123,45.057790151,170.44100989
Scolarité,Secondaire I à IV,29,196,5602,26155,35039,4902,20218,43.836095042,184.65362617
Scolarité,Secondaire V,71,237,5453,15689,18399,1084,12204,47.639638582,160.63459282
Scolarité,Collégiale,27,93,2273,5123,5279,166,4001,47.899826956,137.99442415
Scolarité,Universitaire,97,402,3514,3683,4246,30,3232,50.682683819,120.80035313
Scolarité,Inconnue,35002,4679,6423,26091,30981,9981,41177,38.763772077,40.98731427
Diplôme maximum obtenu,Aucun diplôme,110,733,11272,34420,44330,6815,25249,44.585269841,181.85617778
Diplôme maximum obtenu,Secondaire - DES,21,132,2802,10863,12119,839,8782,46.175876773,149.11408929
Diplôme maximum obtenu,Secondaire - DEP,1,15,594,2923,4019,65,2731,48.72659176,172.58945549
Diplôme maximum obtenu,Secondaire - ASP,0,0,39,184,347,1,180,49.676082863,201.41242938
Diplôme maximum obtenu,Collégial - AEC,1,13,369,1022,1008,7,876,48.842857143,133.56847291
Diplôme maximum obtenu,Collégial - DEC général,0,13,305,745,833,22,570,48.478453739,139.26299113
Diplôme maximum obtenu,Collégial - DEC professionnel,3,15,431,1204,1085,17,884,49.03058104,125.84272608
Diplôme maximum obtenu,Universitaire - Certificat,5,9,244,386,389,0,356,51.189677419,134.1316129
Diplôme maximum obtenu,Universitaire - Baccalauréat,22,123,1419,1549,1641,9,1276,50.926959248,113.1645768
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,8,50,466,337,433,1,319,51.264935065,98.803896104
Diplôme maximum obtenu,Inconnu,35086,4937,8448,28021,33244,10048,42732,39.530400718,47.501852608
Durée cumulative,Premier mois,3718,451,47,1761,2718,960,4479,34.016968073,1
Durée cumulative,De 2 à 5 mois,13795,2192,273,7469,10206,3422,17675,34.422687412,3.4795473833
Durée cumulative,De 6 à 11 mois,12132,900,507,7035,9008,3011,16043,35.450414511,8.2022065698
Durée cumulative,De 12 à 23 mois,3471,478,1235,4892,5849,2769,10741,35.743599292,16.283865562
Durée cumulative,De 24 à 47 mois,1627,1439,2489,7730,9014,4454,7398,37.302317248,36.037685141
Durée cumulative,De 48 à 119 mois,464,580,8939,18094,21289,3208,13279,41.911687784,80.048218775
Durée cumulative,120 mois et plus,50,0,12899,34673,41364,0,14340,51.285847679,251.91597512
Types de contraintes,Sans contraintes,31858,3536,12505,42470,63009,9706,58416,39.139089297,104.61726979
Types de contraintes,Contraintes temporaires,3233,2135,10126,26761,20556,2070,17115,53.059851639,171.76617283
Types de contraintes,Contraintes sévères,142,285,3368,11706,15369,6025,8024,43.771191136,145.115494
Types de contraintes,Conjoints sans contraintes sévères,24,84,390,717,514,23,400,52.125101543,155.95044679
Région,01 - Bas-Saint-Laurent,8,18,35,1372,1834,289,1118,45.714909545,178.49407361
Région,02 - Saguenay-Lac-Saint-Jean,4,10,41,2094,2498,379,1683,45.095818815,183.13479965
Région,03 - Capitale-Nationale,572,269,845,4371,5615,867,4165,44.671640296,155.12637693
Région,04 - Mauricie,108,39,196,3114,4005,620,2424,44.302851524,182.23472398
Région,05 - Estrie,431,237,782,4431,5495,1032,3786,43.240479549,147.44539593
Région,06 - Montréal,27952,3414,18005,32588,41650,7531,41438,42.511974999,100.38557073
Région,07 - Outaouais,432,287,846,4136,4441,719,3174,43.931211379,140.42275854
Région,08 - Abitibi-Témiscamingue,4,17,15,1057,1215,188,862,44.574383803,163.73415493
Région,09 - Côte-Nord,6,10,13,540,620,79,462,46.202586207,178.91724138
Région,10 - Nord-du-Québec,0,0,5,357,433,82,342,42.882278481,132.7835443
Région,11 - Gaspésie-Îles-de-la-Madeleine,1,6,15,842,1035,174,681,46.00426212,190.79381993
Région,12 - Chaudière-Appalaches,134,49,102,2025,2607,438,1933,43.912132988,148.4302677
Région,13 - Laval,1528,509,2384,3827,3677,709,3391,46.935900853,101.86034115
Région,14 - Lanaudière,448,82,394,3841,4196,836,3239,44.55157397,154.85790718
Région,15 - Laurentides,403,141,507,4350,5207,895,3584,44.630009417,149.92256984
Région,16 - Montérégie,2718,896,2016,10350,11862,2390,9296,43.492841707,133.27228525
Région,17 - Centre-du-Québec,460,53,180,2311,2996,574,2303,42.534388543,143.83644243
Région,Région inconnue,48,3,8,48,62,22,74,36.709090909,71.981818182
