Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,21471,2846,14977,46658,81904,15572,58567,44.097011559,136.14770305
Situation familiale,Couples sans enfants,4098,1465,2835,6865,6957,613,6453,51.054984807,139.0461583
Situation familiale,Familles monoparentales,2303,817,4246,19023,2299,1313,9501,38.315448832,109.97800394
Situation familiale,Couples avec enfants,9875,1364,3999,9769,9600,843,12718,38.82208684,71.325468532
Situation familiale,Conjoint d'étudiant,2,12,31,41,33,7,34,37.527027027,75.135135135
Sexe,Hommes,22710,2357,11763,0,100793,10596,49991,43.237208933,123.29066503
Sexe,Femmes,15039,4147,14325,82356,0,7752,37282,43.57372869,130.29402836
Âge,Moins de 20 ans,1134,121,143,1386,1925,3311,3265,18.603141045,9.2527937179
Âge,De 20 à 24 ans,5099,562,694,6366,8671,15037,9082,22.081598723,26.724479617
Âge,De 25 à 29 ans,7265,595,940,8532,10129,0,12821,27.116981941,40.202025615
Âge,De 30 à 34 ans,7617,745,1417,9887,11340,0,13832,31.975078909,58.106326848
Âge,De 35 à 39 ans,6056,811,1951,9015,10880,0,11973,37.00090475,80.03402865
Âge,De 40 à 44 ans,4164,677,2577,8640,10840,0,9848,41.971149897,112.35959959
Âge,De 45 à 49 ans,2424,473,2896,7854,9358,0,7256,46.94068092,151.04212178
Âge,De 50 à 54 ans,1461,346,3612,7796,9947,0,6069,52.076029984,190.95017753
Âge,55 ans et plus,2529,2174,11858,22880,27703,0,13127,60.939564676,216.9186881
Âge,35 ans et moins,22474,2176,3565,27977,34192,18348,41527,27.603081922,43.133844842
Âge,36 ans et plus,15275,4328,22523,54379,66601,0,45746,51.500330633,169.24899157
Scolarité,Primaire,35,431,3107,4898,5496,1654,3144,45.008274004,170.17009813
Scolarité,Secondaire I à IV,38,194,5540,26014,34876,4868,20448,43.804762687,184.38962063
Scolarité,Secondaire V,86,250,5387,15572,18320,1086,12311,47.651687714,160.48406704
Scolarité,Collégiale,32,105,2262,5117,5265,174,4067,47.860238875,137.44731266
Scolarité,Universitaire,117,440,3437,3672,4201,33,3273,50.586942716,119.95668741
Scolarité,Inconnue,37441,5084,6355,27083,32635,10533,44030,38.536303962,39.36126461
Diplôme maximum obtenu,Aucun diplôme,131,743,11134,34231,44128,6784,25504,44.557306755,181.60822624
Diplôme maximum obtenu,Secondaire - DES,28,136,2785,10774,12073,837,8844,46.178973169,149.12894472
Diplôme maximum obtenu,Secondaire - DEP,1,12,604,2917,4024,65,2791,48.712289295,171.53997983
Diplôme maximum obtenu,Secondaire - ASP,0,0,40,181,351,1,186,49.55075188,199.04887218
Diplôme maximum obtenu,Collégial - AEC,1,15,365,1014,1013,7,891,48.841637889,132.76911692
Diplôme maximum obtenu,Collégial - DEC général,1,12,307,748,825,22,574,48.509853783,139.29497775
Diplôme maximum obtenu,Collégial - DEC professionnel,3,19,421,1201,1083,17,899,48.990805604,125.62259194
Diplôme maximum obtenu,Universitaire - Certificat,5,9,232,385,382,0,352,51.117340287,134.30247718
Diplôme maximum obtenu,Universitaire - Baccalauréat,27,139,1410,1562,1619,12,1298,50.814523735,112.6325055
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,10,57,449,332,429,2,327,51.119579501,98.664914586
Diplôme maximum obtenu,Inconnu,37542,5362,8341,29011,34866,10601,45607,39.272711618,45.579097328
Durée cumulative,Premier mois,3057,620,48,1614,2346,843,3960,34.07020202,1
Durée cumulative,De 2 à 5 mois,14730,2106,269,7744,10818,3709,18562,34.35152462,3.5106130805
