Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,30998,2601,15087,48114,86620,17144,68814,43.240362492,124.98776849
Situation familiale,Couples sans enfants,4713,946,2784,6593,6647,588,6449,50.778851964,132.57620846
Situation familiale,Familles monoparentales,2648,654,4125,18720,2237,1366,9974,38.254378012,107.37705778
Situation familiale,Couples avec enfants,8166,911,3660,8296,8127,726,10587,39.363149242,77.039943981
Situation familiale,Conjoint d'étudiant,0,7,26,25,31,1,28,40.625,85.857142857
Sexe,Hommes,28577,1796,11646,0,103662,11540,55992,42.564189385,115.36030561
Sexe,Femmes,17948,3323,14036,81748,0,8285,39860,43.259810638,124.25095415
Âge,Moins de 20 ans,1288,113,161,1476,1998,3474,3415,18.620610248,9.9738054116
Âge,De 20 à 24 ans,6867,418,722,6809,9542,16351,10969,22.092716042,24.925753777
Âge,De 25 à 29 ans,8945,439,997,8522,11088,0,14451,27.110198878,37.143141254
Âge,De 30 à 34 ans,8952,522,1449,9899,12278,0,15164,31.997970871,55.486630293
Âge,De 35 à 39 ans,7180,530,1928,9057,11447,0,12924,37.000731565,75.912943816
Âge,De 40 à 44 ans,5226,465,2608,8760,11277,0,10994,41.989569297,105.64171283
Âge,De 45 à 49 ans,3129,406,2885,7875,9864,0,8137,46.947460398,143.25277637
Âge,De 50 à 54 ans,1839,298,3424,7405,9576,0,6336,52.067899417,184.47070255
Âge,55 ans et plus,3099,1928,11508,21945,26592,0,13462,61.077981746,213.60432248
Âge,35 ans et moins,27568,1604,3674,28507,37233,19825,46699,27.557894737,40.793687253
Âge,36 ans et plus,18957,3515,22008,53241,66429,0,49153,51.282994903,162.39633993
Scolarité,Primaire,72,405,3021,4722,5293,1666,3285,44.686270594,165.04303545
Scolarité,Secondaire I à IV,125,185,5507,24861,33919,4708,20640,43.680333447,181.7454066
Scolarité,Secondaire V,240,228,5181,14982,17835,1125,12592,47.412804339,157.32812262
Scolarité,Collégiale,128,107,2247,5078,5263,172,4362,47.674209457,133.07368726
Scolarité,Universitaire,340,435,3409,3679,4253,41,3713,50.041225416,113.03656077
Scolarité,Inconnue,45620,3759,6317,28426,37099,12113,51260,37.966531858,35.773948874
Diplôme maximum obtenu,Aucun diplôme,374,669,10833,32618,42660,6616,25777,44.366149473,178.76111214
Diplôme maximum obtenu,Secondaire - DES,61,142,2771,10515,11932,871,9154,46.030917272,145.53886934
Diplôme maximum obtenu,Secondaire - DEP,8,17,601,2883,3989,79,2886,48.537252619,168.4967986
Diplôme maximum obtenu,Secondaire - ASP,0,0,36,179,323,3,189,49.320717131,197.96613546
Diplôme maximum obtenu,Collégial - AEC,7,16,393,965,1057,9,964,48.851632047,129.79970326
Diplôme maximum obtenu,Collégial - DEC général,8,11,319,742,811,24,625,47.833226014,132.85962653
