Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,26410,3303,14987,47572,83926,16533,65997,43.562556085,129.31247624
Situation familiale,Couples sans enfants,4280,1295,2754,6580,6637,588,6456,50.965347658,134.39426496
Situation familiale,Familles monoparentales,2380,764,4245,19189,2266,1361,10273,38.306455372,108.89126078
Situation familiale,Couples avec enfants,8187,1275,3677,8569,8390,711,11055,39.358983431,76.964856418
Situation familiale,Conjoint d'étudiant,1,8,33,32,33,5,32,39.338461538,83.892307692
Sexe,Hommes,25248,2388,11553,0,101252,11100,54004,42.83527239,119.09143523
Sexe,Femmes,16010,4257,14143,81942,0,8098,39809,43.405726001,126.54483659
Âge,Moins de 20 ans,1162,142,154,1466,1952,3418,3367,18.62434172,10.074605032
Âge,De 20 à 24 ans,6102,593,692,6632,9148,15780,10389,22.087705957,25.550697085
Âge,De 25 à 29 ans,8004,625,989,8448,10573,0,13859,27.111087745,38.543294254
Âge,De 30 à 34 ans,8083,690,1432,9924,11710,0,14713,31.984607562,57.192937044
Âge,De 35 à 39 ans,6306,780,1894,8957,11056,0,12536,36.993054515,78.558337081
Âge,De 40 à 44 ans,4517,676,2595,8756,10897,0,10715,41.978476568,109.18628199
Âge,De 45 à 49 ans,2724,535,2878,7889,9577,0,7940,46.938680866,146.61605405
Âge,De 50 à 54 ans,1582,373,3482,7596,9524,0,6397,52.072196262,187.5682243
Âge,55 ans et plus,2778,2231,11580,22274,26815,0,13897,61.060930147,214.49864532
Âge,35 ans et moins,24699,2226,3607,28251,35601,19198,44928,27.560640231,42.045542818
Âge,36 ans et plus,16559,4419,22089,53691,65651,0,48885,51.399398368,165.43120611
Scolarité,Primaire,46,438,3017,4798,5291,1677,3304,44.727326792,166.04182773
Scolarité,Secondaire I à IV,84,221,5517,25471,34070,4774,21440,43.684335164,182.4937606
Scolarité,Secondaire V,158,264,5235,15253,17823,1071,12953,47.487150804,158.42617003
Scolarité,Collégiale,73,119,2289,5157,5267,172,4494,47.658384497,134.04767843
Scolarité,Universitaire,231,601,3375,3775,4231,53,3755,50.120659505,114.24868848
Scolarité,Inconnue,40666,5002,6263,27488,34570,11451,47867,38.236875181,37.61697122
Diplôme maximum obtenu,Aucun diplôme,245,757,10931,33408,42867,6684,26681,44.391596198,179.52912488
Diplôme maximum obtenu,Secondaire - DES,40,166,2741,10640,11865,838,9359,46.062830482,146.68482559
Diplôme maximum obtenu,Secondaire - DEP,6,15,591,2938,3973,70,2988,48.570395022,169.73187672
Diplôme maximum obtenu,Secondaire - ASP,0,1,39,173,339,3,200,49.193359375,198.65039063
Diplôme maximum obtenu,Collégial - AEC,7,19,383,985,1038,8,989,48.762728621,130.55116164
Diplôme maximum obtenu,Collégial - DEC général,1,14,314,759,819,24,642,48.07287706,134.51901141
Diplôme maximum obtenu,Collégial - DEC professionnel,6,19,440,1202,1060,20,973,48.697612732,123.22281167
Diplôme maximum obtenu,Universitaire - Certificat,7,19,237,397,394,0,397,50.744627054,131.1795196
Diplôme maximum obtenu,Universitaire - Baccalauréat,31,190,1383,1581,1584,13,1409,50.745339652,109.54470774
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,11,99,450,360,448,2,427,50.678217822,90.146039604
Diplôme maximum obtenu,Inconnu,40904,5346,8187,29499,36865,11536,49748,38.938023627,43.392727985
