Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,733,380,17487,35158,19759,3011,6135,33101,43427,2067,48.534471043,283.03613057
Situation familiale,Couples sans enfants,63,28,528,863,1296,110,411,1596,1292,5,54.030470914,312.63054017
Situation familiale,Familles monoparentales,32,30,212,602,685,46,248,1359,248,4,45.26011201,227.86247666
Situation familiale,Couples avec enfants,27,15,113,217,373,20,284,315,450,4,46.781699346,230.37908497
Situation maritale,Adultes seuls,765,410,17699,35760,20444,3057,6383,34460,43675,2071,48.467127408,281.90137582
Situation maritale,Adultes avec conjoint à l’AFDR,57,16,263,559,1053,81,491,1003,1026,4,53.126663381,287.61902415
Situation maritale,Adultes avec conjoint au PRB,20,18,284,320,311,27,85,494,486,0,52.657142857,320.62959184
Situation maritale,Adultes avec conjoint hors Assistance sociale,13,9,94,201,305,22,119,414,230,5,50.357142857,281.55434783
Sexe,Hommes,490,213,9838,22131,10949,1796,3784,0,45417,1366,47.406015369,272.88497699
Sexe,Femmes,365,240,8502,14709,11164,1391,3294,36371,0,714,50.198454813,294.51662038
Âge,Moins de 20 ans,0,0,0,2,0,345,32,123,224,347,18.510086455,12.30259366
Âge,De 20 à 24 ans,7,2,392,558,139,635,129,591,1142,1733,22.986151183,65.168493941
Âge,De 25 à 29 ans,35,26,2120,2753,910,69,383,2144,3769,0,27.086588872,108.57331304
Âge,De 30 à 34 ans,49,39,2446,2815,1284,80,485,2538,4175,0,32.013108893,158.1890362
Âge,De 35 à 39 ans,74,43,2204,2867,1234,95,516,2449,4068,0,37.024090839,202.58201627
Âge,De 40 à 44 ans,80,38,2117,3645,1546,137,612,2995,4568,0,42.076689145,244.82044162
Âge,De 45 à 49 ans,88,51,2141,4431,2075,220,745,3787,5219,0,47.020541861,281.30368643
Âge,De 50 à 54 ans,107,48,1986,4503,2716,303,910,4597,5066,0,52.098002691,317.86132671
Âge,55 ans et plus,415,206,4934,15266,12209,1303,3266,17147,17186,0,60.32330411,364.30370198
Âge,35 ans et moins,103,74,5431,6678,2583,1145,1117,5887,10127,2080,29.168540027,128.91026602
Âge,36 ans et plus,752,379,12909,30162,19530,2042,5961,30484,35290,0,53.390427829,319.90014291
Scolarité,Primaire,80,62,3257,2275,1605,246,671,3230,4295,349,45.594551495,285.18843854
Scolarité,Secondaire I à IV,277,159,3899,12909,8061,595,1499,11366,14534,328,50.109266409,308.1492278
Scolarité,Secondaire V,183,83,744,8157,4642,475,1283,6775,7509,59,52.603542425,280.83141977
Scolarité,Collégiale,51,28,30,3407,1366,187,561,2520,2549,5,52.915959755,262.16235944
Scolarité,Universitaire,34,16,7,2039,733,90,647,1445,1474,0,54.721137376,245.32887975
Scolarité,Inconnue,230,105,10403,8053,5706,1594,2417,11035,15056,1339,44.403319152,265.30071672
Diplôme maximum obtenu,Aucun diplôme,421,245,7504,17034,10748,955,2804,16193,20714,700,49.359281437,300.83480099
Diplôme maximum obtenu,Secondaire - DES,105,52,313,6025,2886,309,687,4637,5053,37,51.690196078,272.17770898
Diplôme maximum obtenu,Secondaire - DEP,26,10,78,1463,1051,103,104,1322,1409,2,55.851702673,304.56755767
Diplôme maximum obtenu,Secondaire - ASP,3,4,12,132,88,4,16,95,148,0,55.572016461,310.29218107
Diplôme maximum obtenu,Collégial - AEC,8,4,1,444,250,33,69,381,359,0,54.224324324,250.77567568
Diplôme maximum obtenu,Collégial - DEC général,9,3,7,717,201,21,108,463,495,0,53.260960334,266.58246347
Diplôme maximum obtenu,Collégial - DEC professionnel,7,9,4,744,299,48,97,602,509,2,53.491449145,233.43024302
Diplôme maximum obtenu,Universitaire - Certificat,2,1,0,239,83,11,57,168,168,0,53.711309524,249.13690476
Diplôme maximum obtenu,Universitaire - Baccalauréat,11,6,4,819,269,42,242,601,550,0,54.574283232,229.95916594
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,4,1,0,131,60,10,60,108,98,0,56.194174757,213.46116505
Diplôme maximum obtenu,Inconnu,259,118,10417,9092,6178,1651,2834,11801,15914,1339,44.999963918,265.75237236
Durée cumulative,Premier mois,0,0,0,0,0,6,0,1,5,5,23,1
Durée cumulative,De 2 à 5 mois,0,0,0,0,0,64,7,22,42,57,21.71875,3.59375
Durée cumulative,De 6 à 11 mois,0,0,0,1,0,111,14,41,71,102,21.428571429,8.4285714286
Durée cumulative,De 12 à 23 mois,0,0,0,5,3,217,15,95,130,187,24.968888889,17.231111111
Durée cumulative,De 24 à 47 mois,1,1,9,15,11,357,29,150,244,287,28.934010152,34.961928934
Durée cumulative,De 48 à 119 mois,95,64,1939,3952,2122,811,1331,3527,5456,1442,34.731938105,92.991205611
Durée cumulative,120 mois et plus,759,388,16392,32867,19977,1621,5682,32535,39469,0,50.63418699,309.02879007
Types de diagnostics,Visuel,855,0,0,0,0,0,136,365,490,7,51.028070175,296.74152047
Types de diagnostics,Auditif et de la parole,0,453,0,0,0,0,83,240,213,2,49.737306843,273.1214128
Types de diagnostics,Intellectuel et d'apprentissage,0,0,18340,0,0,0,935,8502,9838,392,44.432715376,302.86837514
Types de diagnostics,Santé mentale,0,0,0,36840,0,0,3292,14709,22131,560,48.821688382,279.64391965
Types de diagnostics,Physique,0,0,0,0,22113,0,2376,11164,10949,139,52.468050468,286.23574368
Types de diagnostics,Autres,0,0,0,0,0,3187,256,1391,1796,980,43.593975526,170.01066834
Région,01 - Bas-Saint-Laurent,15,7,674,1085,715,95,18,1136,1455,62,50.080277885,300.60787341
Région,02 - Saguenay-Lac-Saint-Jean,29,13,820,1284,949,126,23,1476,1745,82,48.80937597,300.9850978
Région,03 - Capitale-Nationale,66,25,1399,3269,1532,261,229,2843,3709,136,49.651709402,299.2020757
Région,04 - Mauricie,35,17,928,1777,1041,116,68,1788,2126,72,49.310935105,302.46908533
Région,05 - Estrie,59,30,1478,2563,1564,240,245,2628,3306,129,48.71115605,286.48382204
Région,06 - Montréal,225,144,3432,10144,5355,694,4445,8529,11465,431,49.454836451,279.62168651
Région,07 - Outaouais,45,22,874,1692,1077,183,199,1787,2106,92,48.676599024,273.77857693
Région,08 - Abitibi-Témiscamingue,15,8,419,544,396,69,8,662,789,24,49.122674018,299.70089593
Région,09 - Côte-Nord,9,4,218,301,217,33,6,330,452,19,48.66112532,304.78005115
Région,10 - Nord-du-Québec,3,0,44,92,68,14,1,91,130,4,44.886877828,253.96832579
Région,11 - Gaspésie-Îles-de-la-Madeleine,21,8,366,505,444,58,11,653,749,27,49.945791726,306.40798859
Région,12 - Chaudière-Appalaches,29,15,1050,1525,961,181,51,1711,2050,120,48.606487636,286.3445892
Région,13 - Laval,41,27,768,1317,888,131,707,1430,1742,116,47.586696091,250.02774275
Région,14 - Lanaudière,45,19,1146,1849,1366,234,139,2098,2561,175,46.697789225,270.45803821
Région,15 - Laurentides,35,24,1268,2366,1525,237,169,2494,2961,179,47.51512374,273.90614115
Région,16 - Montérégie,134,76,2755,5266,3200,401,694,5415,6417,349,47.533384043,272.37871873
Région,17 - Centre-du-Québec,47,14,662,1221,795,112,59,1262,1589,59,48.74044195,287.26937917
Région,Région inconnue,2,0,39,40,20,2,6,38,65,4,48.553398058,304.55339806
