Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,730,375,17463,35088,19635,3026,6135,32992,43325,2070,48.506086455,282.95155732
Situation familiale,Couples sans enfants,62,28,533,866,1298,109,406,1606,1290,7,54.054558011,313.21512431
Situation familiale,Familles monoparentales,34,30,205,605,691,47,249,1366,246,4,45.373449132,228.32320099
Situation familiale,Couples avec enfants,28,15,119,221,368,21,282,315,457,3,46.735751295,231.09715026
Situation maritale,Adultes seuls,764,405,17668,35693,20326,3073,6384,34358,43571,2074,48.441286299,281.82154269
Situation maritale,Adultes avec conjoint à l’AFDR,56,15,261,558,1048,80,488,997,1021,4,53.180872151,287.87363726
Situation maritale,Adultes avec conjoint au PRB,20,19,290,323,315,25,85,501,491,1,52.685483871,321.23790323
Situation maritale,Adultes avec conjoint hors Assistance sociale,14,9,101,206,303,25,115,423,235,5,50.211246201,282.49392097
Sexe,Hommes,491,211,9823,22113,10874,1806,3770,0,45318,1364,47.377289377,272.8217706
Sexe,Femmes,363,237,8497,14667,11118,1397,3302,36279,0,720,50.182171504,294.49025607
Âge,Moins de 20 ans,0,0,0,1,0,353,34,125,229,354,18.531073446,12.584745763
Âge,De 20 à 24 ans,8,2,384,552,137,647,122,595,1135,1730,22.986705202,65.213872832
Âge,De 25 à 29 ans,36,25,2122,2764,910,71,393,2141,3787,0,27.092442645,108.64473684
Âge,De 30 à 34 ans,49,39,2433,2820,1273,80,486,2522,4172,0,32.017777114,158.27442486
Âge,De 35 à 39 ans,71,44,2216,2876,1230,96,516,2466,4067,0,37.019745905,202.59497934
Âge,De 40 à 44 ans,77,38,2120,3640,1545,136,611,2994,4562,0,42.075172049,245.07331922
Âge,De 45 à 49 ans,94,51,2131,4425,2044,223,738,3755,5213,0,47.020851918,281.26449599
Âge,De 50 à 54 ans,105,49,1991,4473,2727,305,914,4609,5041,0,52.083212435,317.74466321
Âge,55 ans et plus,414,200,4923,15229,12126,1292,3258,17072,17112,0,60.329072081,364.57980342
Âge,35 ans et moins,105,74,5418,6680,2578,1169,1123,5878,10146,2084,29.167998003,128.89022716
Âge,36 ans et plus,749,374,12902,30100,19414,2034,5949,30401,35172,0,53.378905952,319.98249279
Scolarité,Primaire,78,61,3260,2270,1607,250,671,3229,4297,345,45.561918682,284.87802285
Scolarité,Secondaire I à IV,278,157,3888,12889,8024,597,1502,11332,14501,329,50.088181783,308.13622111
Scolarité,Secondaire V,183,82,741,8148,4600,476,1278,6742,7488,57,52.583274772,280.76148981
Scolarité,Collégiale,51,28,32,3398,1360,188,557,2519,2538,5,52.914969349,262.49021159
Scolarité,Universitaire,34,15,7,2033,727,88,643,1441,1463,0,54.768250689,246.02651515
Scolarité,Inconnue,230,105,10392,8042,5674,1604,2421,11016,15031,1348,44.376626867,265.15007486
Diplôme maximum obtenu,Aucun diplôme,419,242,7495,17010,10691,960,2803,16146,20671,695,49.330771111,300.731021
Diplôme maximum obtenu,Secondaire - DES,106,51,313,6016,2877,314,686,4627,5050,37,51.687816472,272.3246874
Diplôme maximum obtenu,Secondaire - DEP,26,10,77,1460,1041,100,102,1313,1401,2,55.842299189,304.74097273
Diplôme maximum obtenu,Secondaire - ASP,3,4,11,131,85,4,16,93,145,0,55.386554622,309.86134454
Diplôme maximum obtenu,Collégial - AEC,8,4,1,438,249,34,69,377,357,0,54.211171662,251.19618529
Diplôme maximum obtenu,Collégial - DEC général,9,3,8,717,201,20,107,460,498,0,53.295407098,267.06889353
Diplôme maximum obtenu,Collégial - DEC professionnel,7,9,4,744,297,49,99,603,507,2,53.477477477,233.08468468
Diplôme maximum obtenu,Universitaire - Certificat,2,1,0,237,84,10,58,169,165,0,53.817365269,250.45209581
Diplôme maximum obtenu,Universitaire - Baccalauréat,11,6,4,821,266,43,241,602,549,0,54.632493484,230.40573414
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,4,1,0,130,59,10,60,107,97,0,56.18627451,214.49019608
Diplôme maximum obtenu,Inconnu,259,117,10407,9076,6142,1659,2831,11782,15878,1348,44.972668113,265.64992769
Durée cumulative,Premier mois,0,0,0,0,0,10,2,5,5,9,21,1
Durée cumulative,De 2 à 5 mois,0,0,0,0,0,52,4,17,35,48,20.403846154,3.4807692308
Durée cumulative,De 6 à 11 mois,0,0,0,0,0,123,16,46,77,108,22.585365854,8.4634146341
Durée cumulative,De 12 à 23 mois,0,0,0,5,3,222,16,93,137,195,24.347826087,17.539130435
Durée cumulative,De 24 à 47 mois,0,1,7,16,9,355,30,147,241,283,29.020618557,34.976804124
Durée cumulative,De 48 à 119 mois,94,60,1925,3945,2105,828,1342,3506,5451,1441,34.734509322,92.965725131
Durée cumulative,120 mois et plus,760,387,16388,32814,19875,1613,5662,32465,39372,0,50.608697468,308.97751855
Types de diagnostics,Visuel,854,0,0,0,0,0,134,363,491,8,51.014051522,297.58782201
Types de diagnostics,Auditif et de la parole,0,448,0,0,0,0,81,237,211,2,49.633928571,273.47544643
Types de diagnostics,Intellectuel et d'apprentissage,0,0,18320,0,0,0,937,8497,9823,384,44.439246725,302.98018559
Types de diagnostics,Santé mentale,0,0,0,36780,0,0,3296,14667,22113,553,48.799456226,279.52751495
Types de diagnostics,Physique,0,0,0,0,21992,0,2367,11118,10874,137,52.462395417,286.38973263
Types de diagnostics,Autres,0,0,0,0,0,3203,257,1397,1806,1000,43.420855448,168.90103028
Région,01 - Bas-Saint-Laurent,15,7,675,1081,712,97,18,1137,1450,62,50.066872826,300.89408581
Région,02 - Saguenay-Lac-Saint-Jean,29,12,819,1282,942,128,23,1470,1742,80,48.791718555,301.00466999
Région,03 - Capitale-Nationale,65,25,1394,3246,1524,263,227,2829,3688,138,49.618229247,299.68850698
Région,04 - Mauricie,35,17,925,1770,1030,115,70,1782,2110,71,49.253083248,302.45760534
Région,05 - Estrie,59,30,1476,2560,1552,243,243,2615,3305,134,48.683783784,286.49172297
Région,06 - Montréal,226,142,3430,10128,5318,699,4439,8509,11434,437,49.416837988,279.25923883
Région,07 - Outaouais,44,21,874,1688,1074,184,200,1785,2100,89,48.696010296,274.14105534
Région,08 - Abitibi-Témiscamingue,15,8,419,541,394,69,8,658,788,27,49.124481328,299.77385892
Région,09 - Côte-Nord,9,4,217,302,220,33,6,334,451,19,48.736305732,304.43821656
Région,10 - Nord-du-Québec,3,0,43,90,68,14,1,88,130,3,44.706422018,251.97247706
Région,11 - Gaspésie-Îles-de-la-Madeleine,20,8,366,509,443,58,11,652,752,28,49.91951567,306.28632479
Région,12 - Chaudière-Appalaches,29,14,1050,1531,953,182,51,1711,2048,118,48.563447725,285.94067571
Région,13 - Laval,41,27,768,1319,885,131,707,1431,1740,111,47.611479029,250.3298644
