Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,75358,5516,194,0,24325,829,22558,3161,12347,37232,68990,10118,53978,44.175679238,132.3720604
Situation familiale,Couples sans enfants,7069,145,78,0,4629,67,4141,1415,2356,5962,6026,604,6120,49.999332666,129.88229897
Situation familiale,Familles monoparentales,9690,774,8024,1091,608,77,2319,806,3996,18136,2128,1291,9446,38.026006711,107.94428543
Situation familiale,Couples avec enfants,16632,135,382,295,881,37,9650,1420,3616,9267,9095,805,12449,38.673564971,69.059198344
Situation familiale,Conjoint d'étudiant,57,2,3,3,2,0,1,12,30,39,28,5,32,38.388059701,79.656716418
Sexe,Hommes,65345,3161,473,169,16696,423,23344,2554,9851,0,86267,6986,46809,43.244798127,119.67106773
Sexe,Femmes,43461,3411,8208,1220,13749,587,15325,4260,12494,70636,0,5837,35216,43.100925873,123.94494309
Âge,Moins de 20 ans,1585,148,166,0,0,5,1157,161,28,908,996,1904,1883,18.62394958,7.7867647059
Âge,De 20 à 24 ans,9131,543,1210,9,0,26,5417,605,349,4929,5990,10919,8632,22.240864548,20.120798608
Âge,De 25 à 29 ans,14109,762,2306,54,0,48,7442,701,771,8018,9261,0,12702,27.134730019,37.605127612
Âge,De 30 à 34 ans,16649,812,2307,160,0,51,7773,786,1246,9296,10683,0,13695,31.979178137,55.318684619
Âge,De 35 à 39 ans,15773,852,1589,289,0,67,6098,861,1734,8447,10123,0,11762,36.992353258,76.099892299
Âge,De 40 à 44 ans,15443,916,852,368,0,116,4212,743,2287,7830,9865,0,9691,41.951794292,107.81209381
Âge,De 45 à 49 ans,13689,915,220,268,0,193,2518,577,2576,6824,8461,0,7014,46.932221132,145.9066405
Âge,De 50 à 54 ans,13292,990,20,181,0,264,1499,371,3186,6341,8406,0,5492,52.050993422,188.0762867
Âge,55 ans et plus,9135,634,11,60,30445,240,2553,2009,10168,18043,22482,0,11154,61.067365824,216.27314004
Âge,35 ans et moins,44630,2423,6340,265,0,138,23146,2427,2715,24826,28970,12823,39413,28.182504275,41.383095397
Âge,36 ans et plus,64176,4149,2341,1124,30445,872,15523,4387,19630,45810,57297,0,42612,51.004975414,163.44568264
Scolarité,Primaire,4386,264,472,65,2422,32,36,389,2644,3746,3895,576,2306,47.190420102,180.69257951
Scolarité,Secondaire I à IV,34286,2627,3739,571,9638,460,51,180,4821,22033,29288,3436,18296,43.536856258,183.58562772
Scolarité,Secondaire V,16536,1904,1498,356,7161,254,94,266,4642,12602,15107,707,10928,47.276985817,159.90443538
Scolarité,Collégiale,5033,738,406,113,2052,92,47,129,1967,4117,4317,122,3638,47.68164572,136.45577425
Scolarité,Universitaire,3831,423,232,74,2043,40,143,519,2979,3036,3607,48,3040,50.198855939,116.94896884
Scolarité,Inconnue,44734,616,2334,210,7129,132,38298,5331,5292,25102,30053,7934,43817,38.700444203,34.767781706
Diplôme maximum obtenu,Aucun diplôme,41713,3113,4414,722,14123,530,153,698,9611,28443,36172,4139,22198,44.583951095,182.76182001
Diplôme maximum obtenu,Secondaire - DES,11584,1509,1133,232,4012,204,29,132,2373,8659,10015,584,7834,45.751847488,147.71795009
Diplôme maximum obtenu,Secondaire - DEP,3407,427,295,71,1511,45,1,16,523,2408,3348,55,2561,48.044649062,168.91261293
Diplôme maximum obtenu,Secondaire - ASP,267,27,15,3,146,4,0,1,39,156,306,0,174,49.017316017,196.13419913
Diplôme maximum obtenu,Collégial - AEC,994,149,84,26,411,17,2,18,336,828,853,8,824,48.472932778,130.61748959
Diplôme maximum obtenu,Collégial - DEC général,720,96,49,13,353,9,1,16,259,574,666,13,494,48.776612903,138.63387097
Diplôme maximum obtenu,Collégial - DEC professionnel,1058,166,71,24,467,20,3,18,361,936,870,11,790,48.738095238,124.86655592
Diplôme maximum obtenu,Universitaire - Certificat,357,60,18,3,195,2,6,11,205,314,321,0,311,50.382677165,132.69133858
Diplôme maximum obtenu,Universitaire - Baccalauréat,1487,178,87,32,820,18,22,155,1231,1272,1350,14,1174,50.727688787,111.40846682
