Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,76274,5460,207,0,24299,817,24188,3227,12371,37478,69579,10478,56017,44.01163866,130.42221433
Situation familiale,Couples sans enfants,6916,127,68,0,4594,70,4167,1297,2371,5857,5918,606,6022,50.08492569,129.74912951
Situation familiale,Familles monoparentales,9499,708,8247,1079,601,75,2325,772,3976,18112,2097,1318,9566,38.020881785,108.06274432
Situation familiale,Couples avec enfants,16047,140,353,292,867,42,9281,1329,3543,8962,8779,785,12013,38.788117919,70.79324728
Situation familiale,Conjoint d'étudiant,48,3,1,2,3,0,1,6,29,31,26,4,29,38.719298246,85.789473684
Sexe,Hommes,65505,3178,492,167,16634,423,24406,2456,9832,0,86399,7230,47951,43.11786016,118.42749337
Sexe,Femmes,43279,3260,8384,1206,13730,581,15556,4175,12458,70440,0,5961,35696,43.084540034,123.55285349
Âge,Moins de 20 ans,1616,144,178,0,0,2,1199,145,29,923,1017,1940,1918,18.639690722,8.2742268041
Âge,De 20 à 24 ans,9427,544,1241,10,0,29,5802,587,348,5038,6213,11251,9078,22.238467692,19.924540041
Âge,De 25 à 29 ans,14268,755,2327,52,0,48,7809,670,787,8001,9449,0,13054,27.135988539,36.998624642
Âge,De 30 à 34 ans,16605,803,2349,156,0,61,7928,751,1244,9237,10737,0,13876,31.986933013,54.885300891
Âge,De 35 à 39 ans,15615,818,1618,281,0,64,6142,790,1703,8324,10072,0,11765,36.98776908,76.277560339
Âge,De 40 à 44 ans,15397,862,878,365,0,111,4329,703,2275,7792,9821,0,9836,41.956963606,107.12621359
Âge,De 45 à 49 ans,13682,874,254,273,0,194,2618,554,2565,6813,8464,0,7146,46.933494796,145.09772861
Âge,De 50 à 54 ans,13158,978,21,177,0,261,1541,386,3139,6331,8264,0,5613,52.055566975,187.25563549
Âge,55 ans et plus,9016,660,10,59,30364,234,2594,2045,10200,17981,22362,0,11361,61.107255286,215.98002132
Âge,35 ans et moins,45037,2409,6469,262,0,152,24095,2326,2722,24898,29431,13191,40439,28.139409892,40.932467007
Âge,36 ans et plus,63747,4029,2407,1111,30364,852,15867,4305,19568,45542,56968,0,43208,51.033352844,163.02077846
Scolarité,Primaire,4302,269,479,64,2395,33,42,393,2610,3706,3836,572,2337,47.224741448,180.53195439
Scolarité,Secondaire I à IV,33612,2584,3858,577,9580,472,61,173,4821,21868,28815,3384,18386,43.543555038,183.66773869
Scolarité,Secondaire V,16316,1833,1540,348,7097,249,113,246,4596,12514,14869,727,10981,47.334879305,160.70492641
Scolarité,Collégiale,5060,730,425,109,2053,78,53,131,1960,4119,4336,125,3774,47.614665878,135.49166174
Scolarité,Universitaire,3830,427,240,73,2040,43,161,524,2986,3058,3595,48,3116,50.117691267,116.16744326
Scolarité,Inconnue,45664,595,2334,202,7199,129,39532,5164,5317,25175,30948,8335,45053,38.574951446,34.667587264
Diplôme maximum obtenu,Aucun diplôme,40870,3062,4552,723,14023,543,176,674,9540,28210,35563,4085,22327,44.606259702,182.9461998
Diplôme maximum obtenu,Secondaire - DES,11540,1431,1148,226,3979,191,38,134,2362,8595,9920,603,7909,45.803132595,148.23964353
