Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,79104,5529,237,0,24251,816,27978,3172,12458,38549,71388,10911,59332,43.674831949,125.39993815
Situation familiale,Couples sans enfants,6903,130,53,0,4561,76,4408,1178,2372,5826,5897,562,6070,50.089994029,126.84961187
Situation familiale,Familles monoparentales,10324,732,7355,1108,587,93,2492,767,3955,18127,2072,1337,9796,38.008465766,106.16763206
Situation familiale,Couples avec enfants,14589,140,282,269,847,34,8137,1264,3390,8164,7997,697,10728,39.140523482,74.123507209
Situation familiale,Conjoint d'étudiant,49,2,1,3,5,0,0,8,30,29,31,2,31,39.633333333,82.133333333
Sexe,Hommes,66761,3207,389,172,16435,421,26374,2279,9785,0,87385,7422,49464,42.87842307,115.22307032
Sexe,Femmes,44208,3326,7539,1208,13816,598,16641,4110,12420,70695,0,6087,36493,43.064078082,120.96613622
Âge,Moins de 20 ans,1578,132,167,0,0,2,1198,131,35,903,976,1879,1857,18.653006919,8.8142629058
Âge,De 20 à 24 ans,9843,531,1217,8,0,31,6348,550,351,5184,6446,11630,9589,22.237231298,19.379879622
Âge,De 25 à 29 ans,14832,749,2040,52,0,51,8358,613,801,7938,9786,0,13551,27.135353193,35.669149176
Âge,De 30 à 34 ans,17116,841,2147,169,0,59,8368,680,1259,9320,11012,0,14308,31.991491245,53.938373008
Âge,De 35 à 39 ans,16304,792,1405,277,0,61,6658,757,1719,8408,10431,0,12227,36.992409364,73.839004193
Âge,De 40 à 44 ans,15758,939,754,357,0,116,4748,695,2323,7925,9999,0,10216,41.970263334,103.52717027
Âge,De 45 à 49 ans,13853,916,172,280,0,190,2871,527,2540,6851,8560,0,7313,46.924534423,142.15969113
Âge,De 50 à 54 ans,12906,981,20,181,0,277,1676,352,3038,6223,8142,0,5573,52.036547163,184.79568395
Âge,55 ans et plus,8779,652,6,56,30251,232,2790,2084,10139,17943,22033,0,11323,61.197868721,214.06736542
Âge,35 ans et moins,46645,2409,5872,274,0,157,25699,2143,2741,24990,30367,13509,41878,28.140722944,40.060136929
Âge,36 ans et plus,64324,4124,2056,1106,30251,862,17316,4246,19464,45705,57018,0,44079,50.94827838,159.68049999
Scolarité,Primaire,4247,304,425,64,2397,45,51,361,2651,3692,3790,580,2366,47.226944667,178.45509222
Scolarité,Secondaire I à IV,33442,2627,3475,571,9467,474,89,192,4830,21531,28525,3268,17989,43.534101806,182.81017261
Scolarité,Secondaire V,16204,1870,1391,354,6990,261,172,246,4523,12400,14670,739,10824,47.225341707,158.92844477
Scolarité,Collégiale,5061,708,401,107,2042,86,77,126,1989,4105,4300,123,3771,47.580487805,134.13848899
Scolarité,Universitaire,3952,438,216,75,2043,44,277,624,2931,3134,3634,53,3337,49.808953901,111.66356383
Scolarité,Inconnue,48063,586,2020,209,7312,109,42349,4840,5281,25833,32466,8746,47670,38.481620611,33.433781025
Diplôme maximum obtenu,Aucun diplôme,40586,3131,4088,715,13847,565,272,636,9543,27774,35158,3973,21913,44.574493104,181.93043285
Diplôme maximum obtenu,Secondaire - DES,11467,1462,1062,229,3925,204,38,163,2352,8596,9753,602,7829,45.77121369,146.57714317
Diplôme maximum obtenu,Secondaire - DEP,3350,444,277,73,1520,41,4,16,525,2400,3305,62,2550,47.891323401,166.97616126
Diplôme maximum obtenu,Secondaire - ASP,264,22,11,3,130,5,0,1,38,145,290,1,157,48.868965517,198.10114943
Diplôme maximum obtenu,Collégial - AEC,1016,158,66,27,406,13,7,22,352,809,877,8,850,48.429418743,129.01067616
Diplôme maximum obtenu,Collégial - DEC général,736,100,48,10,328,9,2,16,270,577,654,18,522,48.035743298,133.19983753
Diplôme maximum obtenu,Collégial - DEC professionnel,1026,159,84,23,452,20,5,20,371,922,842,13,806,48.629818594,123.7329932
Diplôme maximum obtenu,Universitaire - Certificat,363,49,14,3,197,5,7,16,200,306,325,0,318,50.510301109,129.659271
