Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,78123,5389,227,0,24232,824,26302,3129,12454,38274,70521,10708,58634,43.797104646,127.33923434
Situation familiale,Couples sans enfants,6801,131,69,0,4561,69,4243,1194,2364,5789,5842,560,5971,50.202734073,128.95090706
Situation familiale,Familles monoparentales,9407,669,8634,1099,583,86,2380,753,4040,18383,2095,1344,9992,37.999707003,106.93055962
Situation familiale,Couples avec enfants,14589,156,318,275,841,32,8178,1232,3385,8195,8016,693,10810,39.102893097,74.086854605
Situation familiale,Conjoint d'étudiant,50,2,1,3,4,0,1,7,31,30,30,4,32,39.216666667,81.583333333
Sexe,Hommes,65820,3161,512,172,16424,415,25157,2251,9771,0,86504,7264,48952,42.990867474,116.90621243
Sexe,Femmes,43150,3186,8737,1205,13797,596,15947,4064,12503,70671,0,6045,36487,43.077641465,122.20693071
Âge,Moins de 20 ans,1556,127,177,0,0,1,1162,129,32,908,953,1861,1846,18.653412144,8.6926383665
Âge,De 20 à 24 ans,9618,530,1266,8,0,26,6094,556,355,5137,6311,11448,9408,22.228336827,19.6657058
Âge,De 25 à 29 ans,14327,724,2344,49,0,48,7989,605,813,7902,9590,0,13307,27.126800823,36.407386234
Âge,De 30 à 34 ans,16661,799,2496,165,0,64,8075,671,1262,9368,10817,0,14205,31.985038395,54.705622987
Âge,De 35 à 39 ans,15783,764,1701,286,0,63,6297,765,1720,8364,10233,0,12040,36.987309781,75.257783513
Âge,De 40 à 44 ans,15469,894,964,355,0,114,4504,655,2330,7905,9891,0,10141,41.965722634,105.51798157
Âge,De 45 à 49 ans,13705,886,266,278,0,193,2718,511,2561,6841,8487,0,7285,46.926017745,143.76343946
Âge,De 50 à 54 ans,13011,967,27,180,0,273,1573,356,3086,6286,8172,0,5692,52.042467838,186.20812007
Âge,55 ans et plus,8840,656,8,56,30221,229,2692,2067,10115,17960,22050,0,11515,61.172981755,214.79105224
Âge,35 ans et moins,45305,2320,6665,265,0,149,24663,2135,2765,24975,29729,13309,41265,28.141159696,40.729708979
Âge,36 ans et plus,63665,4027,2584,1112,30221,862,16441,4180,19509,45696,56775,0,44174,50.978208469,161.22866957
Scolarité,Primaire,4226,283,499,62,2380,39,44,378,2616,3714,3775,584,2377,47.179062625,179.00307117
Scolarité,Secondaire I à IV,33487,2544,4048,569,9522,467,81,200,4862,21909,28728,3342,18736,43.494302585,182.45083634
Scolarité,Secondaire V,16187,1840,1655,355,7025,256,155,248,4565,12552,14766,728,11192,47.20459038,158.79438465
Scolarité,Collégiale,5108,672,468,111,2024,86,72,115,1992,4157,4312,118,3877,47.530168851,134.21383871
Scolarité,Universitaire,3894,406,273,73,2038,46,227,585,2955,3126,3604,52,3324,49.889301634,112.92540862
Scolarité,Inconnue,46068,602,2306,207,7232,117,40525,4789,5284,25213,31319,8485,45933,38.556109814,34.236078681
Diplôme maximum obtenu,Aucun diplôme,40626,3036,4764,713,13880,548,237,670,9572,28207,35360,4041,22722,44.528906508,181.68224079
Diplôme maximum obtenu,Secondaire - DES,11475,1426,1248,228,3951,194,40,157,2365,8699,9823,607,8083,45.738689126,146.40465393
Diplôme maximum obtenu,Secondaire - DEP,3344,433,338,73,1526,49,6,14,526,2434,3329,59,2648,47.904043033,166.96304008
Diplôme maximum obtenu,Secondaire - ASP,263,26,16,3,132,5,0,1,37,149,296,1,176,48.806741573,197.92134831
Diplôme maximum obtenu,Collégial - AEC,1024,146,85,27,398,15,7,19,346,822,873,7,876,48.378761062,129.38702065
