Caracteristique,Valeur,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,498,603,1391,2566,1686,29.524134445,6.8936062674
Situation familiale,Couples sans enfants,61,41,110,104,49,39.827102804,17.261682243
Situation familiale,Familles monoparentales,149,85,436,81,75,35.429400387,6.7756286267
Situation familiale,Couples avec enfants,440,140,373,373,64,38.44772118,13.044235925
Situation familiale,Conjoint d'étudiant,6,2,7,7,3,32.071428571,5.2142857143
Sexe,Hommes,539,503,0,3131,1046,32.081124241,8.2590226765
Sexe,Femmes,615,368,2317,0,831,31.226586103,7.9499352611
Âge,Moins de 20 ans,108,59,359,421,780,18.474358974,6.4038461538
Âge,De 20 à 24 ans,188,95,472,625,1097,21.7976299,7.0282588879
Âge,De 25 à 29 ans,120,124,358,529,0,26.908680947,7.0225479143
Âge,De 30 à 34 ans,150,127,320,424,0,31.943548387,8.1666666667
Âge,De 35 à 39 ans,171,125,280,332,0,36.91503268,7.3937908497
Âge,De 40 à 44 ans,167,109,213,266,0,41.795407098,8.7849686848
Âge,De 45 à 49 ans,113,77,128,200,0,46.743902439,9.131097561
Âge,De 50 à 54 ans,68,66,96,152,0,52.032258065,13.548387097
Âge,55 ans et plus,69,89,91,182,0,58.586080586,15.315018315
Âge,35 ans et moins,599,426,1571,2069,1877,24.883516484,7.1230769231
Âge,36 ans et plus,555,445,746,1062,0,45.476769912,10.149889381
Scolarité,Primaire,189,53,188,220,168,31.681372549,7.9362745098
Scolarité,Secondaire I à IV,118,177,634,1075,892,27.18314804,9.1035693388
Scolarité,Secondaire V,122,162,435,637,252,33.54011194,8.5177238806
Scolarité,Collégiale,47,114,212,251,55,35.589632829,7.7580993521
Scolarité,Universitaire,157,170,241,266,12,40.366863905,7.4339250493
Scolarité,Inconnue,521,195,607,682,498,31.432893716,6.9751745539
Diplôme maximum obtenu,Aucun diplôme,362,265,889,1425,1104,28.68366465,9.1080380294
Diplôme maximum obtenu,Secondaire - DES,72,119,361,486,218,32.664698937,7.6670602125
Diplôme maximum obtenu,Secondaire - DEP,4,29,56,98,17,35.292207792,8.5194805195
Diplôme maximum obtenu,Secondaire - ASP,0,0,0,7,2,34.428571429,9
Diplôme maximum obtenu,Collégial - AEC,6,24,36,50,5,37.73255814,8.2093023256
Diplôme maximum obtenu,Collégial - DEC général,8,13,39,36,6,34.053333333,5.76
Diplôme maximum obtenu,Collégial - DEC professionnel,5,26,42,43,4,38.035294118,8.4470588235
Diplôme maximum obtenu,Universitaire - Certificat,7,5,15,15,1,35.666666667,5.8333333333
Diplôme maximum obtenu,Universitaire - Baccalauréat,58,64,101,107,9,40.461538462,8.4615384615
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,22,29,34,30,1,43.296875,6.0625
Diplôme maximum obtenu,Inconnu,610,297,744,834,510,32.821292776,7.0690747782
Durée cumulative,Premier mois,122,66,208,279,153,31.702258727,1
Durée cumulative,De 2 à 3 mois,257,189,516,759,462,30.494117647,2.4815686275
Durée cumulative,De 4 à 6 mois,427,203,633,775,464,31.975142045,4.9801136364
Durée cumulative,De 7 à 9 mois,157,133,372,491,327,30.851680185,7.8725376593
Durée cumulative,De 10 à 12 mois,103,106,256,366,217,31.3585209,10.897106109
Durée cumulative,Plus de 12 mois,88,174,332,461,254,34.461538462,25.276166456
Statut au programme,Participants,1085,782,2168,3007,1834,31.394009662,6.7924637681
Statut au programme,Non participants,69,89,149,124,43,37.853479853,33.435897436
Région,01 - Bas-Saint-Laurent,8,1,33,53,39,28.825581395,7.2093023256
Région,02 - Saguenay-Lac-Saint-Jean,2,3,53,75,73,26.9140625,7.109375
Région,03 - Capitale-Nationale,192,45,232,315,173,32.217550274,7.5978062157
Région,04 - Mauricie,43,6,107,117,132,26.683035714,8.3035714286
Région,05 - Estrie,128,24,146,210,160,29.474719101,7.8314606742
Région,06 - Montréal,377,552,716,940,431,33.749396135,8.8224637681
Région,07 - Outaouais,88,61,189,268,120,33.47702407,9.0656455142
Région,08 - Abitibi-Témiscamingue,0,2,27,34,29,29.098360656,7.5245901639
Région,09 - Côte-Nord,0,0,18,26,18,28.204545455,9.4772727273
Région,10 - Nord-du-Québec,0,0,8,12,11,24.95,6.95
Région,11 - Gaspésie-Îles-de-la-Madeleine,0,1,14,47,28,31,12.721311475
Région,12 - Chaudière-Appalaches,1,7,57,104,57,31.304347826,6.5714285714
Région,13 - Laval,82,69,110,140,52,36.024,7.548
Région,14 - Lanaudière,24,15,123,156,119,29.322580645,6.7096774194
Région,15 - Laurentides,19,18,117,160,99,30.916967509,7.4873646209
Région,16 - Montérégie,119,58,248,359,224,30.803953871,7.9703459638
Région,17 - Centre-du-Québec,70,9,118,115,111,28.669527897,7.1373390558
Région,Région inconnue,1,0,1,0,1,18,9
