Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,168,107,2236,10109,7284,1642,0,109,155,2466,8697,12849,5663,7092,41.886893159,132.97345215
Situation familiale,Couples sans enfants,9,7,36,180,545,64,587,43,84,345,707,721,35,428,56.226890756,172.22829132
Situation familiale,Familles monoparentales,13,8,43,293,498,36,0,2,10,176,744,147,15,203,44.205387205,146.17508418
Situation familiale,Couples avec enfants,6,13,26,85,213,22,315,16,39,266,338,342,23,243,44.832352941,133.44852941
Situation familiale,Conjoint d'étudiant,0,0,0,1,2,0,0,0,0,0,2,1,0,0,37,135.66666667
Sexe,Hommes,116,61,1231,6696,4569,1027,360,94,112,1722,0,14060,3689,4846,41.51344239,127.19395448
Sexe,Femmes,80,74,1110,3972,3973,737,542,76,176,1531,10488,0,2047,3120,44.726544622,147.2192029
Âge,Moins de 20 ans,5,8,410,668,207,212,2,2,14,125,543,969,1512,1489,18.578042328,11.274470899
Âge,De 20 à 24 ans,27,13,1053,2218,611,280,22,11,28,333,1504,2720,4224,1021,21.677556818,40.002840909
Âge,De 25 à 29 ans,13,11,238,909,239,75,30,6,22,181,545,970,0,539,26.965676568,61.57689769
Âge,De 30 à 34 ans,10,15,134,913,300,75,53,13,18,184,565,935,0,557,32.057333333,90.368666667
Âge,De 35 à 39 ans,17,14,116,791,328,69,54,9,11,179,567,822,0,459,37.023758099,119.91648668
Âge,De 40 à 44 ans,24,13,95,933,535,71,98,11,23,259,786,983,0,581,42.130016959,139.78518937
Âge,De 45 à 49 ans,10,9,82,988,790,97,112,16,31,287,1007,1081,0,616,47.038314176,163.6355364
Âge,De 50 à 54 ans,20,11,67,961,1087,132,116,12,15,371,1147,1247,0,649,52.150793651,189.85672515
Âge,55 ans et plus,70,41,146,2287,4445,753,415,90,126,1334,3824,4333,0,2055,60.7033223,209.32806179
Âge,35 ans et moins,58,51,1861,4862,1417,660,112,32,86,853,3278,5743,5736,3698,24.170823634,49.128145438
Âge,36 ans et plus,138,84,480,5806,7125,1104,790,138,202,2400,7210,8317,0,4268,53.75964449,186.07567463
Scolarité,Primaire,13,19,579,894,685,166,84,2,46,358,998,1442,1079,869,36.269262295,118.59385246
Scolarité,Secondaire I à IV,61,35,660,3671,3181,538,316,5,17,623,3312,5150,1445,2605,44.064405578,176.05896951
Scolarité,Secondaire V,49,33,126,2413,2245,370,185,3,18,637,2493,2928,351,1634,48.359896698,151.89337761
Scolarité,Collégiale,16,11,1,983,630,114,60,2,2,278,924,891,55,567,48.172451791,130.26721763
Scolarité,Universitaire,12,9,2,673,448,60,53,5,16,422,632,625,1,447,51.156722355,115.76531424
Scolarité,Inconnue,45,28,973,2034,1353,516,204,153,189,935,2129,3024,2805,1844,34.446924122,67.501649525
Diplôme maximum obtenu,Aucun diplôme,87,64,1293,5005,4289,785,441,9,69,1236,4799,7165,2649,3788,42.841106653,161.94215981
Diplôme maximum obtenu,Secondaire - DES,32,22,58,1869,1474,244,127,1,12,384,1842,1984,235,1183,47.279142708,143.19785677
Diplôme maximum obtenu,Secondaire - DEP,8,4,12,428,526,78,33,0,1,69,460,629,10,317,51.673094582,177.78236915
Diplôme maximum obtenu,Secondaire - ASP,1,1,2,27,31,2,1,0,0,2,27,38,2,19,49.676923077,201
Diplôme maximum obtenu,Collégial - AEC,2,1,0,161,127,31,9,0,0,41,160,171,1,104,50.716012085,129.35347432
Diplôme maximum obtenu,Collégial - DEC général,2,5,0,200,88,15,6,0,1,46,152,164,5,98,47.89556962,134.57278481
Diplôme maximum obtenu,Collégial - DEC professionnel,1,1,0,255,140,25,18,1,0,62,243,197,6,135,49.168181818,119.86590909
Diplôme maximum obtenu,Universitaire - Certificat,1,1,0,72,55,4,6,0,0,24,81,58,0,54,52.122302158,137.84172662
Diplôme maximum obtenu,Universitaire - Baccalauréat,5,3,1,268,187,27,16,1,7,168,259,248,1,175,51.021696252,108.70808679
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,1,2,0,54,49,0,5,1,2,53,54,57,0,42,53.378378378,98.063063063
Diplôme maximum obtenu,Inconnu,56,31,975,2329,1576,553,240,157,196,1168,2411,3349,2827,2051,35.978298611,72.416493056
Durée cumulative,Premier mois,0,1,10,20,10,7,4,0,1,8,17,35,36,52,27.115384615,1
Durée cumulative,De 2 à 5 mois,6,1,111,193,111,91,13,1,15,59,203,323,409,526,24.705323194,3.5570342205
Durée cumulative,De 6 à 11 mois,8,6,161,334,190,91,30,22,38,98,326,494,569,820,27.82804878,8.5463414634
Durée cumulative,De 12 à 23 mois,9,8,310,739,494,203,76,45,83,255,711,1128,1129,1839,29.653072322,17.524741707
Durée cumulative,De 24 à 47 mois,21,20,574,1720,966,391,116,42,116,511,1458,2350,2072,845,32.134978992,35.297006303
Durée cumulative,De 48 à 119 mois,70,50,720,3395,2199,459,243,50,35,1318,2924,4212,1521,1616,41.084921525,75.989209641
Durée cumulative,120 mois et plus,82,49,455,4267,4572,522,420,10,0,1004,4849,5518,0,2268,52.615317835,252.19957558
Types de diagnostics,Visuel,196,0,0,0,0,0,0,5,6,49,80,116,32,58,45.015306122,135.40306122
Types de diagnostics,Auditif et de la parole,0,135,0,0,0,0,0,3,5,35,74,61,21,58,42.681481481,120.68888889
Types de diagnostics,Intellectuel et d'apprentissage,0,0,2341,0,0,0,0,9,36,232,1110,1231,1463,1002,27.892780863,84.149508757
Types de diagnostics,Santé mentale,0,0,0,10668,0,0,0,24,29,1164,3972,6696,2886,3307,39.021466067,128.35695538
Types de diagnostics,Physique,0,0,0,0,8542,0,0,90,129,1248,3973,4569,818,2311,50.649028331,166.03125732
Types de diagnostics,Autres,0,0,0,0,0,1764,0,10,16,260,737,1027,492,906,44.086734694,99.739795918
Types de diagnostics,Conjoints sans contraintes sévères,0,0,0,0,0,0,902,29,67,265,542,360,24,324,51.213968958,143.0864745
Région,01 - Bas-Saint-Laurent,1,0,71,308,249,51,30,0,1,9,306,404,151,244,44.625352113,154.92253521
Région,02 - Saguenay-Lac-Saint-Jean,7,0,111,321,320,51,31,0,0,17,385,456,208,289,42.258026159,153.33412604
Région,03 - Capitale-Nationale,11,8,123,823,578,157,34,2,25,120,726,1008,362,573,43.660899654,145.35005767
Région,04 - Mauricie,5,5,88,424,385,65,33,0,3,29,443,562,215,318,43.637810945,171.64179104
