Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,165,102,2217,9981,7170,1705,0,116,145,2495,8588,12752,5545,7072,41.84611059,131.95951265
Situation familiale,Couples sans enfants,9,10,36,180,529,73,585,52,90,338,705,717,32,436,56.009845288,170.84036568
Situation familiale,Familles monoparentales,15,8,40,297,491,48,0,3,9,174,748,151,15,217,44.210233593,144.83092325
Situation familiale,Couples avec enfants,5,7,27,77,204,23,301,16,42,260,320,324,22,233,44.687888199,127.89751553
Situation familiale,Conjoint d'étudiant,0,0,0,1,3,1,0,0,0,1,1,4,1,3,36,72.8
Sexe,Hommes,111,55,1222,6622,4508,1079,351,103,123,1742,0,13948,3621,4829,41.512259822,126.09979925
Sexe,Femmes,83,72,1098,3914,3889,771,535,84,163,1526,10362,0,1994,3132,44.618123914,146.01852924
Âge,Moins de 20 ans,4,9,398,701,201,176,1,4,14,120,536,954,1490,1467,18.583892617,11.477852349
Âge,De 20 à 24 ans,25,13,1038,2157,619,250,23,11,25,341,1458,2667,4125,1020,21.680484848,39.80169697
Âge,De 25 à 29 ans,15,9,236,916,238,89,30,6,22,185,557,976,0,545,26.943248532,60.559034573
Âge,De 30 à 34 ans,9,13,146,903,300,81,52,15,15,184,566,938,0,540,32.067154255,90.188164894
Âge,De 35 à 39 ans,18,13,117,799,358,82,52,12,11,186,597,842,0,505,37.021542738,118.07783183
Âge,De 40 à 44 ans,23,11,89,938,524,96,95,15,24,250,792,984,0,587,42.129504505,137.51463964
Âge,De 45 à 49 ans,13,10,81,944,791,103,109,16,32,288,973,1078,0,591,47.038517796,162.91808874
Âge,De 50 à 54 ans,19,14,66,950,1077,163,119,13,21,385,1166,1242,0,668,52.157807309,186.68604651
Âge,55 ans et plus,68,35,149,2228,4289,810,405,95,122,1329,3717,4267,0,2038,60.686748497,208.45378257
Âge,35 ans et moins,54,47,1841,4846,1424,616,111,37,81,862,3249,5690,5615,3672,24.242085244,49.218257076
Âge,36 ans et plus,140,80,479,5690,6973,1234,775,150,205,2406,7113,8258,0,4289,53.649469781,184.23798061
Scolarité,Primaire,14,17,563,889,672,160,88,3,42,366,984,1419,1064,868,36.247191011,116.98668331
Scolarité,Secondaire I à IV,60,33,654,3662,3124,586,301,5,18,622,3290,5130,1443,2614,43.877078385,173.64524941
Scolarité,Secondaire V,48,32,122,2352,2235,412,178,3,19,651,2462,2917,344,1631,48.266778212,150.74902398
Scolarité,Collégiale,15,11,3,985,617,127,60,2,2,281,920,898,47,569,48.142464246,129.1259626
Scolarité,Universitaire,11,7,2,664,442,69,50,5,21,416,625,620,2,439,51.159839357,114.49317269
Scolarité,Inconnue,46,27,976,1984,1307,496,209,169,184,932,2081,2964,2715,1840,34.480673935,67.492170466
Diplôme maximum obtenu,Aucun diplôme,88,58,1267,4957,4214,833,426,10,65,1242,4750,7093,2627,3783,42.71595035,159.85865068
Diplôme maximum obtenu,Secondaire - DES,30,23,59,1842,1466,270,122,1,14,396,1829,1983,229,1181,47.053252886,142.08420776
Diplôme maximum obtenu,Secondaire - DEP,8,5,13,425,522,89,30,0,1,73,451,641,11,322,51.655677656,176.57326007
