Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,158,106,2267,10365,7533,1520,0,114,160,2497,8840,13109,5765,7233,42.000455602,134.39527997
Situation familiale,Couples sans enfants,8,8,44,194,575,54,614,47,80,355,743,754,31,471,56.436873747,175.1750167
Situation familiale,Familles monoparentales,12,9,38,300,535,33,0,2,10,197,763,164,18,238,44.366774542,145.37108954
Situation familiale,Couples avec enfants,7,10,33,85,226,11,321,14,37,273,345,348,24,233,44.855699856,136.53391053
Situation familiale,Conjoint d'étudiant,0,0,0,2,3,0,0,0,0,1,3,2,0,2,40.4,98
Sexe,Hommes,107,58,1248,6860,4771,954,379,99,119,1758,0,14377,3785,4999,41.592265424,128.4669959
Sexe,Femmes,78,75,1134,4086,4101,664,556,78,168,1565,10694,0,2053,3178,44.959510006,149.1468113
Âge,Moins de 20 ans,1,6,418,659,207,285,3,1,15,145,569,1010,1579,1553,18.568081064,11.508549715
Âge,De 20 à 24 ans,26,12,1068,2264,615,253,21,11,29,330,1484,2775,4259,969,21.702512327,40.40760742
Âge,De 25 à 29 ans,13,12,240,910,247,61,29,10,21,173,544,968,0,571,27,61.722883598
Âge,De 30 à 34 ans,9,13,142,892,302,62,58,12,19,176,558,920,0,547,32.042625169,90.47767253
Âge,De 35 à 39 ans,15,15,108,814,338,50,57,10,14,182,568,829,0,477,37.027201145,121.89620616
Âge,De 40 à 44 ans,24,8,96,954,568,61,90,12,22,270,799,1002,0,588,42.112715158,139.02387562
Âge,De 45 à 49 ans,12,14,80,1021,792,75,108,12,26,300,991,1111,0,630,47.040437678,165.82112274
Âge,De 50 à 54 ans,20,11,67,998,1140,105,123,13,20,358,1188,1276,0,665,52.167613636,190.44034091
Âge,55 ans et plus,65,42,163,2434,4663,666,446,96,121,1389,3993,4486,0,2177,60.601957778,210.6563274
Âge,35 ans et moins,52,48,1888,4889,1441,674,115,34,89,855,3278,5829,5838,3732,24.124080378,49.191720654
Âge,36 ans et plus,133,85,494,6057,7431,944,820,143,198,2468,7416,8548,0,4445,53.813016788,187.54428715
Scolarité,Primaire,12,17,598,909,712,152,97,2,49,378,1027,1470,1078,890,36.77052463,122.24589507
Scolarité,Secondaire I à IV,59,35,650,3740,3316,464,327,5,17,622,3336,5255,1470,2663,44.257827959,177.36014434
Scolarité,Secondaire V,48,29,127,2493,2324,323,194,3,18,656,2566,2972,349,1682,48.506500542,153.64102564
Scolarité,Collégiale,15,11,2,1029,665,89,60,1,3,279,945,926,53,586,48.145911277,131.35008017
Scolarité,Universitaire,10,9,1,684,474,48,53,5,17,426,641,638,0,445,51.089132134,116.55981235
Scolarité,Inconnue,41,32,1004,2091,1381,542,204,161,183,962,2179,3116,2888,1911,34.500661001,69.366761095
Diplôme maximum obtenu,Aucun diplôme,87,60,1303,5116,4479,689,475,9,70,1283,4880,7329,2670,3860,43.097387173,163.74756327
Diplôme maximum obtenu,Secondaire - DES,28,20,60,1922,1521,213,124,1,13,380,1882,2006,238,1233,47.339763374,144.3901749
Diplôme maximum obtenu,Secondaire - DEP,7,4,9,434,528,71,34,0,1,64,467,620,9,320,51.935602576,180.76816927
Diplôme maximum obtenu,Secondaire - ASP,1,1,3,28,33,2,1,0,0,2,27,42,2,26,50.246376812,196.92753623
Diplôme maximum obtenu,Collégial - AEC,2,1,0,165,140,19,9,0,0,39,159,177,1,109,50.595238095,131.70535714
Diplôme maximum obtenu,Collégial - DEC général,2,4,1,209,94,10,7,0,1,49,164,163,6,95,48.110091743,135.91437309
Diplôme maximum obtenu,Collégial - DEC professionnel,0,1,0,273,144,16,17,1,0,60,245,206,6,125,49.090909091,119.90687361
Diplôme maximum obtenu,Universitaire - Certificat,1,0,0,70,56,1,4,0,0,23,76,56,0,47,52.295454545,140
Diplôme maximum obtenu,Universitaire - Baccalauréat,3,3,1,281,201,25,19,1,9,172,272,261,0,184,50.879924953,109.4108818
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,1,2,0,59,52,0,6,1,2,60,54,66,0,46,53.1,97.016666667
Diplôme maximum obtenu,Inconnu,53,37,1005,2389,1624,572,239,164,191,1191,2468,3451,2906,2132,36.044771076,74.34820071
Durée cumulative,Premier mois,1,0,9,21,11,27,2,0,1,6,26,45,56,71,24.76056338,1
Durée cumulative,De 2 à 5 mois,3,1,109,183,105,67,17,8,15,74,191,294,369,485,25.459793814,3.6
Durée cumulative,De 6 à 11 mois,2,5,145,352,208,114,35,7,42,107,329,532,602,861,27.024390244,8.537746806
Durée cumulative,De 12 à 23 mois,7,9,319,737,478,215,69,54,81,231,711,1123,1137,1834,29.569247546,17.47219193
Durée cumulative,De 24 à 47 mois,22,17,554,1686,967,367,112,42,92,518,1422,2303,2085,811,31.99114094,35.142550336
Durée cumulative,De 48 à 119 mois,66,52,786,3511,2321,384,250,57,56,1345,3010,4360,1589,1712,41.04504749,75.618995929
Durée cumulative,120 mois et plus,84,49,460,4456,4782,444,450,9,0,1042,5005,5720,0,2403,52.726899767,252.91524476
Types de diagnostics,Visuel,185,0,0,0,0,0,0,4,6,47,78,107,27,51,45.340540541,140.41621622
Types de diagnostics,Auditif et de la parole,0,133,0,0,0,0,0,2,4,35,75,58,18,53,43.496240602,123.03759398
Types de diagnostics,Intellectuel et d'apprentissage,0,0,2382,0,0,0,0,10,37,238,1134,1248,1486,1009,28.077246012,86.291351805
Types de diagnostics,Santé mentale,0,0,0,10946,0,0,0,22,34,1188,4086,6860,2923,3418,39.302302211,130.2116755
Types de diagnostics,Physique,0,0,0,0,8872,0,0,100,131,1319,4101,4771,822,2422,50.793056808,166.87454914
Types de diagnostics,Autres,0,0,0,0,0,1618,0,9,11,223,664,954,538,885,42.483930779,93.865883807
Types de diagnostics,Conjoints sans contraintes sévères,0,0,0,0,0,0,935,30,64,273,556,379,24,339,51.484491979,145.85668449
Région,01 - Bas-Saint-Laurent,1,1,78,331,256,42,30,0,1,11,316,423,155,252,44.433017591,155.97158322
Région,02 - Saguenay-Lac-Saint-Jean,4,0,108,325,331,53,32,0,0,16,394,459,208,315,42.377491208,153.56975381
Région,03 - Capitale-Nationale,11,8,121,846,608,138,32,3,23,116,733,1031,365,585,43.709750567,148.68650794
Région,04 - Mauricie,2,5,87,447,405,53,35,0,2,28,459,575,221,345,43.623791103,171.37524178
Région,05 - Estrie,10,8,193,780,519,95,63,0,12,119,727,941,421,544,41.724820144,136.09232614
Région,06 - Montréal,71,52,580,2989,2309,453,286,126,127,1996,2715,4025,1361,2213,44.065875371,134.06988131
Région,07 - Outaouais,11,5,85,487,400,70,52,3,18,106,481,629,201,305,44.661261261,142.00990991
Région,08 - Abitibi-Témiscamingue,4,0,71,192,176,29,10,0,0,7,212,270,87,155,44.2593361,145.57883817
Région,09 - Côte-Nord,0,1,13,72,87,22,4,0,0,2,84,115,40,62,45.396984925,158.10552764
Région,10 - Nord-du-Québec,0,0,9,36,39,3,4,0,0,2,34,57,27,37,38.153846154,109.35164835
Région,11 - Gaspésie-Îles-de-la-Madeleine,2,2,32,183,205,28,10,0,0,7,212,250,96,154,44.783549784,156.93939394
Région,12 - Chaudière-Appalaches,5,3,113,437,335,89,28,2,1,26,452,558,238,326,42.526732673,135.10990099
Région,13 - Laval,11,9,118,373,427,70,82,12,41,371,486,604,301,380,44.446788991,102.59908257
Région,14 - Lanaudière,8,5,139,561,610,78,54,3,5,77,649,806,399,472,42.081786942,138.56082474
Région,15 - Laurentides,8,4,170,730,639,111,52,5,8,71,741,973,448,515,42.619603267,136.98191365
Région,16 - Montérégie,33,25,390,1740,1214,224,130,23,47,338,1596,2160,1070,1249,40.706070288,126.25053248
Région,17 - Centre-du-Québec,4,5,72,407,303,57,29,0,2,27,392,485,192,262,42.429874572,138.50057013
Région,Région inconnue,0,0,3,10,9,3,2,0,0,3,11,16,8,6,40.333333333,129.66666667
