Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,165,107,2257,10325,7475,1593,0,115,154,2495,8813,13109,5778,7240,41.965468479,133.72060031
Situation familiale,Couples sans enfants,7,8,43,191,560,55,602,47,73,353,728,738,36,443,56.315143247,174.45088677
Situation familiale,Familles monoparentales,12,9,39,293,517,37,0,2,9,192,748,159,17,230,44.501653804,146.12789416
Situation familiale,Couples avec enfants,7,9,31,84,219,13,312,11,39,263,337,338,23,225,44.825185185,134.99555556
Situation familiale,Conjoint d'étudiant,0,0,0,1,3,0,0,0,0,1,2,2,0,1,40,104.25
Sexe,Hommes,115,58,1246,6828,4717,1007,375,97,116,1751,0,14346,3790,4993,41.550257912,127.67091872
Sexe,Femmes,76,75,1124,4066,4057,691,539,78,159,1553,10628,0,2064,3146,44.902615732,148.63360933
Âge,Moins de 20 ans,3,6,421,671,212,282,3,2,14,135,577,1021,1598,1566,18.578222778,11.468085106
Âge,De 20 à 24 ans,27,12,1059,2252,615,269,22,11,26,334,1487,2769,4256,974,21.704417293,40.433975564
Âge,De 25 à 29 ans,12,11,240,917,244,68,30,10,21,178,540,982,0,561,27.022339028,61.661629435
Âge,De 30 à 34 ans,9,12,138,890,294,65,56,12,18,176,551,913,0,545,32.048497268,90.462431694
Âge,De 35 à 39 ans,18,16,111,800,332,54,54,11,15,182,560,825,0,467,37.020938628,121.49530686
Âge,De 40 à 44 ans,24,8,94,943,555,64,88,10,21,259,790,986,0,598,42.11204955,138.98423423
Âge,De 45 à 49 ans,12,14,78,1015,796,81,108,11,26,303,988,1116,0,623,47.053231939,164.56796578
Âge,De 50 à 54 ans,20,11,70,1005,1133,106,122,12,18,369,1194,1273,0,668,52.171463316,190.7077422
Âge,55 ans et plus,66,43,159,2401,4593,709,431,96,116,1368,3941,4461,0,2137,60.631278267,209.79671507
Âge,35 ans et moins,55,47,1879,4892,1436,698,113,35,84,854,3280,5840,5854,3736,24.112828947,49.019078947
Âge,36 ans et plus,136,86,491,6002,7338,1000,801,140,191,2450,7348,8506,0,4403,53.828434464,186.96802069
Scolarité,Primaire,12,17,590,899,704,157,93,2,50,367,1010,1462,1074,873,36.663430421,122.11043689
Scolarité,Secondaire I à IV,58,34,652,3727,3274,481,322,5,16,620,3317,5231,1474,2638,44.167524567,176.52175948
Scolarité,Secondaire V,50,31,126,2478,2305,347,189,4,17,654,2553,2973,356,1691,48.485884908,153.00361925
Scolarité,Collégiale,16,11,2,1020,655,103,58,1,3,280,945,920,53,580,48.242895442,130.91689008
Scolarité,Universitaire,11,9,1,692,464,54,52,5,17,426,641,642,1,453,51.187061574,115.86360094
Scolarité,Inconnue,44,31,999,2078,1372,556,200,158,172,957,2162,3118,2896,1904,34.384469697,68.592613636
Diplôme maximum obtenu,Aucun diplôme,87,60,1297,5086,4424,718,462,10,70,1263,4840,7294,2675,3833,43.005768914,163.04384374
Diplôme maximum obtenu,Secondaire - DES,29,21,58,1910,1517,230,125,1,12,384,1879,2011,241,1241,47.396401028,144.018509
Diplôme maximum obtenu,Secondaire - DEP,7,4,10,434,525,73,32,0,1,67,464,621,8,313,51.906912442,179.74562212
Diplôme maximum obtenu,Secondaire - ASP,1,1,3,31,32,2,1,0,0,2,29,42,2,24,50.253521127,201.35211268
Diplôme maximum obtenu,Collégial - AEC,2,1,0,166,136,22,7,0,0,39,158,176,1,106,50.616766467,131.85928144
Diplôme maximum obtenu,Collégial - DEC général,2,4,1,205,96,14,7,0,1,49,164,165,6,98,48.337386018,135.23404255
Diplôme maximum obtenu,Collégial - DEC professionnel,0,1,0,272,141,21,17,1,0,63,245,207,5,122,49.371681416,119.21902655
Diplôme maximum obtenu,Universitaire - Certificat,0,0,0,70,54,3,4,0,0,23,77,54,0,47,52.007633588,139.51908397
Diplôme maximum obtenu,Universitaire - Baccalauréat,4,3,1,283,198,24,17,1,10,170,267,263,1,189,51.013207547,109.26226415
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,1,2,0,60,49,1,6,1,2,59,54,65,0,43,53.613445378,98.554621849
Diplôme maximum obtenu,Inconnu,58,36,1000,2377,1602,590,236,161,179,1185,2451,3448,2915,2123,35.91439227,73.399728768
Durée cumulative,Premier mois,0,0,10,26,16,21,3,0,1,8,33,43,60,76,24.526315789,1
Durée cumulative,De 2 à 5 mois,6,1,101,190,99,79,12,4,11,63,175,313,374,488,24.899590164,3.5819672131
Durée cumulative,De 6 à 11 mois,2,5,153,343,208,123,35,15,46,108,350,519,605,869,27.402761795,8.5523590334
Durée cumulative,De 12 à 23 mois,11,7,326,727,482,220,71,51,78,235,708,1136,1140,1844,29.662689805,17.530911063
Durée cumulative,De 24 à 47 mois,21,19,555,1709,972,376,110,44,92,515,1439,2323,2102,806,31.965975545,35.27086656
Durée cumulative,De 48 à 119 mois,70,51,766,3495,2275,422,247,51,47,1347,2982,4344,1573,1689,41.122031122,75.791700792
Durée cumulative,120 mois et plus,81,50,459,4404,4722,457,436,10,0,1028,4941,5668,0,2367,52.715901593,252.77811292
Types de diagnostics,Visuel,191,0,0,0,0,0,0,4,7,47,76,115,30,58,44.963350785,134.94764398
Types de diagnostics,Auditif et de la parole,0,133,0,0,0,0,0,2,4,34,75,58,18,48,43.77443609,123.03007519
Types de diagnostics,Intellectuel et d'apprentissage,0,0,2370,0,0,0,0,11,36,237,1124,1246,1480,1008,28.036708861,85.696202532
Types de diagnostics,Santé mentale,0,0,0,10894,0,0,0,22,32,1183,4066,6828,2923,3411,39.252707913,129.46778043
Types de diagnostics,Physique,0,0,0,0,8774,0,0,98,122,1297,4057,4717,827,2369,50.74686574,166.68509232
Types de diagnostics,Autres,0,0,0,0,0,1698,0,10,13,235,691,1007,551,924,42.734393404,94.35041225
Types de diagnostics,Conjoints sans contraintes sévères,0,0,0,0,0,0,914,28,61,271,539,375,25,321,51.43654267,145.38621444
Région,01 - Bas-Saint-Laurent,1,0,72,331,253,46,30,0,1,10,314,419,153,248,44.645293315,154.58526603
Région,02 - Saguenay-Lac-Saint-Jean,6,0,111,328,327,55,33,0,0,16,397,463,215,315,42.170930233,151.2
Région,03 - Capitale-Nationale,11,7,123,847,595,145,32,3,24,115,728,1032,371,582,43.542613636,147.18238636
Région,04 - Mauricie,2,5,90,437,402,55,31,0,2,25,455,567,221,336,43.509784736,171.09980431
Région,05 - Estrie,10,8,188,774,523,100,61,0,9,122,723,941,416,549,41.861778846,136.22896635
Région,06 - Montréal,74,51,570,2975,2275,472,282,123,122,1988,2687,4012,1365,2204,44.017913121,133.33825944
Région,07 - Outaouais,11,5,85,477,400,78,50,3,17,108,482,624,202,309,44.518987342,140.53707052
Région,08 - Abitibi-Témiscamingue,4,0,70,188,176,29,9,0,0,7,209,267,85,151,44.43487395,146.99159664
Région,09 - Côte-Nord,0,1,14,73,86,25,4,0,0,2,84,119,40,63,45.384236453,157.16748768
Région,10 - Nord-du-Québec,0,0,9,34,41,5,4,0,0,2,38,55,25,38,39.161290323,112.04301075
Région,11 - Gaspésie-Îles-de-la-Madeleine,2,2,35,183,205,28,9,0,0,6,211,253,97,150,44.665948276,156.85775862
Région,12 - Chaudière-Appalaches,5,3,113,438,335,93,27,2,1,25,446,568,238,329,42.584812623,134.39151874
Région,13 - Laval,12,9,119,371,421,75,81,12,43,363,482,606,301,371,44.40625,102.78216912
Région,14 - Lanaudière,8,5,136,561,602,85,51,4,4,79,647,801,396,476,42.064226519,138.15400552
Région,15 - Laurentides,6,5,167,724,630,113,51,5,5,72,730,966,450,493,42.376768868,136.32429245
Région,16 - Montérégie,35,26,394,1745,1190,236,130,23,45,336,1596,2160,1079,1263,40.653887114,125.59105431
Région,17 - Centre-du-Québec,4,6,71,398,304,55,28,0,2,25,388,478,192,257,42.346420323,137.42494226
Région,Région inconnue,0,0,3,10,9,3,1,0,0,3,11,15,8,5,40.961538462,134.11538462
