Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,157,106,2281,10428,7585,1451,0,117,163,2497,8863,13145,5762,7269,42.053571429,134.8772719
Situation familiale,Couples sans enfants,7,9,44,197,572,58,619,43,91,362,748,758,31,453,56.351925631,175.81341301
Situation familiale,Familles monoparentales,12,7,35,302,538,26,0,0,10,196,759,161,17,233,44.515217391,146.92282609
Situation familiale,Couples avec enfants,8,9,33,87,224,10,319,14,37,268,345,345,18,224,45.020289855,138.33333333
Situation familiale,Conjoint d'étudiant,0,0,0,2,3,0,0,0,0,1,3,2,0,2,40.4,97
Sexe,Hommes,106,60,1265,6885,4799,913,383,98,130,1753,0,14411,3786,5018,41.626049545,128.68891819
Sexe,Femmes,78,71,1128,4131,4123,632,555,76,171,1571,10718,0,2042,3163,45.038999813,150.1886546
Âge,Moins de 20 ans,1,6,415,657,200,272,1,1,16,140,559,993,1552,1526,18.567010309,11.532216495
Âge,De 20 à 24 ans,24,12,1083,2281,610,248,18,11,33,329,1483,2793,4276,977,21.702993452,40.407390084
Âge,De 25 à 29 ans,14,13,244,907,247,60,31,10,20,176,549,967,0,572,26.997361478,62.390501319
Âge,De 30 à 34 ans,9,12,141,881,302,60,56,11,19,168,545,916,0,543,32.026694045,90.744010951
Âge,De 35 à 39 ans,15,15,110,810,341,42,56,9,15,178,561,828,0,485,37.020158387,122.07055436
Âge,De 40 à 44 ans,24,8,92,975,565,56,93,9,21,273,807,1006,0,585,42.093215665,140.53006067
Âge,De 45 à 49 ans,13,14,77,1030,796,71,115,13,28,300,997,1119,0,654,47.054820416,165.12901701
Âge,De 50 à 54 ans,19,11,64,1021,1160,94,121,12,22,364,1197,1293,0,671,52.170682731,191.68835341
Âge,55 ans et plus,65,40,167,2454,4701,642,447,98,127,1396,4020,4496,0,2168,60.59828558,210.82233443
Âge,35 ans et moins,51,48,1901,4890,1430,649,113,34,93,845,3257,5825,5828,3712,24.117154812,49.284408721
Âge,36 ans et plus,133,83,492,6126,7492,896,825,140,208,2479,7461,8586,0,4469,53.814980993,187.98884527
