Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Conjoints_sans_CSE,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,164,103,2314,10436,7774,1401,0,115,163,2502,8985,13207,5769,7262,42.223549027,135.94642213
Situation familiale,Couples sans enfants,10,11,45,193,591,52,627,42,103,371,757,772,31,463,56.347285808,174.74623937
Situation familiale,Familles monoparentales,13,9,36,313,527,22,0,1,9,195,751,169,16,237,44.588043478,146.54673913
Situation familiale,Couples avec enfants,9,8,32,92,224,8,331,12,45,279,354,350,19,230,44.890625,137.99005682
Situation familiale,Conjoint d'étudiant,0,0,0,1,3,0,0,0,0,1,2,2,0,2,38.25,101.25
Sexe,Hommes,112,58,1286,6873,4901,881,389,102,137,1754,0,14500,3768,5005,41.811172414,129.486
Sexe,Femmes,84,73,1141,4162,4218,602,569,68,183,1594,10849,0,2067,3189,45.137339847,151.06793253
Âge,Moins de 20 ans,2,6,400,637,197,285,1,0,15,129,553,975,1528,1508,18.569371728,11.572643979
Âge,De 20 à 24 ans,25,11,1126,2286,606,234,19,10,30,341,1514,2793,4307,992,21.698397957,40.640585094
Âge,De 25 à 29 ans,14,13,240,905,235,54,36,11,23,175,529,968,0,559,26.938543754,62.541750167
Âge,De 30 à 34 ans,10,12,135,867,315,53,53,8,20,168,550,895,0,520,32.013148789,91.530795848
Âge,De 35 à 39 ans,17,15,111,827,351,31,59,10,14,191,572,839,0,494,37.053862509,121.29128278
Âge,De 40 à 44 ans,23,8,92,959,569,54,98,14,18,263,813,990,0,556,42.093732668,141.59400998
Âge,De 45 à 49 ans,13,14,79,1026,808,70,111,12,26,290,1000,1121,0,664,47.02970297,164.67138142
Âge,De 50 à 54 ans,20,15,69,1029,1186,82,127,9,21,377,1200,1328,0,675,52.195411392,193.24920886
Âge,55 ans et plus,72,37,175,2499,4852,620,454,96,153,1414,4118,4591,0,2226,60.588356872,210.5449535
Âge,35 ans et moins,54,46,1918,4855,1418,633,116,30,91,849,3261,5779,5835,3664,24.07300885,49.370022124
Âge,36 ans et plus,142,85,509,6180,7701,850,842,140,229,2499,7588,8721,0,4530,53.855969097,188.25053651
Scolarité,Primaire,14,15,606,928,727,144,111,2,62,385,1047,1498,1085,927,37.368565815,126.13045187
Scolarité,Secondaire I à IV,65,34,655,3759,3413,417,321,4,20,633,3395,5269,1417,2631,44.567520776,179.51812096
Scolarité,Secondaire V,46,32,126,2527,2401,289,191,3,18,666,2600,3012,343,1693,48.597647897,154.15449038
Scolarité,Collégiale,15,11,3,1040,680,74,63,1,3,282,953,933,55,594,48.218981972,132.90084836
Scolarité,Universitaire,10,9,1,661,468,41,56,5,14,411,630,616,1,430,51.304975923,117.36195827
Scolarité,Inconnue,46,30,1036,2120,1430,518,216,155,203,971,2224,3172,2934,1919,34.678280208,70.077279466
Diplôme maximum obtenu,Aucun diplôme,92,57,1319,5174,4604,619,478,8,87,1314,4956,7387,2621,3858,43.41894191,165.78546545
Diplôme maximum obtenu,Secondaire - DES,30,25,57,1924,1563,194,130,1,12,372,1889,2034,235,1230,47.445322457,145.49859801
Diplôme maximum obtenu,Secondaire - DEP,8,3,9,439,559,70,31,0,1,66,493,626,8,342,51.99821269,181.39857015
Diplôme maximum obtenu,Secondaire - ASP,0,0,2,31,34,1,1,0,0,0,25,44,2,27,51.028985507,198.85507246
Diplôme maximum obtenu,Collégial - AEC,2,1,0,165,134,14,8,0,0,38,159,165,3,109,50.401234568,133.71604938
Diplôme maximum obtenu,Collégial - DEC général,2,4,1,213,91,7,7,0,0,48,164,161,8,100,48.350769231,138.71692308
Diplôme maximum obtenu,Collégial - DEC professionnel,0,1,0,270,159,14,16,1,0,59,254,206,7,134,49.347826087,120.97826087
Diplôme maximum obtenu,Universitaire - Certificat,1,0,0,72,58,2,6,0,0,30,79,60,0,54,52.194244604,136.02877698
Diplôme maximum obtenu,Universitaire - Baccalauréat,1,2,1,279,203,19,21,1,8,163,264,262,0,184,51.275665399,109.72813688
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,1,3,0,54,44,0,7,1,2,55,52,57,0,40,52.752293578,96.366972477
Diplôme maximum obtenu,Inconnu,59,35,1038,2414,1670,543,253,158,210,1203,2514,3498,2951,2116,36.174650699,75.101463739
Durée cumulative,Premier mois,0,0,8,10,10,17,3,0,1,10,25,23,36,48,26.583333333,1
Durée cumulative,De 2 à 5 mois,0,4,83,195,131,70,20,3,32,64,190,313,357,503,26.693836978,3.6302186879
Durée cumulative,De 6 à 11 mois,3,2,156,336,199,112,23,11,25,96,304,527,600,831,26.536702768,8.5523465704
Durée cumulative,De 12 à 23 mois,12,14,307,735,473,211,69,48,77,240,709,1112,1142,1821,29.925315761,17.73476112
Durée cumulative,De 24 à 47 mois,20,15,562,1701,928,348,116,41,112,497,1416,2274,2088,818,32.045799458,35.384281843
Durée cumulative,De 48 à 119 mois,78,50,831,3507,2371,340,270,59,73,1353,3055,4392,1612,1662,41.036659057,75.060829864
Durée cumulative,120 mois et plus,83,46,480,4551,5007,385,457,8,0,1088,5150,5859,0,2511,52.762194568,253.03488055
Types de diagnostics,Visuel,196,0,0,0,0,0,0,5,7,52,84,112,27,54,45.841836735,138.07653061
Types de diagnostics,Auditif et de la parole,0,131,0,0,0,0,0,2,5,34,73,58,17,53,43.435114504,119.91603053
Types de diagnostics,Intellectuel et d'apprentissage,0,0,2427,0,0,0,0,7,39,237,1141,1286,1526,1003,28.161928307,88.198187062
Types de diagnostics,Santé mentale,0,0,0,11035,0,0,0,25,35,1195,4162,6873,2923,3423,39.475758949,131.32514726
Types de diagnostics,Physique,0,0,0,0,9119,0,0,99,152,1339,4218,4901,803,2514,51.050882772,168.43732865
Types de diagnostics,Autres,0,0,0,0,0,1483,0,5,9,197,602,881,519,826,42.124072825,90.091706001
Types de diagnostics,Conjoints sans contraintes sévères,0,0,0,0,0,0,958,27,73,294,569,389,20,321,51.477035491,147.07202505
Région,01 - Bas-Saint-Laurent,1,0,80,338,261,46,28,0,1,11,322,432,159,248,44.526525199,158.32095491
Région,02 - Saguenay-Lac-Saint-Jean,4,0,110,312,330,50,30,0,0,16,399,437,201,306,42.64354067,155.07655502
Région,03 - Capitale-Nationale,12,7,130,849,633,119,29,3,20,115,744,1035,369,587,43.677908938,150.024733
Région,04 - Mauricie,1,5,91,467,413,50,37,0,3,29,455,609,227,352,43.630639098,167.28007519
Région,05 - Estrie,11,8,195,764,533,83,65,0,21,115,723,936,400,521,42.272453285,138.21036769
Région,06 - Montréal,74,51,579,3007,2371,402,308,116,145,2010,2745,4047,1341,2199,44.331272085,135.0298881
Région,07 - Outaouais,12,6,95,509,435,62,50,1,14,106,512,657,216,322,44.879384089,143.75192472
Région,08 - Abitibi-Témiscamingue,3,0,71,191,188,29,9,0,0,8,218,273,89,172,44.228105906,144.89409369
Région,09 - Côte-Nord,0,1,14,71,85,23,2,0,0,2,77,119,36,65,45.964285714,164.04081633
Région,10 - Nord-du-Québec,0,0,8,40,37,3,4,0,0,1,33,59,26,39,38.608695652,116.47826087
Région,11 - Gaspésie-Îles-de-la-Madeleine,2,2,37,188,207,34,13,0,0,6,211,272,97,164,45.115942029,159.22981366
Région,12 - Chaudière-Appalaches,6,4,116,434,336,86,26,2,1,27,453,555,245,326,42.697420635,137.53174603
Région,13 - Laval,13,10,110,382,427,71,88,11,44,389,494,607,306,376,44.51226158,99.991825613
Région,14 - Lanaudière,9,6,145,576,613,78,54,5,2,76,664,817,408,478,42.218771101,140.6144497
Région,15 - Laurentides,8,5,167,747,659,105,55,7,8,72,768,978,457,538,42.581901489,138.10595647
Région,16 - Montérégie,36,21,401,1760,1263,195,134,25,57,339,1650,2160,1070,1239,40.862204724,128.63989501
Région,17 - Centre-du-Québec,4,5,75,389,322,44,24,0,4,23,369,494,181,255,43.177288528,145.58632677
Région,Région inconnue,0,0,3,11,6,3,2,0,0,3,12,13,7,7,39.2,133.64
